num_points: 4096
frequency_Hz  magnitude  phase_rad
0  0  0
10.7666  0.0024569  1.51924
21.5332  0.0049169  1.46745
32.2998  0.00738348  1.41576
43.0664  0.0098604  1.36413
53.833  0.0123515  1.31258
64.5996  0.0148608  1.26111
75.3662  0.0173924  1.20973
86.1328  0.0199509  1.15845
96.8994  0.022541  1.10728
107.666  0.0251677  1.05623
118.433  0.0278364  1.00529
129.199  0.030553  0.954483
139.966  0.0333235  0.903793
150.732  0.0361546  0.853223
161.499  0.0390533  0.80277
172.266  0.0420272  0.75243
183.032  0.0450842  0.702197
193.799  0.0482332  0.652064
204.565  0.0514833  0.602023
215.332  0.0548444  0.552068
226.099  0.0583274  0.502189
236.865  0.0619437  0.452377
247.632  0.0657058  0.402624
258.398  0.0696272  0.35292
269.165  0.0737226  0.303255
279.932  0.078008  0.253621
290.698  0.0825006  0.204008
301.465  0.0872198  0.154407
312.231  0.0921862  0.104807
322.998  0.0974232  0.0551999
333.765  0.102956  0.00557574
344.531  0.108813  -0.0440754
355.298  0.115025  -0.0937635
366.064  0.121628  -0.143499
376.831  0.12866  -0.193292
387.598  0.136165  -0.243155
398.364  0.144194  -0.293099
409.131  0.152801  -0.343136
419.897  0.16205  -0.393282
430.664  0.172014  -0.44355
441.431  0.182775  -0.493958
452.197  0.19443  -0.544524
462.964  0.207087  -0.595268
473.73  0.220876  -0.646215
484.497  0.235946  -0.697392
495.264  0.252473  -0.748828
506.03  0.270666  -0.800562
516.797  0.290772  -0.852637
527.563  0.313092  -0.905102
538.33  0.337985  -0.95802
549.097  0.365894  -1.01146
559.863  0.397366  -1.06553
570.63  0.433081  -1.12032
581.396  0.473905  -1.176
592.163  0.520946  -1.23273
602.93  0.575651  -1.29076
613.696  0.639946  -1.35042
624.463  0.716455  -1.41216
635.229  0.808839  -1.47669
645.996  0.922229  -1.54521
656.763  1.06319  -1.61933
667.529  1.24205  -1.69935
678.296  1.47826  -1.7883
689.063  1.80135  -1.89249
699.829  2.26159  -2.02184
710.596  2.94717  -2.19563
721.362  3.99067  -2.45377
732.129  5.37847  -2.86839
742.896  6.1035  2.82456
753.662  5.24832  2.28279
764.429  4.08516  1.93159
775.195  3.24558  1.70886
785.962  2.68387  1.55308
796.729  2.29819  1.43324
807.495  2.02277  1.33419
818.262  1.8191  1.24804
829.028  1.66418  1.17038
839.795  1.54379  1.09854
850.562  1.44872  1.03087
861.328  1.37283  0.966238
872.095  1.31189  0.903895
882.861  1.2629  0.843294
893.628  1.2237  0.784036
904.395  1.19273  0.725821
915.161  1.1688  0.668415
925.928  1.15108  0.611633
936.694  1.13893  0.555322
947.461  1.13191  0.499354
958.228  1.12974  0.443618
968.994  1.13223  0.388012
979.761  1.13936  0.332442
990.527  1.15117  0.276817
1001.29  1.16784  0.221045
1012.06  1.18966  0.165026
1022.83  1.21705  0.108654
1033.59  1.25061  0.0518093
1044.36  1.29109  -0.00564984
1055.13  1.33953  -0.0638922
1065.89  1.39726  -0.123126
1076.66  1.46605  -0.183613
1087.43  1.54822  -0.245695
1098.19  1.64694  -0.30982
1108.96  1.7665  -0.376604
1119.73  1.91295  -0.446904
1130.49  2.09492  -0.521963
1141.26  2.32513  -0.60364
1152.03  2.62294  -0.694847
1162.79  3.01861  -0.800357
1173.56  3.56056  -0.928444
1184.33  4.32441  -1.09425
1195.09  5.40476  -1.32626
1205.86  6.76682  -1.67227
1216.63  7.6804  -2.1624
1227.39  7.03435  -2.68389
1238.16  5.57134  -3.07779
1248.93  4.32132  2.94232
1259.69  3.43491  2.75913
1270.46  2.81341  2.62116
1281.23  2.36512  2.50979
1291.99  2.03077  2.41501
1302.76  1.7737  2.33114
1313.53  1.57084  2.25478
1324.29  1.40722  2.18379
1335.06  1.27279  2.11677
1345.83  1.16061  2.05275
1356.59  1.06573  1.99107
1367.36  0.984569  1.93123
1378.13  0.914438  1.87288
1388.89  0.853309  1.81573
1399.66  0.799616  1.75959
1410.42  0.75213  1.70428
1421.19  0.709879  1.64967
1431.96  0.67208  1.59567
1442.72  0.638098  1.54218
1453.49  0.607412  1.48913
1464.26  0.579591  1.43648
1475.02  0.554275  1.38416
1485.79  0.531163  1.33215
1496.56  0.509997  1.28039
1507.32  0.49056  1.22888
1518.09  0.472666  1.17757
1528.86  0.456152  1.12644
1539.62  0.440881  1.07549
1550.39  0.426729  1.02469
1561.16  0.413593  0.974026
1571.92  0.401378  0.923486
1582.69  0.390002  0.873058
1593.46  0.379394  0.822733
1604.22  0.369488  0.772502
1614.99  0.360229  0.722356
1625.76  0.351565  0.672287
1636.52  0.34345  0.622291
1647.29  0.335843  0.57236
1658.06  0.328708  0.522489
1668.82  0.322011  0.472673
1679.59  0.315723  0.422907
1690.36  0.309816  0.373188
1701.12  0.304266  0.323512
1711.89  0.29905  0.273875
1722.66  0.294149  0.224274
1733.42  0.289543  0.174705
1744.19  0.285216  0.125167
1754.96  0.281153  0.0756565
1765.72  0.277339  0.0261708
1776.49  0.273761  -0.023292
1787.26  0.270408  -0.0727342
1798.02  0.267269  -0.122158
1808.79  0.264334  -0.171565
1819.56  0.261594  -0.220956
1830.32  0.25904  -0.270335
1841.09  0.256666  -0.319702
1851.86  0.254464  -0.369059
1862.62  0.252428  -0.418408
1873.39  0.250551  -0.46775
1884.16  0.24883  -0.517086
1894.92  0.247259  -0.566417
1905.69  0.245833  -0.615746
1916.46  0.244549  -0.665073
1927.22  0.243404  -0.714399
1937.99  0.242393  -0.763727
1948.75  0.241515  -0.813056
1959.52  0.240767  -0.862388
1970.29  0.240146  -0.911725
1981.05  0.239652  -0.961068
1991.82  0.239282  -1.01042
2002.59  0.239036  -1.05977
2013.35  0.238912  -1.10914
2024.12  0.238909  -1.15852
2034.89  0.239029  -1.2079
2045.65  0.23927  -1.2573
2056.42  0.239632  -1.30672
2067.19  0.240117  -1.35615
2077.95  0.240725  -1.40559
2088.72  0.241457  -1.45506
2099.49  0.242314  -1.50454
2110.25  0.243298  -1.55404
2121.02  0.244411  -1.60357
2131.79  0.245656  -1.65312
2142.55  0.247034  -1.70269
2153.32  0.248549  -1.75229
2164.09  0.250203  -1.80192
2174.85  0.252002  -1.85158
2185.62  0.253948  -1.90127
2196.39  0.256046  -1.951
2207.15  0.2583  -2.00076
2217.92  0.260717  -2.05056
2228.69  0.263302  -2.10039
2239.45  0.266062  -2.15028
2250.22  0.269003  -2.2002
2260.99  0.272132  -2.25018
2271.75  0.275459  -2.3002
2282.52  0.278991  -2.35028
2293.29  0.28274  -2.40042
2304.05  0.286714  -2.45062
2314.82  0.290926  -2.50088
2325.59  0.295389  -2.55121
2336.35  0.300115  -2.60161
2347.12  0.305121  -2.65209
2357.89  0.310421  -2.70266
2368.65  0.316033  -2.75331
2379.42  0.321978  -2.80405
2390.19  0.328276  -2.8549
2400.95  0.33495  -2.90585
2411.72  0.342026  -2.95692
2422.49  0.349531  -3.00812
2433.25  0.357498  -3.05944
2444.02  0.365959  -3.11091
2454.79  0.374952  3.12065
2465.55  0.38452  3.06886
2476.32  0.394708  3.01689
2487.08  0.405569  2.96473
2497.85  0.41716  2.91235
2508.62  0.429545  2.85974
2519.38  0.442797  2.80688
2530.15  0.456998  2.75374
2540.92  0.47224  2.70029
2551.68  0.488628  2.64651
2562.45  0.506281  2.59236
2573.22  0.525336  2.5378
2583.98  0.545948  2.48279
2594.75  0.568297  2.42726
2605.52  0.592593  2.37116
2616.28  0.619079  2.31442
2627.05  0.648037  2.25694
2637.82  0.679804  2.19864
2648.58  0.714774  2.13938
2659.35  0.753419  2.07901
2670.12  0.796302  2.01736
2680.88  0.844097  1.95419
2691.65  0.897607  1.88923
2702.42  0.957775  1.82212
2713.18  1.02572  1.75253
2723.95  1.10292  1.6801
2734.72  1.19137  1.60429
2745.48  1.29362  1.52419
2756.25  1.41264  1.4386
2767.02  1.55206  1.346
2777.78  1.71626  1.24445
2788.55  1.91024  1.13133
2799.32  2.13897  1.00317
2810.08  2.40543  0.855505
2820.85  2.7061  0.682982
2831.62  3.02234  0.480435
2842.38  3.30983  0.245672
2853.15  3.49933  -0.0159373
2863.92  3.52918  -0.288683
2874.68  3.39402  -0.551418
2885.45  3.14856  -0.787927
2896.22  2.86172  -0.992301
2906.98  2.5808  -1.16645
2917.75  2.32762  -1.31547
2928.52  2.10805  -1.44475
2939.28  1.92062  -1.55881
2950.05  1.76126  -1.66118
2960.82  1.62555  -1.75453
2971.58  1.50943  -1.84082
2982.35  1.40949  -1.92154
2993.12  1.32295  -1.9978
3003.88  1.24753  -2.07045
3014.65  1.18142  -2.14015
3025.42  1.12315  -2.2074
3036.18  1.07153  -2.27261
3046.95  1.02559  -2.3361
3057.71  0.984539  -2.39813
3068.48  0.947714  -2.45891
3079.25  0.914572  -2.51862
3090.01  0.884659  -2.5774
3100.78  0.857592  -2.63537
3111.55  0.833047  -2.69263
3122.31  0.810747  -2.74927
3133.08  0.79046  -2.80535
3143.85  0.771981  -2.86095
3154.61  0.755138  -2.91611
3165.38  0.739779  -2.97088
3176.15  0.725773  -3.0253
3186.91  0.713007  -3.07941
3197.68  0.701379  -3.13325
3208.45  0.690804  3.09636
3219.21  0.681203  3.04301
3229.98  0.67251  2.98986
3240.75  0.664664  2.9369
3251.51  0.657613  2.88412
3262.28  0.65131  2.83148
3273.05  0.645714  2.77898
3283.81  0.64079  2.72661
3294.58  0.636505  2.67435
3305.35  0.632832  2.6222
3316.11  0.629746  2.57014
3326.88  0.627226  2.51816
3337.65  0.625253  2.46626
3348.41  0.623812  2.41443
3359.18  0.622891  2.36265
3369.95  0.622477  2.31093
3380.71  0.622562  2.25926
3391.48  0.623139  2.20763
3402.25  0.624205  2.15603
3413.01  0.625755  2.10447
3423.78  0.627788  2.05293
3434.55  0.630306  2.0014
3445.31  0.633311  1.9499
3456.08  0.636806  1.8984
3466.85  0.640798  1.84691
3477.61  0.645293  1.79542
3488.38  0.650302  1.74393
3499.15  0.655835  1.69244
3509.91  0.661905  1.64093
3520.68  0.668527  1.58941
3531.45  0.675718  1.53786
3542.21  0.683496  1.4863
3552.98  0.691884  1.4347
3563.75  0.700903  1.38308
3574.51  0.710581  1.33142
3585.28  0.720947  1.27972
3596.04  0.732032  1.22798
3606.81  0.743871  1.17618
3617.58  0.756502  1.12433
3628.34  0.769968  1.07243
3639.11  0.784315  1.02045
3649.88  0.799593  0.968412
3660.64  0.81586  0.916294
3671.41  0.833175  0.864096
3682.18  0.851606  0.811809
3692.94  0.871228  0.759428
3703.71  0.892121  0.706944
3714.48  0.914376  0.65435
3725.24  0.938092  0.601638
3736.01  0.963379  0.548799
3746.78  0.990358  0.495822
3757.54  1.01917  0.442698
3768.31  1.04995  0.389414
3779.08  1.08288  0.335958
3789.84  1.11814  0.282316
3800.61  1.15594  0.228472
3811.38  1.19652  0.17441
3822.14  1.24015  0.120111
3832.91  1.28711  0.0655534
3843.68  1.33775  0.0107141
3854.44  1.39246  -0.0444335
3865.21  1.45168  -0.099919
3875.98  1.51591  -0.155776
3886.74  1.58574  -0.212044
3897.51  1.66183  -0.268767
3908.28  1.74498  -0.325995
3919.04  1.83609  -0.383788
3929.81  1.93624  -0.442214
3940.58  2.0467  -0.501356
3951.34  2.16898  -0.561308
3962.11  2.30488  -0.622186
3972.88  2.4566  -0.684127
3983.64  2.62679  -0.747299
3994.41  2.81871  -0.811908
4005.18  3.03639  -0.878209
4015.94  3.2849  -0.946522
4026.71  3.57062  -1.01726
4037.48  3.90172  -1.09094
4048.24  4.28874  -1.16825
4059.01  4.74549  -1.25013
4069.78  5.29016  -1.33781
4080.54  5.94691  -1.43301
4091.31  6.74777  -1.53816
4102.08  7.73442  -1.65673
4112.84  8.95785  -1.79372
4123.61  10.4695  -1.95626
4134.38  12.2869  -2.1539
4145.14  14.3028  -2.39703
4155.91  16.1345  -2.69026
4166.67  17.1265  -3.01967
4177.44  16.8566  2.93399
4188.21  15.6159  2.64031
4198.97  14.0237  2.39616
4209.74  12.495  2.19684
4220.51  11.1818  2.03191
4231.27  10.1001  1.89184
4242.04  9.2207  1.76952
4252.81  8.50607  1.65991
4263.57  7.92299  1.55954
4274.34  7.44479  1.46593
4285.11  7.05081  1.37733
4295.87  6.72527  1.29246
4306.64  6.45612  1.21033
4317.41  6.23409  1.1302
4328.17  6.05206  1.05146
4338.94  5.90451  0.973634
4349.71  5.78714  0.896297
4360.47  5.6966  0.819086
4371.24  5.63028  0.741669
4382.01  5.58617  0.663735
4392.77  5.56271  0.58498
4403.54  5.55868  0.505101
4414.31  5.57317  0.423785
4425.07  5.60547  0.340704
4435.84  5.65496  0.255506
4446.61  5.72107  0.167814
4457.37  5.80317  0.0772165
4468.14  5.90038  -0.0167308
4478.91  6.01148  -0.114505
4489.67  6.13463  -0.216611
4500.44  6.2671  -0.323564
4511.21  6.405  -0.435863
4521.97  6.54294  -0.553953
4532.74  6.67374  -0.678157
4543.51  6.78844  -0.808601
4554.27  6.87652  -0.945121
4565.04  6.92682  -1.08717
4575.81  6.92887  -1.23376
4586.57  6.8748  -1.38348
4597.34  6.76105  -1.53457
4608.11  6.58939  -1.6851
4618.87  6.36681  -1.83322
4629.64  6.10414  -1.97729
4640.41  5.81411  -2.1161
4651.17  5.50929  -2.24887
4661.94  5.20067  -2.37523
4672.71  4.89691  -2.49516
4683.47  4.60422  -2.60888
4694.24  4.3266  -2.71675
4705  4.06627  -2.81925
4715.77  3.82414  -2.91685
4726.54  3.60022  -3.01005
4737.3  3.39391  -3.0993
4748.07  3.20427  3.09814
4758.84  3.03018  3.01553
4769.6  2.87043  2.93569
4780.37  2.72382  2.85833
