num_points: 4096
frequency_Hz  magnitude  phase_rad
0.000000  0.000000  0.000000
10.766602  0.002460  1.512331
21.533203  0.004930  1.453143
32.299805  0.007421  1.394131
43.066406  0.009947  1.335163
53.833008  0.012523  1.276219
64.599609  0.015162  1.217296
75.366211  0.017882  1.158383
86.132813  0.020702  1.099464
96.899414  0.023643  1.040513
107.666016  0.026729  0.981491
118.432617  0.029991  0.922346
129.199219  0.033461  0.863010
139.965820  0.037179  0.803397
150.732422  0.041195  0.743399
161.499023  0.045567  0.682883
172.265625  0.050365  0.621682
183.032227  0.055681  0.559589
193.798828  0.061624  0.496344
204.565430  0.068339  0.431612
215.332031  0.076009  0.364962
226.098633  0.084879  0.295824
236.865234  0.095274  0.223427
247.631836  0.107641  0.146707
258.398438  0.122600  0.064151
269.165039  0.141037  -0.026459
279.931641  0.164230  -0.128479
290.698242  0.194033  -0.247168
301.464844  0.233051  -0.391008
312.231445  0.284417  -0.573811
322.998047  0.349520  -0.816732
333.764648  0.419258  -1.143369
344.531250  0.461059  -1.549181
355.297852  0.443457  -1.963506
366.064453  0.386247  -2.306299
376.831055  0.325402  -2.562457
387.597656  0.275172  -2.753791
398.364258  0.236365  -2.902705
409.130859  0.206552  -3.024235
419.897461  0.183337  -3.127646
430.664063  0.164922  3.064532
441.430664  0.150041  2.982307
452.197266  0.137810  2.906490
462.963867  0.127603  2.835478
473.730469  0.118972  2.768151
484.497070  0.111586  2.703709
495.263672  0.105203  2.641567
506.030273  0.099636  2.581287
516.796875  0.094743  2.522535
527.563477  0.090411  2.465054
538.330078  0.086554  2.408644
549.096680  0.083100  2.353144
559.863281  0.079994  2.298430
570.629883  0.077190  2.244400
581.396484  0.074651  2.190974
592.163086  0.072348  2.138084
602.929688  0.070259  2.085668
613.696289  0.068373  2.033639
624.462891  0.066690  1.981785
635.229492  0.065228  1.929372
645.996094  0.063963  1.873880
656.762695  0.062491  1.812971
667.529297  0.060614  1.757987
678.295898  0.059059  1.709820
689.062500  0.057806  1.661909
699.829102  0.056708  1.613271
710.595703  0.055707  1.564147
721.362305  0.054779  1.514763
732.128906  0.053915  1.465251
742.895508  0.053109  1.415684
753.662109  0.052354  1.366105
764.428711  0.051647  1.316537
775.195313  0.050986  1.266994
785.961914  0.050366  1.217483
796.728516  0.049785  1.168008
807.495117  0.049242  1.118571
818.261719  0.048733  1.069173
829.028320  0.048257  1.019812
839.794922  0.047812  0.970487
850.561523  0.047397  0.921198
861.328125  0.047010  0.871942
872.094727  0.046649  0.822718
882.861328  0.046314  0.773524
893.627930  0.046003  0.724358
904.394531  0.045715  0.675219
915.161133  0.045450  0.626106
925.927734  0.045206  0.577016
936.694336  0.044983  0.527948
947.460938  0.044779  0.478901
958.227539  0.044595  0.429874
968.994141  0.044429  0.380865
979.760742  0.044282  0.331873
990.527344  0.044152  0.282897
1001.293945  0.044039  0.233936
1012.060547  0.043942  0.184988
1022.827148  0.043862  0.136054
1033.593750  0.043798  0.087132
1044.360352  0.043749  0.038220
1055.126953  0.043716  -0.010681
1065.893555  0.043698  -0.059572
1076.660156  0.043694  -0.108454
1087.426758  0.043705  -0.157329
1098.193359  0.043731  -0.206195
1108.959961  0.043771  -0.255055
1119.726563  0.043825  -0.303908
1130.493164  0.043893  -0.352756
1141.259766  0.043975  -0.401599
1152.026367  0.044071  -0.450436
1162.792969  0.044180  -0.499270
1173.559570  0.044304  -0.548100
1184.326172  0.044442  -0.596926
1195.092773  0.044593  -0.645750
1205.859375  0.044759  -0.694571
1216.625977  0.044939  -0.743390
1227.392578  0.045132  -0.792207
1238.159180  0.045340  -0.841023
1248.925781  0.045562  -0.889838
1259.692383  0.045799  -0.938653
1270.458984  0.046051  -0.987467
1281.225586  0.046317  -1.036281
1291.992188  0.046598  -1.085096
1302.758789  0.046894  -1.133911
1313.525391  0.047206  -1.182728
1324.291992  0.047534  -1.231545
1335.058594  0.047878  -1.280365
1345.825195  0.048238  -1.329186
1356.591797  0.048614  -1.378009
1367.358398  0.049008  -1.426835
1378.125000  0.049419  -1.475663
1388.891602  0.049847  -1.524494
1399.658203  0.050294  -1.573329
1410.424805  0.050759  -1.622167
1421.191406  0.051244  -1.671009
1431.958008  0.051748  -1.719855
1442.724609  0.052272  -1.768705
1453.491211  0.052816  -1.817560
1464.257813  0.053382  -1.866419
1475.024414  0.053970  -1.915284
1485.791016  0.054580  -1.964154
1496.557617  0.055213  -2.013029
1507.324219  0.055870  -2.061911
1518.090820  0.056552  -2.110798
1528.857422  0.057259  -2.159692
1539.624023  0.057993  -2.208593
1550.390625  0.058754  -2.257501
1561.157227  0.059542  -2.306416
1571.923828  0.060360  -2.355338
1582.690430  0.061208  -2.404269
1593.457031  0.062088  -2.453207
1604.223633  0.062999  -2.502154
1614.990234  0.063945  -2.551110
1625.756836  0.064925  -2.600075
1636.523438  0.065942  -2.649049
1647.290039  0.066996  -2.698034
1658.056641  0.068090  -2.747028
1668.823242  0.069224  -2.796033
1679.589844  0.070401  -2.845049
1690.356445  0.071623  -2.894076
1701.123047  0.072891  -2.943115
1711.889648  0.074207  -2.992166
1722.656250  0.075573  -3.041230
1733.422852  0.076992  -3.090307
1744.189453  0.078466  -3.139397
1754.956055  0.079998  3.094684
1765.722656  0.081590  3.045565
1776.489258  0.083245  2.996432
1787.255859  0.084966  2.947282
1798.022461  0.086757  2.898117
1808.789063  0.088621  2.848934
1819.555664  0.090561  2.799734
1830.322266  0.092581  2.750517
1841.088867  0.094686  2.701280
1851.855469  0.096880  2.652024
1862.622070  0.099168  2.602747
1873.388672  0.101554  2.553449
1884.155273  0.104045  2.504129
1894.921875  0.106646  2.454787
1905.688477  0.109363  2.405420
1916.455078  0.112202  2.356028
1927.221680  0.115173  2.306610
1937.988281  0.118281  2.257166
1948.754883  0.121535  2.207692
1959.521484  0.124944  2.158189
1970.288086  0.128518  2.108655
1981.054688  0.132268  2.059088
1991.821289  0.136204  2.009486
2002.587891  0.140339  1.959849
2013.354492  0.144686  1.910174
2024.121094  0.149260  1.860459
2034.887695  0.154077  1.810702
2045.654297  0.159153  1.760900
2056.420898  0.164508  1.711052
2067.187500  0.170162  1.661154
2077.954102  0.176137  1.611204
2088.720703  0.182459  1.561198
2099.487305  0.189154  1.511133
2110.253906  0.196252  1.461005
2121.020508  0.203787  1.410809
2131.787109  0.211795  1.360542
2142.553711  0.220317  1.310198
2153.320313  0.229398  1.259772
2164.086914  0.239089  1.209257
2174.853516  0.249446  1.158646
2185.620117  0.260533  1.107933
2196.386719  0.272422  1.057107
2207.153320  0.285193  1.006160
2217.919922  0.298938  0.955081
2228.686523  0.313762  0.903857
2239.453125  0.329783  0.852475
2250.219727  0.347138  0.800919
2260.986328  0.365986  0.749169
2271.752930  0.386509  0.697206
2282.519531  0.408921  0.645005
2293.286133  0.433470  0.592537
2304.052734  0.460452  0.539769
2314.819336  0.490216  0.486661
2325.585938  0.523181  0.433165
2336.352539  0.559849  0.379226
2347.119141  0.600833  0.324773
2357.885742  0.646887  0.269723
2368.652344  0.698942  0.213970
2379.418945  0.758172  0.157384
2390.185547  0.826069  0.099798
2400.952148  0.904559  0.040995
2411.718750  0.996170  -0.019308
2422.485352  1.104285  -0.081493
2433.251953  1.233530  -0.146081
2444.018555  1.390383  -0.213809
2454.785156  1.584184  -0.285744
2465.551758  1.828838  -0.363499
2476.318359  2.145851  -0.449608
2487.084961  2.569899  -0.548275
2497.851563  3.159341  -0.666923
2508.618164  4.015243  -0.819608
2519.384766  5.303631  -1.034751
2530.151367  7.170639  -1.368735
2540.917969  8.951945  -1.886534
2551.684570  8.615141  -2.478911
2562.451172  6.846282  -2.914269
2573.217773  5.342568  3.095185
2583.984375  4.318823  2.911602
2594.750977  3.623194  2.775544
2605.517578  3.132726  2.666168
2616.284180  2.773413  2.572898
2627.050781  2.501468  2.489976
2637.817383  2.290144  2.414044
2648.583984  2.122432  2.343029
2659.350586  1.987102  2.275588
2670.117188  1.876480  2.210817
2680.883789  1.785170  2.148088
2691.650391  1.709296  2.086961
2702.416992  1.646036  2.027110
2713.183594  1.593320  1.968259
2723.950195  1.549534  1.910128
2734.716797  1.513297  1.852489
2745.483398  1.483504  1.795240
2756.250000  1.459366  1.738332
2767.016602  1.440307  1.681705
2777.783203  1.425881  1.625293
2788.549805  1.415736  1.569027
2799.316406  1.409597  1.512845
2810.083008  1.407261  1.456690
2820.849609  1.408585  1.400507
2831.616211  1.413478  1.344245
2842.382813  1.421903  1.287854
2853.149414  1.433870  1.231282
2863.916016  1.449435  1.174477
2874.682617  1.468702  1.117384
2885.449219  1.491824  1.059946
2896.215820  1.519007  1.002097
2906.982422  1.550512  0.943768
2917.749023  1.586668  0.884880
2928.515625  1.627873  0.825342
2939.282227  1.674614  0.765051
2950.048828  1.727476  0.703889
2960.815430  1.787163  0.641715
2971.582031  1.854524  0.578363
2982.348633  1.930579  0.513634
2993.115234  2.016561  0.447289
3003.881836  2.113963  0.379036
3014.648438  2.224597  0.308517
3025.415039  2.350671  0.235283
3036.181641  2.494872  0.158776
3046.948242  2.660476  0.078285
3057.714844  2.851443  -0.007099
3068.481445  3.072495  -0.098550
3079.248047  3.329093  -0.197589
