num_points: 4096
frequency_Hz  magnitude  phase_rad
0.000000  0.000000  0.000000
10.766602  0.004923  1.509245
21.533203  0.009875  1.446751
32.299805  0.014894  1.384372
43.066406  0.020021  1.321912
53.833008  0.025300  1.259309
64.599609  0.030780  1.196509
75.366211  0.036516  1.133450
86.132812  0.042574  1.070045
96.899414  0.049030  1.006185
107.666016  0.055977  0.941724
118.432617  0.063527  0.876477
129.199219  0.071822  0.810200
139.965820  0.081038  0.742584
150.732422  0.091402  0.673218
161.499023  0.103209  0.601564
172.265625  0.116847  0.526897
183.032227  0.132843  0.448224
193.798828  0.151918  0.364152
204.565430  0.175079  0.272674
215.332031  0.203751  0.170812
226.098633  0.239954  0.054019
236.865234  0.286462  -0.084833
247.631836  0.346604  -0.256995
258.398438  0.422363  -0.479412
269.165039  0.507137  -0.772319
279.931641  0.572230  -1.140732
290.698242  0.576886  -1.540599
301.464844  0.522834  -1.897230
312.231445  0.449757  -2.176221
322.998047  0.383480  -2.387577
333.764648  0.330146  -2.551622
344.531250  0.288431  -2.684283
355.297852  0.255692  -2.795973
366.064453  0.229639  -2.893274
376.831055  0.208566  -2.980398
387.597656  0.191245  -3.060112
398.364258  0.176796  -3.134287
409.130859  0.164585  3.078962
419.897461  0.154143  3.012333
430.664062  0.145122  2.948334
441.430664  0.137257  2.886456
452.197266  0.130345  2.826316
462.963867  0.124227  2.767615
473.730469  0.118777  2.710120
484.497070  0.113895  2.653645
495.263672  0.109499  2.598041
506.030273  0.105524  2.543189
516.796875  0.101913  2.488989
527.563477  0.098624  2.435362
538.330078  0.095617  2.382241
549.096680  0.092860  2.329571
559.863281  0.090329  2.277309
570.629883  0.088001  2.225418
581.396484  0.085858  2.173871
592.163086  0.083887  2.122642
602.929688  0.082082  2.071702
613.696289  0.080443  2.020986
624.462891  0.078986  1.970284
635.229492  0.077748  1.918785
645.996094  0.076710  1.863662
656.762695  0.075329  1.802304
667.529297  0.073337  1.747543
678.295898  0.071731  1.700401
689.062500  0.070494  1.653465
699.829102  0.069430  1.605629
710.595703  0.068463  1.557176
721.362305  0.067567  1.508366
732.128906  0.066730  1.459356
742.895508  0.065946  1.410237
753.662109  0.065210  1.361058
764.428711  0.064520  1.311853
775.195312  0.063872  1.262639
785.961914  0.063265  1.213429
796.728516  0.062696  1.164230
