num_points: 4096
frequency_Hz  magnitude  phase_rad
0.000000  0.000000  0.000000
10.766602  0.002461  1.508496
21.533203  0.004934  1.445283
32.299805  0.007433  1.382309
43.066406  0.009975  1.319404
53.833008  0.012579  1.256545
64.599609  0.015263  1.193729
75.366211  0.018049  1.130946
86.132813  0.020962  1.068176
96.899414  0.024029  1.005384
107.666016  0.027283  0.942517
118.432617  0.030763  0.879505
129.199219  0.034515  0.816253
139.965820  0.038593  0.752642
150.732422  0.043064  0.688519
161.499023  0.048010  0.623697
172.265625  0.053532  0.557938
183.032227  0.059759  0.490943
193.798828  0.066851  0.422332
204.565430  0.075019  0.351615
215.332031  0.084539  0.278148
226.098633  0.095776  0.201066
236.865234  0.109227  0.119189
247.631836  0.125578  0.030854
258.398438  0.145781  -0.066337
269.165039  0.171176  -0.175934
279.931641  0.203613  -0.303333
290.698242  0.245464  -0.456827
301.464844  0.299032  -0.648907
312.231445  0.363774  -0.896219
322.998047  0.428962  -1.212125
333.764648  0.467948  -1.583454
344.531250  0.459733  -1.955025
355.297852  0.417750  -2.271382
366.064453  0.367978  -2.518985
376.831055  0.323827  -2.711084
387.597656  0.288204  -2.864345
398.364258  0.260246  -2.991299
409.130859  0.238386  -3.100269
419.897461  0.221231  3.086516
430.664063  0.207714  2.999121
441.430664  0.197052  2.918324
452.197266  0.188677  2.842456
462.963867  0.182183  2.770322
473.730469  0.177276  2.701045
484.497070  0.173749  2.633960
495.263672  0.171461  2.568546
506.030273  0.170324  2.504382
516.796875  0.170295  2.441114
527.563477  0.171371  2.378428
538.330078  0.173594  2.316030
549.096680  0.177049  2.253630
559.863281  0.181876  2.190920
570.629883  0.188285  2.127550
581.396484  0.196577  2.063100
592.163086  0.207188  1.997033
602.929688  0.220746  1.928626
613.696289  0.238176  1.856860
624.462891  0.260887  1.780226
635.229492  0.291099  1.696415
645.996094  0.332535  1.601774
656.762695  0.392187  1.489273
667.529297  0.482804  1.341818
678.295898  0.626287  1.125888
689.062500  0.848232  0.765550
699.829102  1.037483  0.153672
710.595703  0.878801  -0.516772
721.362305  0.617691  -0.939568
732.128906  0.445194  -1.184610
742.895508  0.338830  -1.346269
753.662109  0.269573  -1.466871
764.428711  0.221704  -1.565019
775.195313  0.186949  -1.649728
785.961914  0.160716  -1.725807
796.728516  0.140294  -1.796026
807.495117  0.123996  -1.862091
818.261719  0.110723  -1.925103
829.028320  0.099728  -1.985805
839.794922  0.090489  -2.044716
850.561523  0.082632  -2.102209
861.328125  0.075879  -2.158561
872.094727  0.070022  -2.213979
882.861328  0.064900  -2.268623
893.627930  0.060390  -2.322617
904.394531  0.056394  -2.376061
915.161133  0.052832  -2.429034
925.927734  0.049641  -2.481601
936.694336  0.046769  -2.533816
947.460938  0.044174  -2.585721
958.227539  0.041819  -2.637355
968.994141  0.039675  -2.688749
979.760742  0.037716  -2.739928
990.527344  0.035922  -2.790917
1001.293945  0.034273  -2.841733
1012.060547  0.032754  -2.892395
1022.827148  0.031351  -2.942918
1033.593750  0.030053  -2.993313
1044.360352  0.028848  -3.043593
1055.126953  0.027729  -3.093767
1065.893555  0.026688  3.139341
1076.660156  0.025716  3.089352
1087.426758  0.024809  3.039444
1098.193359  0.023959  2.989612
1108.959961  0.023164  2.939849
1119.726563  0.022418  2.890151
1130.493164  0.021717  2.840512
1141.259766  0.021057  2.790929
1152.026367  0.020436  2.741397
1162.792969  0.019851  2.691913
1173.559570  0.019299  2.642474
1184.326172  0.018778  2.593076
1195.092773  0.018285  2.543718
1205.859375  0.017818  2.494397
1216.625977  0.017377  2.445110
1227.392578  0.016959  2.395855
1238.159180  0.016562  2.346631
1248.925781  0.016186  2.297435
1259.692383  0.015828  2.248266
1270.458984  0.015489  2.199123
1281.225586  0.015167  2.150003
1291.992188  0.014860  2.100906
1302.758789  0.014569  2.051830
1313.525391  0.014291  2.002774
1324.291992  0.014027  1.953738
1335.058594  0.013776  1.904719
1345.825195  0.013536  1.855717
1356.591797  0.013308  1.806731
1367.358398  0.013091  1.757760
1378.125000  0.012884  1.708804
1388.891602  0.012687  1.659861
1399.658203  0.012499  1.610932
1410.424805  0.012320  1.562014
1421.191406  0.012149  1.513109
1431.958008  0.011987  1.464214
1442.724609  0.011832  1.415330
1453.491211  0.011685  1.366455
1464.257813  0.011545  1.317590
1475.024414  0.011412  1.268734
1485.791016  0.011285  1.219886
1496.557617  0.011165  1.171046
1507.324219  0.011050  1.122214
1518.090820  0.010942  1.073388
1528.857422  0.010839  1.024570
1539.624023  0.010742  0.975758
1550.390625  0.010650  0.926951
1561.157227  0.010563  0.878151
1571.923828  0.010482  0.829356
1582.690430  0.010405  0.780565
1593.457031  0.010333  0.731780
1604.223633  0.010265  0.682999
1614.990234  0.010202  0.634221
1625.756836  0.010143  0.585448
1636.523438  0.010089  0.536678
1647.290039  0.010038  0.487912
1658.056641  0.009992  0.439149
1668.823242  0.009950  0.390388
1679.589844  0.009912  0.341630
1690.356445  0.009877  0.292874
1701.123047  0.009847  0.244120
1711.889648  0.009820  0.195369
1722.656250  0.009797  0.146618
1733.422852  0.009778  0.097870
1744.189453  0.009763  0.049122
1754.956055  0.009751  0.000375
1765.722656  0.009743  -0.048370
1776.489258  0.009738  -0.097116
1787.255859  0.009737  -0.145860
1798.022461  0.009739  -0.194605
1808.789063  0.009746  -0.243350
1819.555664  0.009755  -0.292095
1830.322266  0.009769  -0.340840
1841.088867  0.009786  -0.389586
1851.855469  0.009807  -0.438333
1862.622070  0.009831  -0.487080
1873.388672  0.009859  -0.535829
1884.155273  0.009891  -0.584580
1894.921875  0.009927  -0.633332
1905.688477  0.009967  -0.682086
1916.455078  0.010011  -0.730842
1927.221680  0.010058  -0.779600
1937.988281  0.010110  -0.828361
1948.754883  0.010166  -0.877125
1959.521484  0.010226  -0.925891
1970.288086  0.010290  -0.974661
1981.054688  0.010359  -1.023434
1991.821289  0.010433  -1.072210
2002.587891  0.010511  -1.120991
2013.354492  0.010594  -1.169776
2024.121094  0.010682  -1.218565
2034.887695  0.010775  -1.267359
2045.654297  0.010873  -1.316158
2056.420898  0.010977  -1.364963
2067.187500  0.011087  -1.413773
2077.954102  0.011202  -1.462589
2088.720703  0.011323  -1.511411
2099.487305  0.011451  -1.560240
2110.253906  0.011585  -1.609076
2121.020508  0.011726  -1.657919
2131.787109  0.011874  -1.706771
2142.553711  0.012030  -1.755630
2153.320313  0.012193  -1.804499
2164.086914  0.012364  -1.853376
2174.853516  0.012544  -1.902263
2185.620117  0.012732  -1.951161
2196.386719  0.012930  -2.000069
2207.153320  0.013137  -2.048989
2217.919922  0.013355  -2.097921
2228.686523  0.013584  -2.146866
2239.453125  0.013824  -2.195824
2250.219727  0.014076  -2.244796
2260.986328  0.014340  -2.293784
2271.752930  0.014619  -2.342787
2282.519531  0.014911  -2.391808
2293.286133  0.015218  -2.440846
2304.052734  0.015542  -2.489904
2314.819336  0.015882  -2.538982
2325.585938  0.016241  -2.588082
2336.352539  0.016619  -2.637205
2347.119141  0.017018  -2.686353
2357.885742  0.017439  -2.735528
2368.652344  0.017884  -2.784730
2379.418945  0.018355  -2.833963
2390.185547  0.018853  -2.883229
2400.952148  0.019381  -2.932529
2411.718750  0.019940  -2.981867
2422.485352  0.020535  -3.031246
2433.251953  0.021167  -3.080670
2444.018555  0.021840  -3.130141
2454.785156  0.022558  3.103520
2465.551758  0.023325  3.053939
2476.318359  0.024145  3.004295
2487.084961  0.025024  2.954582
2497.851563  0.025968  2.904792
2508.618164  0.026984  2.854917
2519.384766  0.028079  2.804947
2530.151367  0.029264  2.754869
2540.917969  0.030548  2.704670
2551.684570  0.031945  2.654333
2562.451172  0.033468  2.603834
2573.217773  0.035135  2.553147
2583.984375  0.036968  2.502236
2594.750977  0.038992  2.451054
2605.517578  0.041237  2.399535
2616.284180  0.043741  2.347587
2627.050781  0.046554  2.295076
2637.817383  0.049736  2.241795
2648.583984  0.053365  2.187415
2659.350586  0.057540  2.131399
2670.117188  0.062388  2.072840
2680.883789  0.068045  2.010247
2691.650391  0.074613  1.941432
2702.416992  0.082012  1.864432
2713.183594  0.089866  1.781184
2723.950195  0.098013  1.700936
2734.716797  0.107477  1.631631
2745.483398  0.120038  1.569291
2756.250000  0.137355  1.504665
2767.016602  0.161420  1.430392
2777.783203  0.195673  1.339703
2788.549805  0.246736  1.221793
2799.316406  0.327954  1.053362
2810.083008  0.464457  0.776989
2820.849609  0.658398  0.263665
2831.616211  0.679542  -0.483048
2842.382813  0.496128  -1.023757
2853.149414  0.356915  -1.316176
2863.916016  0.273368  -1.494336
2874.682617  0.220789  -1.620576
2885.449219  0.185355  -1.720215
2896.215820  0.160082  -1.804699
2906.982422  0.141241  -1.879818
2917.749023  0.126702  -1.948777
2928.515625  0.115174  -2.013482
2939.282227  0.105829  -2.075135
2950.048828  0.098117  -2.134526
2960.815430  0.091658  -2.192199
2971.582031  0.086180  -2.248536
2982.348633  0.081486  -2.303815
2993.115234  0.077427  -2.358245
3003.881836  0.073891  -2.411981
3014.648438  0.070792  -2.465144
3025.415039  0.068059  -2.517830
3036.181641  0.065639  -2.570115
3046.948242  0.063488  -2.622057
3057.714844  0.061569  -2.673708
3068.481445  0.059854  -2.725108
3079.248047  0.058317  -2.776290
3090.014648  0.056939  -2.827283
3100.781250  0.055702  -2.878110
3111.547852  0.054592  -2.928791
3122.314453  0.053597  -2.979345
3133.081055  0.052705  -3.029785
3143.847656  0.051908  -3.080126
3154.614258  0.051198  -3.130377
3165.380859  0.050568  3.102637
3176.147461  0.050013  3.052535
3186.914063  0.049528  3.002496
3197.680664  0.049107  2.952513
3208.447266  0.048748  2.902579
3219.213867  0.048447  2.852689
3229.980469  0.048202  2.802838
3240.747070  0.048009  2.753022
3251.513672  0.047868  2.703236
3262.280273  0.047775  2.653476
3273.046875  0.047731  2.603739
3283.813477  0.047733  2.554022
3294.580078  0.047781  2.504320
3305.346680  0.047874  2.454633
3316.113281  0.048011  2.404955
3326.879883  0.048193  2.355286
3337.646484  0.048420  2.305622
3348.413086  0.048691  2.255961
3359.179688  0.049007  2.206301
3369.946289  0.049369  2.156639
3380.712891  0.049777  2.106972
3391.479492  0.050233  2.057299
3402.246094  0.050737  2.007618
3413.012695  0.051290  1.957925
3423.779297  0.051896  1.908218
3434.545898  0.052554  1.858496
3445.312500  0.053268  1.808755
3456.079102  0.054040  1.758993
3466.845703  0.054873  1.709208
3477.612305  0.055769  1.659395
3488.378906  0.056731  1.609553
3499.145508  0.057765  1.559679
3509.912109  0.058872  1.509768
3520.678711  0.060059  1.459817
3531.445313  0.061330  1.409823
3542.211914  0.062691  1.359782
3552.978516  0.064149  1.309688
3563.745117  0.065709  1.259536
3574.511719  0.067380  1.209323
3585.278320  0.069171  1.159040
3596.044922  0.071092  1.108683
3606.811523  0.073152  1.058243
3617.578125  0.075366  1.007713
3628.344727  0.077745  0.957084
3639.111328  0.080308  0.906346
3649.877930  0.083070  0.855487
3660.644531  0.086052  0.804495
3671.411133  0.089278  0.753354
3682.177734  0.092774  0.702050
3692.944336  0.096570  0.650561
3703.710938  0.100703  0.598867
3714.477539  0.105214  0.546941
3725.244141  0.110151  0.494754
3736.010742  0.115571  0.442271
3746.777344  0.121542  0.389450
3757.543945  0.128146  0.336241
3768.310547  0.135479  0.282584
3779.077148  0.143661  0.228407
3789.843750  0.152838  0.173620
3800.610352  0.163190  0.118112
3811.376953  0.174944  0.061743
3822.143555  0.188388  0.004337
3832.910156  0.203896  -0.054337
3843.676758  0.221956  -0.114581
3854.443359  0.243221  -0.176802
3865.209961  0.268583  -0.241558
3875.976563  0.299293  -0.309636
3886.743164  0.337145  -0.382181
3897.509766  0.384809  -0.460920
3908.276367  0.446391  -0.548573
3919.042969  0.528458  -0.649644
3929.809570  0.641899  -0.772055
3940.576172  0.804963  -0.930678
3951.342773  1.045107  -1.154877
3962.109375  1.374620  -1.499214
3972.875977  1.644983  -2.012361
3983.642578  1.540047  -2.573120
3994.409180  1.221253  -2.984714
4005.175781  0.952940  3.033907
4015.942383  0.767180  2.853782
4026.708984  0.638944  2.719587
4037.475586  0.547321  2.611889
4048.242188  0.479412  2.520672
4059.008789  0.427478  2.440487
4069.775391  0.386790  2.368200
4080.541992  0.354395  2.301788
4091.308594  0.328385  2.239520
4102.075195  0.307356  2.179499
4112.841797  0.290060  2.120000
4123.608398  0.275409  2.060302
4134.375000  0.262663  2.000706
4145.141602  0.251431  1.941754
4155.908203  0.241500  1.883749
4166.674805  0.232725  1.826741
4177.441406  0.224978  1.770648
4188.208008  0.218144  1.715349
4198.974609  0.212118  1.660723
4209.741211  0.206811  1.606662
4220.507813  0.202145  1.553079
4231.274414  0.198052  1.499900
4242.041016  0.194477  1.447064
4252.807617  0.191370  1.394522
4263.574219  0.188692  1.342232
4274.340820  0.186408  1.290161
4285.107422  0.184490  1.238278
4295.874023  0.182913  1.186560
4306.640625  0.181657  1.134984
4317.407227  0.180704  1.083531
4328.173828  0.180042  1.032187
