num_points: 4096
frequency_Hz  magnitude  phase_rad
0.000000  0.000000  0.000000
10.766602  0.002463  1.506171
21.533203  0.004943  1.440345
32.299805  0.007463  1.374683
43.066406  0.010047  1.308945
53.833008  0.012720  1.243055
64.599609  0.015512  1.176954
75.366211  0.018457  1.110566
86.132813  0.021593  1.043790
96.899414  0.024968  0.976492
107.666016  0.028639  0.908497
118.432617  0.032675  0.839575
129.199219  0.037163  0.769428
139.965820  0.042216  0.697667
150.732422  0.047976  0.623779
161.499023  0.054632  0.547083
172.265625  0.062434  0.466653
183.032227  0.071721  0.381213
193.798828  0.082962  0.288955
204.565430  0.096807  0.187256
215.332031  0.114161  0.072213
226.098633  0.136255  -0.062111
236.865234  0.164587  -0.224800
247.631836  0.200324  -0.429239
258.398438  0.241991  -0.692028
269.165039  0.280401  -1.022430
279.931641  0.297805  -1.397522
290.698242  0.285659  -1.757947
301.464844  0.256277  -2.057401
312.231445  0.224688  -2.290780
322.998047  0.197404  -2.473006
333.764648  0.175461  -2.619717
344.531250  0.158128  -2.742250
355.297852  0.144419  -2.848100
366.064453  0.133495  -2.942162
376.831055  0.124715  -3.027679
387.597656  0.117609  -3.106855
398.364258  0.111831  3.101959
409.130859  0.107128  3.031295
419.897461  0.103312  2.963531
430.664063  0.100245  2.898062
441.430664  0.097823  2.834424
452.197266  0.095968  2.772251
462.963867  0.094626  2.711250
473.730469  0.093758  2.651180
484.497070  0.093339  2.591837
495.263672  0.093359  2.533043
506.030273  0.093816  2.474638
516.796875  0.094725  2.416473
527.563477  0.096110  2.358399
538.330078  0.098011  2.300267
549.096680  0.100486  2.241916
559.863281  0.103615  2.183163
570.629883  0.107508  2.123792
581.396484  0.112313  2.063541
592.163086  0.118236  2.002069
602.929688  0.125561  1.938924
613.696289  0.134697  1.873477
624.462891  0.146239  1.804811
635.229492  0.161093  1.731513
645.996094  0.180674  1.651237
656.762695  0.207231  1.560206
667.529297  0.244794  1.452705
678.295898  0.301230  1.315563
689.062500  0.391429  1.118976
699.829102  0.538147  0.791921
710.595703  0.698977  0.205556
721.362305  0.625001  -0.512901
732.128906  0.436451  -0.978058
742.895508  0.310427  -1.237926
753.662109  0.234354  -1.404244
764.428711  0.185668  -1.526136
775.195313  0.152412  -1.624363
785.961914  0.128460  -1.708692
796.728516  0.110482  -1.784218
807.495117  0.096539  -1.853836
818.261719  0.085442  -1.919298
829.028320  0.076420  -1.981731
839.794922  0.068956  -2.041886
850.561523  0.062689  -2.100284
861.328125  0.057361  -2.157299
872.094727  0.052782  -2.213205
882.861328  0.048810  -2.268208
893.627930  0.045336  -2.322464
904.394531  0.042276  -2.376096
915.161133  0.039563  -2.429202
925.927734  0.037144  -2.481858
936.694336  0.034976  -2.534128
947.460938  0.033023  -2.586063
958.227539  0.031258  -2.637705
968.994141  0.029654  -2.689091
979.760742  0.028194  -2.740251
990.527344  0.026859  -2.791209
1001.293945  0.025635  -2.841988
