num_points: 4096
frequency_Hz  magnitude  phase_rad
0.000000  0.000000  0.000000
10.766602  0.000492  1.515141
21.533203  0.000986  1.458844
32.299805  0.001484  1.402722
43.066406  0.001988  1.346679
53.833008  0.002500  1.290709
64.599609  0.003024  1.234817
75.366211  0.003561  1.179009
86.132812  0.004115  1.123287
96.899414  0.004689  1.067648
107.666016  0.005287  1.012083
118.432617  0.005913  0.956576
129.199219  0.006573  0.901104
139.965820  0.007271  0.845637
150.732422  0.008014  0.790135
161.499023  0.008811  0.734550
172.265625  0.009670  0.678825
183.032227  0.010602  0.622889
193.798828  0.011620  0.566657
204.565430  0.012740  0.510027
215.332031  0.013982  0.452874
226.098633  0.015371  0.395046
236.865234  0.016936  0.336351
247.631836  0.018717  0.276548
258.398438  0.020766  0.215324
269.165039  0.023150  0.152268
279.931641  0.025962  0.086826
290.698242  0.029327  0.018228
301.464844  0.033427  -0.054626
312.231445  0.038524  -0.133360
322.998047  0.045016  -0.220478
333.764648  0.053522  -0.320016
344.531250  0.065037  -0.438840
355.297852  0.081175  -0.589299
366.064453  0.104312  -0.794567
376.831055  0.136089  -1.096360
387.597656  0.167837  -1.541481
398.364258  0.171110  -2.074257
409.130859  0.144450  -2.517064
419.897461  0.115490  -2.816813
430.664062  0.093809  -3.020731
441.430664  0.078474  3.112965
452.197266  0.067444  2.994956
462.963867  0.059263  2.896196
473.730469  0.053009  2.809886
484.497070  0.048101  2.732026
495.263672  0.044164  2.660138
506.030273  0.040945  2.592617
516.796875  0.038274  2.528379
527.563477  0.036028  2.466671
538.330078  0.034119  2.406953
549.096680  0.032482  2.348828
559.863281  0.031068  2.291996
570.629883  0.029840  2.236220
581.396484  0.028772  2.181283
592.163086  0.027842  2.126888
602.929688  0.027033  2.072358
613.696289  0.026297  2.016761
624.462891  0.025579  1.962407
635.229492  0.024947  1.910655
645.996094  0.024410  1.859533
656.762695  0.023944  1.808485
667.529297  0.023534  1.757510
678.295898  0.023173  1.706646
689.062500  0.022855  1.655909
699.829102  0.022578  1.605303
710.595703  0.022337  1.554825
721.362305  0.022131  1.504466
732.128906  0.021956  1.454219
742.895508  0.021811  1.404074
753.662109  0.021694  1.354022
764.428711  0.021604  1.304054
775.195312  0.021540  1.254164
785.961914  0.021501  1.204343
796.728516  0.021486  1.154585
807.495117  0.021494  1.104884
818.261719  0.021526  1.055233
829.028320  0.021580  1.005628
839.794922  0.021656  0.956064
850.561523  0.021756  0.906535
861.328125  0.021877  0.857038
872.094727  0.022022  0.807568
882.861328  0.022190  0.758121
893.627930  0.022381  0.708695
904.394531  0.022597  0.659284
915.161133  0.022837  0.609887
925.927734  0.023103  0.560499
936.694336  0.023396  0.511117
947.460938  0.023716  0.461738
958.227539  0.024066  0.412359
968.994141  0.024446  0.362977
979.760742  0.024858  0.313588
990.527344  0.025304  0.264189
1001.293945  0.025787  0.214777
1012.060547  0.026308  0.165347
1022.827148  0.026870  0.115897
1033.593750  0.027477  0.066422
1044.360352  0.028131  0.016917
1055.126953  0.028837  -0.032621
1065.893555  0.029599  -0.082198
1076.660156  0.030422  -0.131819
1087.426758  0.031312  -0.181491
1098.193359  0.032274  -0.231220
1108.959961  0.033317  -0.281014
1119.726562  0.034448  -0.330881
1130.493164  0.035678  -0.380831
1141.259766  0.037017  -0.430875
1152.026367  0.038479  -0.481026
1162.792969  0.040080  -0.531299
1173.559570  0.041836  -0.581710
1184.326172  0.043770  -0.632280
1195.092773  0.045907  -0.683034
1205.859375  0.048277  -0.733999
1216.625977  0.050919  -0.785212
1227.392578  0.053877  -0.836714
1238.159180  0.057209  -0.888559
1248.925781  0.060985  -0.940814
1259.692383  0.065295  -0.993561
1270.458984  0.070257  -1.046909
1281.225586  0.076022  -1.101000
1291.992188  0.082795  -1.156024
1302.758789  0.090855  -1.212242
1313.525391  0.100595  -1.270020
1324.291992  0.112584  -1.329891
1335.058594  0.127681  -1.392658
1345.825195  0.147235  -1.459594
1356.591797  0.173498  -1.532838
1367.358398  0.210506  -1.616264
1378.125000  0.266198  -1.717651
1388.891602  0.358191  -1.854976
1399.658203  0.531181  -2.078861
1410.424805  0.881528  -2.564215
1421.191406  1.030707  2.728908
1431.958008  0.642638  2.061500
1442.724609  0.421214  1.777568
1453.491211  0.308741  1.618635
1464.257812  0.243351  1.507504
1475.024414  0.201127  1.418929
1485.791016  0.171780  1.342648
1496.557617  0.150271  1.273769
