num_points: 4096
frequency_Hz  magnitude  phase_rad
0.000000  0.000000  0.000000
10.766602  0.000246  1.517968
21.533203  0.000492  1.464898
32.299805  0.000738  1.411972
43.066406  0.000986  1.359138
53.833008  0.001235  1.306403
64.599609  0.001486  1.253780
75.366211  0.001739  1.201284
86.132813  0.001995  1.148929
96.899414  0.002255  1.096725
107.666016  0.002518  1.044681
118.432617  0.002786  0.992801
129.199219  0.003059  0.941090
139.965820  0.003338  0.889546
150.732422  0.003623  0.838168
161.499023  0.003916  0.786950
172.265625  0.004217  0.735888
183.032227  0.004528  0.684972
193.798828  0.004848  0.634195
204.565430  0.005180  0.583545
215.332031  0.005524  0.533012
226.098633  0.005882  0.482584
236.865234  0.006256  0.432250
247.631836  0.006646  0.381997
258.398438  0.007054  0.331812
269.165039  0.007482  0.281683
279.931641  0.007933  0.231597
290.698242  0.008407  0.181541
301.464844  0.008908  0.131502
312.231445  0.009438  0.081468
322.998047  0.010001  0.031426
333.764648  0.010598  -0.018637
344.531250  0.011235  -0.068736
355.297852  0.011914  -0.118884
366.064453  0.012642  -0.169094
376.831055  0.013422  -0.219383
387.597656  0.014260  -0.269765
398.364258  0.015164  -0.320258
409.130859  0.016140  -0.370881
419.897461  0.017199  -0.421653
430.664063  0.018349  -0.472596
441.430664  0.019602  -0.523735
452.197266  0.020972  -0.575098
462.963867  0.022476  -0.626717
473.730469  0.024132  -0.678629
484.497070  0.025963  -0.730876
495.263672  0.027995  -0.783510
506.030273  0.030262  -0.836590
516.796875  0.032803  -0.890188
527.563477  0.035667  -0.944393
538.330078  0.038915  -0.999314
549.096680  0.042624  -1.055087
559.863281  0.046890  -1.111887
570.629883  0.051843  -1.169942
581.396484  0.057650  -1.229571
592.163086  0.064540  -1.291262
602.929688  0.072821  -1.355889
613.696289  0.082862  -1.424716
624.462891  0.095157  -1.497413
635.229492  0.110732  -1.574782
645.996094  0.131027  -1.660553
656.762695  0.158231  -1.759289
667.529297  0.196024  -1.878414
678.295898  0.250693  -2.031797
689.062500  0.332273  -2.246895
699.829102  0.448839  -2.576089
710.595703  0.561089  -3.075705
721.362305  0.551889  2.636368
732.128906  0.451217  2.205089
742.895508  0.359759  1.928164
753.662109  0.295829  1.741174
764.428711  0.252019  1.602625
775.195313  0.221170  1.491540
785.961914  0.198756  1.397103
796.728516  0.182042  1.313368
807.495117  0.169339  1.236843
818.261719  0.159569  1.165362
829.028320  0.152025  1.097508
839.794922  0.146225  1.032317
850.561523  0.141838  0.969103
861.328125  0.138635  0.907364
872.094727  0.136453  0.846715
882.861328  0.135186  0.786853
893.627930  0.134764  0.727525
904.394531  0.135151  0.668515
915.161133  0.136339  0.609622
925.927734  0.138349  0.550655
936.694336  0.141229  0.491420
947.460938  0.145060  0.431704
958.227539  0.149963  0.371267
968.994141  0.156105  0.309820
979.760742  0.163722  0.247003
990.527344  0.173140  0.182348
1001.293945  0.184817  0.115224
1012.060547  0.199406  0.044748
1022.827148  0.217861  -0.030362
1033.593750  0.241621  -0.112057
1044.360352  0.272930  -0.203440
1055.126953  0.315418  -0.309741
1065.893555  0.375153  -0.440367
1076.660156  0.462187  -0.613425
1087.426758  0.589975  -0.865277
1098.193359  0.751182  -1.259884
1108.959961  0.825306  -1.820823
1119.726563  0.698927  -2.359853
1130.493164  0.527656  -2.724409
1141.259766  0.402238  -2.958425
1152.026367  0.318011  -3.121708
1162.792969  0.260080  3.036682
1173.559570  0.218574  2.934289
1184.326172  0.187679  2.845852
1195.092773  0.163928  2.766623
1205.859375  0.145178  2.693762
1216.625977  0.130046  2.625478
1227.392578  0.117608  2.560589
1238.159180  0.107224  2.498285
1248.925781  0.098441  2.437996
1259.692383  0.090927  2.379307
1270.458984  0.084435  2.321908
1281.225586  0.078779  2.265567
1291.992188  0.073813  2.210102
1302.758789  0.069424  2.155371
1313.525391  0.065522  2.101263
1324.291992  0.062034  2.047686
1335.058594  0.058901  1.994567
1345.825195  0.056075  1.941844
1356.591797  0.053516  1.889467
1367.358398  0.051191  1.837394
1378.125000  0.049070  1.785589
1388.891602  0.047132  1.734022
1399.658203  0.045354  1.682666
1410.424805  0.043720  1.631500
1421.191406  0.042216  1.580503
1431.958008  0.040827  1.529659
1442.724609  0.039542  1.478953
1453.491211  0.038353  1.428372
1464.257813  0.037249  1.377905
1475.024414  0.036224  1.327540
1485.791016  0.035271  1.277270
1496.557617  0.034384  1.227086
1507.324219  0.033557  1.176981
1518.090820  0.032786  1.126948
1528.857422  0.032066  1.076980
1539.624023  0.031394  1.027074
1550.390625  0.030767  0.977224
1561.157227  0.030181  0.927425
1571.923828  0.029633  0.877673
1582.690430  0.029122  0.827965
1593.457031  0.028645  0.778297
1604.223633  0.028199  0.728666
1614.990234  0.027783  0.679068
1625.756836  0.027396  0.629502
1636.523438  0.027035  0.579965
1647.290039  0.026700  0.530454
1658.056641  0.026389  0.480967
1668.823242  0.026100  0.431503
1679.589844  0.025834  0.382058
1690.356445  0.025589  0.332631
1701.123047  0.025364  0.283221
1711.889648  0.025158  0.233826
1722.656250  0.024971  0.184444
1733.422852  0.024803  0.135074
1744.189453  0.024651  0.085714
1754.956055  0.024517  0.036363
1765.722656  0.024399  -0.012981
1776.489258  0.024297  -0.062318
1787.255859  0.024212  -0.111650
1798.022461  0.024141  -0.160978
1808.789063  0.024086  -0.210304
1819.555664  0.024046  -0.259628
1830.322266  0.024021  -0.308952
1841.088867  0.024011  -0.358277
1851.855469  0.024015  -0.407604
1862.622070  0.024034  -0.456933
1873.388672  0.024068  -0.506267
1884.155273  0.024117  -0.555606
1894.921875  0.024180  -0.604951
1905.688477  0.024258  -0.654304
1916.455078  0.024351  -0.703665
