num_points: 4096
frequency_Hz  magnitude  phase_rad
0.000000  0.000000  0.000000
10.766602  0.004921  1.511645
21.533203  0.009862  1.451734
32.299805  0.014849  1.392009
43.066406  0.019911  1.332328
53.833008  0.025076  1.272667
64.599609  0.030378  1.213017
75.366211  0.035851  1.153365
86.132812  0.041538  1.093690
96.899414  0.047484  1.033958
107.666016  0.053742  0.974124
118.432617  0.060378  0.914124
129.199219  0.067464  0.853878
139.965820  0.075090  0.793284
150.732422  0.083365  0.732212
161.499023  0.092421  0.670503
172.265625  0.102421  0.607955
183.032227  0.113570  0.544314
193.798828  0.126129  0.479257
204.565430  0.140434  0.412366
215.332031  0.156925  0.343090
226.098633  0.176193  0.270687
236.865234  0.199038  0.194140
247.631836  0.226572  0.112009
258.398438  0.260370  0.022198
269.165039  0.302694  -0.078442
279.931641  0.356816  -0.194805
290.698242  0.427336  -0.334722
301.464844  0.519937  -0.510873
312.231445  0.638034  -0.742846
322.998047  0.769114  -1.054031
333.764648  0.860099  -1.446749
344.531250  0.845981  -1.861775
355.297852  0.747574  -2.216102
366.064453  0.633127  -2.484353
376.831055  0.535770  -2.684663
387.597656  0.459811  -2.839721
398.364258  0.401323  -2.965464
409.130859  0.355805  -3.071837
419.897461  0.319759  3.118195
430.664062  0.290690  3.034368
441.430664  0.266846  2.957327
452.197266  0.246989  2.885356
462.963867  0.230229  2.817267
473.730469  0.215917  2.752210
484.497070  0.203569  2.689566
495.263672  0.192821  2.628872
506.030273  0.183390  2.569779
516.796875  0.175060  2.512018
527.563477  0.167659  2.455380
538.330078  0.161051  2.399698
549.096680  0.155130  2.344841
559.863281  0.149811  2.290696
570.629883  0.145037  2.237146
581.396484  0.140773  2.184002
592.163086  0.137020  2.130746
602.929688  0.133744  2.075702
613.696289  0.130428  2.016393
624.462891  0.126437  1.959607
635.229492  0.122862  1.909487
645.996094  0.119928  1.860483
656.762695  0.117364  1.811055
667.529297  0.115040  1.761275
678.295898  0.112902  1.711319
689.062500  0.110922  1.661298
699.829102  0.109085  1.611275
710.595703  0.107377  1.561282
721.362305  0.105787  1.511337
732.128906  0.104307  1.461450
742.895508  0.102928  1.411623
753.662109  0.101644  1.361857
764.428711  0.100449  1.312151
775.195312  0.099336  1.262503
785.961914  0.098302  1.212910
796.728516  0.097341  1.163370
807.495117  0.096449  1.113879
818.261719  0.095623  1.064434
829.028320  0.094859  1.015033
839.794922  0.094155  0.965672
850.561523  0.093507  0.916350
861.328125  0.092912  0.867063
872.094727  0.092369  0.817809
882.861328  0.091876  0.768586
893.627930  0.091430  0.719392
904.394531  0.091030  0.670225
915.161133  0.090675  0.621083
925.927734  0.090362  0.571964
936.694336  0.090090  0.522867
947.460938  0.089859  0.473789
958.227539  0.089667  0.424731
968.994141  0.089513  0.375690
979.760742  0.089397  0.326665
990.527344  0.089317  0.277655
1001.293945  0.089273  0.228659
1012.060547  0.089265  0.179675
1022.827148  0.089291  0.130703
1033.593750  0.089352  0.081743
1044.360352  0.089446  0.032792
1055.126953  0.089575  -0.016150
1065.893555  0.089736  -0.065083
1076.660156  0.089931  -0.114009
1087.426758  0.090159  -0.162927
1098.193359  0.090420  -0.211840
1108.959961  0.090714  -0.260747
1119.726562  0.091041  -0.309648
1130.493164  0.091401  -0.358546
1141.259766  0.091794  -0.407439
1152.026367  0.092221  -0.456330
1162.792969  0.092682  -0.505217
1173.559570  0.093176  -0.554102
1184.326172  0.093705  -0.602985
1195.092773  0.094269  -0.651867
1205.859375  0.094868  -0.700748
1216.625977  0.095502  -0.749628
1227.392578  0.096173  -0.798508
1238.159180  0.096881  -0.847388
1248.925781  0.097626  -0.896269
1259.692383  0.098410  -0.945152
1270.458984  0.099233  -0.994035
1281.225586  0.100096  -1.042921
1291.992188  0.100999  -1.091808
1302.758789  0.101945  -1.140698
1313.525391  0.102933  -1.189591
1324.291992  0.103965  -1.238487
1335.058594  0.105043  -1.287386
1345.825195  0.106166  -1.336289
1356.591797  0.107338  -1.385197
1367.358398  0.108559  -1.434109
1378.125000  0.109830  -1.483026
1388.891602  0.111154  -1.531948
1399.658203  0.112531  -1.580875
1410.424805  0.113964  -1.629808
1421.191406  0.115455  -1.678748
1431.958008  0.117005  -1.727694
1442.724609  0.118617  -1.776647
1453.491211  0.120293  -1.825607
1464.257812  0.122035  -1.874574
1475.024414  0.123846  -1.923550
1485.791016  0.125728  -1.972534
1496.557617  0.127684  -2.021526
1507.324219  0.129718  -2.070528
1518.090820  0.131831  -2.119538
1528.857422  0.134028  -2.168559
1539.624023  0.136312  -2.217590
1550.390625  0.138687  -2.266632
1561.157227  0.141156  -2.315684
1571.923828  0.143724  -2.364748
1582.690430  0.146395  -2.413824
1593.457031  0.149174  -2.462913
1604.223633  0.152065  -2.512014
1614.990234  0.155075  -2.561129
1625.756836  0.158209  -2.610258
1636.523438  0.161472  -2.659402
1647.290039  0.164871  -2.708560
1658.056641  0.168412  -2.757735
1668.823242  0.172104  -2.806926
1679.589844  0.175953  -2.856134
1690.356445  0.179968  -2.905359
1701.123047  0.184158  -2.954603
1711.889648  0.188531  -3.003867
1722.656250  0.193098  -3.053150
1733.422852  0.197870  -3.102454
1744.189453  0.202858  3.131405
1754.956055  0.208074  3.082056
1765.722656  0.213532  3.032683
1776.489258  0.219246  2.983285
1787.255859  0.225230  2.933862
1798.022461  0.231503  2.884411
1808.789062  0.238080  2.834932
1819.555664  0.244982  2.785422
1830.322266  0.252230  2.735882
