num_points: 4096
frequency_Hz  magnitude  phase_rad
0.000000  0.000000  0.000000
10.766602  0.002465  1.501322
21.533203  0.004957  1.430288
32.299805  0.007509  1.359108
43.066406  0.010162  1.287327
53.833008  0.012958  1.214670
64.599609  0.015948  1.140831
75.366211  0.019194  1.065427
86.132813  0.022772  0.987955
96.899414  0.026784  0.907742
107.666016  0.031357  0.823872
118.432617  0.036668  0.735072
129.199219  0.042952  0.639539
139.965820  0.050535  0.534653
150.732422  0.059865  0.416527
161.499023  0.071534  0.279278
172.265625  0.086235  0.113976
183.032227  0.104422  -0.092351
193.798828  0.125139  -0.355426
204.565430  0.143623  -0.683376
215.332031  0.151246  -1.053674
226.098633  0.144149  -1.409963
236.865234  0.128488  -1.707854
247.631836  0.111708  -1.941539
258.398438  0.097099  -2.124795
269.165039  0.085210  -2.272628
279.931641  0.075682  -2.396122
290.698242  0.068013  -2.502690
301.464844  0.061770  -2.597209
312.231445  0.056618  -2.682925
322.998047  0.052311  -2.762052
333.764648  0.048666  -2.836134
344.531250  0.045547  -2.906275
355.297852  0.042851  -2.973282
366.064453  0.040500  -3.037760
376.831055  0.038434  -3.100167
387.597656  0.036605  3.122328
398.364258  0.034977  3.063076
409.130859  0.033518  3.005041
419.897461  0.032205  2.948044
430.664063  0.031018  2.891941
441.430664  0.029941  2.836613
452.197266  0.028960  2.781961
462.963867  0.028063  2.727905
473.730469  0.027241  2.674376
484.497070  0.026487  2.621316
495.263672  0.025792  2.568678
506.030273  0.025151  2.516423
516.796875  0.024560  2.464519
527.563477  0.024014  2.412938
538.330078  0.023509  2.361660
549.096680  0.023045  2.310666
559.863281  0.022619  2.259933
570.629883  0.022233  2.209404
581.396484  0.021891  2.158898
592.163086  0.021603  2.107750
602.929688  0.021371  2.053646
613.696289  0.021083  1.993156
624.462891  0.020598  1.935940
635.229492  0.020168  1.887922
645.996094  0.019852  1.841259
656.762695  0.019592  1.793774
667.529297  0.019362  1.745592
678.295898  0.019152  1.696985
689.062500  0.018957  1.648131
699.829102  0.018777  1.599135
710.595703  0.018609  1.550057
721.362305  0.018453  1.500935
732.128906  0.018309  1.451793
742.895508  0.018175  1.402645
753.662109  0.018052  1.353500
764.428711  0.017938  1.304364
775.195313  0.017834  1.255240
785.961914  0.017740  1.206132
796.728516  0.017654  1.157041
807.495117  0.017577  1.107966
818.261719  0.017508  1.058909
829.028320  0.017447  1.009868
839.794922  0.017394  0.960844
850.561523  0.017348  0.911836
861.328125  0.017310  0.862844
872.094727  0.017279  0.813867
882.861328  0.017256  0.764903
893.627930  0.017239  0.715953
904.394531  0.017230  0.667016
915.161133  0.017227  0.618090
925.927734  0.017231  0.569176
936.694336  0.017241  0.520272
947.460938  0.017258  0.471378
958.227539  0.017282  0.422493
968.994141  0.017312  0.373616
979.760742  0.017349  0.324748
990.527344  0.017392  0.275887
1001.293945  0.017441  0.227032
1012.060547  0.017497  0.178184
1022.827148  0.017559  0.129342
1033.593750  0.017628  0.080505
1044.360352  0.017704  0.031672
1055.126953  0.017786  -0.017156
1065.893555  0.017875  -0.065980
1076.660156  0.017970  -0.114801
1087.426758  0.018072  -0.163619
1098.193359  0.018182  -0.212434
1108.959961  0.018298  -0.261247
1119.726563  0.018421  -0.310058
1130.493164  0.018551  -0.358867
1141.259766  0.018689  -0.407675
