num_points: 4096
frequency_Hz  magnitude  phase_rad
0.000000  0.000000  0.000000
10.766602  0.000246  1.510551
21.533203  0.000493  1.449547
32.299805  0.000742  1.388780
43.066406  0.000996  1.328108
53.833008  0.001254  1.267522
64.599609  0.001520  1.207028
75.366211  0.001794  1.146631
86.132813  0.002079  1.086328
96.899414  0.002377  1.026106
107.666016  0.002691  0.965940
118.432617  0.003024  0.905795
129.199219  0.003379  0.845619
139.965820  0.003760  0.785346
150.732422  0.004173  0.724896
161.499023  0.004624  0.664165
172.265625  0.005119  0.603029
183.032227  0.005667  0.541336
193.798828  0.006279  0.478900
204.565430  0.006969  0.415488
215.332031  0.007753  0.350814
226.098633  0.008653  0.284511
236.865234  0.009697  0.216107
247.631836  0.010923  0.144981
258.398438  0.012380  0.070297
269.165039  0.014137  -0.009099
279.931641  0.016290  -0.094840
290.698242  0.018974  -0.189310
301.464844  0.022384  -0.296091
312.231445  0.026798  -0.420734
322.998047  0.032596  -0.572021
333.764648  0.040196  -0.763729
344.531250  0.049670  -1.015421
355.297852  0.059499  -1.344823
366.064453  0.065326  -1.738474
376.831055  0.063679  -2.129522
387.597656  0.057118  -2.453755
398.364258  0.049838  -2.700939
409.130859  0.043658  -2.889539
419.897461  0.038822  -3.038815
430.664063  0.035113  3.121013
441.430664  0.032271  3.015046
452.197266  0.030087  2.921072
462.963867  0.028408  2.835590
473.730469  0.027126  2.756263
484.497070  0.026167  2.681473
495.263672  0.025477  2.610063
506.030273  0.025022  2.541173
516.796875  0.024779  2.474142
527.563477  0.024737  2.408434
538.330078  0.024893  2.343594
549.096680  0.025254  2.279207
559.863281  0.025837  2.214867
570.629883  0.026672  2.150136
581.396484  0.027806  2.084493
592.163086  0.029309  2.017224
602.929688  0.031282  1.947171
613.696289  0.033854  1.872704
624.462891  0.037229  1.793523
635.229492  0.041855  1.707444
645.996094  0.048434  1.608182
656.762695  0.058219  1.485589
667.529297  0.073696  1.318399
678.295898  0.099590  1.054811
689.062500  0.137718  0.571566
699.829102  0.144692  -0.180933
710.595703  0.103028  -0.767849
721.362305  0.070602  -1.084666
732.128906  0.051584  -1.274285
742.895508  0.039878  -1.407035
753.662109  0.032126  -1.511038
764.428711  0.026674  -1.598787
775.195313  0.022657  -1.676522
785.961914  0.019588  -1.747667
796.728516  0.017176  -1.814248
807.495117  0.015236  -1.877540
818.261719  0.013646  -1.938378
829.028320  0.012321  -1.997338
839.794922  0.011203  -2.054825
850.561523  0.010249  -2.111136
861.328125  0.009426  -2.166492
872.094727  0.008711  -2.221061
882.861328  0.008084  -2.274972
893.627930  0.007530  -2.328328
904.394531  0.007039  -2.381212
915.161133  0.006601  -2.433689
925.927734  0.006208  -2.485814
936.694336  0.005853  -2.537631
947.460938  0.005533  -2.589178
958.227539  0.005242  -2.640487
968.994141  0.004977  -2.691583
979.760742  0.004734  -2.742491
990.527344  0.004512  -2.793229
