num_points: 2047
frequency_Hz  magnitude  phase_rad
0  1.00387  -0.0180447
10.7666  1.00387  -0.0180447
21.5332  1.00743  -0.0374891
32.2998  1.01426  -0.0567409
43.0664  1.02451  -0.0760753
53.833  1.0384  -0.0955858
64.5996  1.05623  -0.115354
75.3662  1.07841  -0.135481
86.1328  1.10548  -0.156097
96.8994  1.13815  -0.177378
107.666  1.17731  -0.199552
118.433  1.2241  -0.222918
129.199  1.27999  -0.247869
139.966  1.34688  -0.274923
150.732  1.42728  -0.304768
161.499  1.5245  -0.33834
172.266  1.64298  -0.376926
183.032  1.78878  -0.422344
193.799  1.97009  -0.477218
204.565  2.19795  -0.545426
215.332  2.4864  -0.632811
226.099  2.85039  -0.748193
236.865  3.29521  -0.904289
247.632  3.78389  -1.11635
258.398  4.17837  -1.39205
269.165  4.25583  -1.70937
279.932  3.94543  -2.01397
290.698  3.43473  -2.26473
301.465  2.9058  -2.45369
312.231  2.46301  -2.58764
322.998  2.11598  -2.68625
333.765  1.84439  -2.76105
344.531  1.63004  -2.81921
355.298  1.45878  -2.86551
366.064  1.32016  -2.90314
376.831  1.20658  -2.93431
387.598  1.11252  -2.96055
398.364  1.03392  -2.98296
409.131  0.967738  -3.00235
419.897  0.911708  -3.01934
430.664  0.864091  -3.0344
441.431  0.823548  -3.04787
452.197  0.789044  -3.06006
462.964  0.759769  -3.07119
473.73  0.735093  -3.08147
484.497  0.714527  -3.09105
495.264  0.697699  -3.10007
506.03  0.684333  -3.10867
516.797  0.67424  -3.11694
527.563  0.667309  -3.12501
538.33  0.663503  -3.13296
549.097  0.662863  -3.14092
559.863  0.665514  3.13421
570.63  0.671676  3.12591
581.396  0.681686  3.11724
592.163  0.696027  3.10803
602.93  0.715379  3.09807
613.696  0.740684  3.08711
624.463  0.773267  3.07478
635.229  0.815008  3.0606
645.996  0.868635  3.04388
656.763  0.93819  3.02355
667.529  1.02987  2.99812
678.296  1.154  2.96514
689.063  1.32835  2.92002
699.829  1.58551  2.85406
710.596  1.99024  2.74871
721.362  2.67308  2.55862
732.129  3.76749  2.1673
742.896  4.26082  1.46163
753.662  3.07268  0.862033
764.429  2.05852  0.566987
775.195  1.47568  0.417587
785.962  1.12481  0.330787
796.729  0.896093  0.274659
807.495  0.737046  0.235529
818.262  0.620859  0.20671
829.028  0.532698  0.184591
839.795  0.463783  0.167062
850.562  0.408611  0.152812
861.328  0.363574  0.140987
872.095  0.326209  0.131005
882.861  0.294785  0.122458
893.628  0.268047  0.115049
904.395  0.245067  0.108559
915.161  0.225144  0.102823
925.928  0.207736  0.0977117
936.694  0.192423  0.0931252
947.461  0.17887  0.0889836
958.228  0.166809  0.0852228
968.994  0.156022  0.0817904
979.761  0.146332  0.0786433
990.527  0.137591  0.0757457
1001.29  0.129678  0.0730675
1012.06  0.122488  0.0705835
1022.83  0.115936  0.068272
1033.59  0.109947  0.0661146
1044.36  0.104458  0.0640953
1055.13  0.0994151  0.0622004
1065.89  0.0947704  0.0604179
1076.66  0.0904833  0.0587371
1087.43  0.0865184  0.0571489
1098.19  0.0828444  0.055645
1108.96  0.0794339  0.0542182
1119.73  0.0762627  0.052862
1130.49  0.0733093  0.0515706
1141.26  0.0705547  0.0503388
1152.03  0.0679821  0.049162
1162.79  0.0655761  0.0480358
1173.56  0.0633233  0.0469565
1184.33  0.0612116  0.0459206
1195.09  0.0592299  0.0449248
1205.86  0.0573683  0.0439663
1216.63  0.055618  0.0430425
1227.39  0.0539709  0.0421507
1238.16  0.0524195  0.0412888
1248.93  0.0509573  0.0404545
1259.69  0.049578  0.039646
1270.46  0.0482762  0.0388613
1281.23  0.0470469  0.0380987
1291.99  0.0458852  0.0373565
1302.76  0.044787  0.0366332
1313.53  0.0437483  0.0359271
1324.29  0.0427654  0.035237
1335.06  0.0418352  0.0345613
1345.83  0.0409542  0.0338989
1356.59  0.0401198  0.0332493
1367.36  0.0393289  0.0326126
1378.13  0.0385787  0.0319924
1388.89  0.0378665  0.0313994
1399.66  0.0371891  0.0308668
1410.42  0.0365434  0.0304916
1421.19  0.0359308  0.0305125
1431.96  0.0353704  0.0310574
1442.72  0.0348732  0.0311294
1453.49  0.0343983  0.0303306
1464.26  0.0339343  0.029391
1475.02  0.0334897  0.0285599
1485.79  0.0330683  0.0278321
1496.56  0.0326713  0.0271751
1507.32  0.0322981  0.0265652
1518.09  0.0319484  0.0259875
1528.86  0.0316214  0.0254326
1539.62  0.0313164  0.0248945
1550.39  0.0310327  0.024369
1561.16  0.0307698  0.023853
1571.92  0.0305271  0.0233443
1582.69  0.030304  0.0228413
1593.46  0.0301002  0.0223423
1604.22  0.0299153  0.0218462
1614.99  0.0297488  0.0213519
1625.76  0.0296005  0.0208582
1636.52  0.02947  0.0203643
1647.29  0.0293572  0.0198691
1658.06  0.0292618  0.0193716
1668.82  0.0291836  0.0188708
1679.59  0.0291225  0.0183654
1690.36  0.0290783  0.0178544
1701.12  0.0290508  0.0173367
1711.89  0.02904  0.016811
1722.66  0.0290454  0.0162772
1733.42  0.0290666  0.0157364
1744.19  0.0291029  0.0151952
1754.96  0.0291528  0.0146743
1765.72  0.0292135  0.0142401
1776.49  0.0292799  0.0141128
1787.26  0.0293492  0.0150438
1798.02  0.0294688  0.0185988
1808.79  0.029757  0.0213171
1819.56  0.0300463  0.01911
1830.32  0.0302779  0.0166224
