num_points: 4096
frequency_Hz  magnitude  phase_rad
0.100000  0.000003  0.000000
10.766600  0.000557  1.366742
21.533200  0.001081  1.282930
32.299800  0.001601  1.185912
43.066400  0.002121  1.084341
53.833000  0.002642  0.980585
64.599600  0.003167  0.875595
75.366200  0.003696  0.769853
86.132800  0.004231  0.663649
96.899400  0.004773  0.557143
107.666000  0.005322  0.450445
118.433000  0.005881  0.343638
129.199000  0.006450  0.236765
139.966000  0.007032  0.129869
150.732000  0.007627  0.022973
161.499000  0.008238  -0.083904
172.266000  0.008866  -0.190752
183.032000  0.009512  -0.297567
193.799000  0.010180  -0.404345
204.565000  0.010872  -0.511091
215.332000  0.011589  -0.617805
226.099000  0.012335  -0.724496
236.865000  0.013112  -0.831170
247.632000  0.013923  -0.937837
258.398000  0.014772  -1.044506
269.165000  0.015662  -1.151189
279.932000  0.016598  -1.257897
290.698000  0.017584  -1.364643
301.465000  0.018624  -1.471439
312.231000  0.019725  -1.578301
322.998000  0.020892  -1.685242
333.765000  0.022132  -1.792278
344.531000  0.023452  -1.899426
355.298000  0.024862  -2.006703
366.064000  0.026370  -2.114128
376.831000  0.027988  -2.221723
387.598000  0.029727  -2.329509
398.364000  0.031602  -2.437514
409.131000  0.033629  -2.545762
419.897000  0.035826  -2.654287
430.664000  0.038215  -2.763125
441.431000  0.040821  -2.872315
452.197000  0.043674  -2.981904
462.964000  0.046807  -3.091947
473.730000  0.050263  3.080675
484.497000  0.054090  2.969518
495.264000  0.058347  2.857674
506.030000  0.063106  2.745036
516.797000  0.068455  2.631468
527.563000  0.074504  2.516805
538.330000  0.081389  2.400837
549.097000  0.089282  2.283302
559.863000  0.098406  2.163858
570.630000  0.109050  2.042066
581.396000  0.121597  1.917325
592.163000  0.136562  1.788846
602.930000  0.154655  1.655487
613.696000  0.176863  1.515660
624.463000  0.204597  1.366994
635.229000  0.239892  1.205908
645.996000  0.285684  1.026813
656.763000  0.346017  0.820707
667.529000  0.425461  0.573273
678.296000  0.524919  0.263588
689.063000  0.627607  -0.128118
699.829000  0.684342  -0.588079
710.596000  0.657828  -1.043475
721.362000  0.580562  -1.426351
732.129000  0.499169  -1.728668
742.896000  0.431602  -1.971347
753.662000  0.379121  -2.174669
764.429000  0.338768  -2.352321
775.195000  0.307489  -2.512835
785.962000  0.282930  -2.661541
796.729000  0.263405  -2.801879
807.495000  0.247719  -2.936109
818.262000  0.235019  -3.065781
829.028000  0.224691  3.091199
839.795000  0.216287  2.967672
850.562000  0.209473  2.846241
861.328000  0.204001  2.726457
872.095000  0.199684  2.607985
882.861000  0.196381  2.490548
893.628000  0.193987  2.373927
904.395000  0.192424  2.257938
915.161000  0.191639  2.142424
925.928000  0.191596  2.027248
936.694000  0.192279  1.912289
947.461000  0.193684  1.797432
958.228000  0.195827  1.682565
968.994000  0.198737  1.567579
979.761000  0.202460  1.452360
990.527000  0.207063  1.336785
1001.290000  0.212635  1.220719
1012.060000  0.219292  1.104003
1022.830000  0.227186  0.986458
1033.590000  0.236511  0.867861
1044.360000  0.247521  0.747938
1055.130000  0.260543  0.626343
1065.890000  0.276013  0.502625
1076.660000  0.294511  0.376189
1087.430000  0.316822  0.246220
1098.190000  0.344034  0.111582
1108.960000  0.377676  -0.029356
1119.730000  0.419943  -0.179030
1130.490000  0.474024  -0.341182
1141.260000  0.544552  -0.521797
1152.030000  0.637912  -0.730728
1162.790000  0.761023  -0.984313
1173.560000  0.912838  -1.307448
1184.330000  1.055801  -1.724309
1195.090000  1.093568  -2.214563
1205.860000  0.982957  -2.685488
1216.630000  0.813792  -3.066359
1227.390000  0.662743  2.922748
1238.160000  0.546382  2.688204
1248.930000  0.459208  2.491417
1259.690000  0.393256  2.318808
1270.460000  0.342347  2.162181
1281.230000  0.302199  2.016536
1291.990000  0.269903  1.878680
1302.760000  0.243463  1.746543
1313.530000  0.221481  1.618704
1324.290000  0.202961  1.494164
1335.060000  0.187173  1.372211
1345.830000  0.173577  1.252326
1356.590000  0.161764  1.134107
1367.360000  0.151418  1.017256
1378.130000  0.142291  0.901541
1388.890000  0.134192  0.786772
1399.660000  0.126963  0.672800
1410.420000  0.120478  0.559513
1421.190000  0.114633  0.446812
1431.960000  0.109344  0.334607
1442.720000  0.104540  0.222846
1453.490000  0.100161  0.111460
1464.260000  0.096157  0.000398
1475.020000  0.092486  -0.110359
1485.790000  0.089111  -0.220872
1496.560000  0.086001  -0.331162
1507.320000  0.083129  -0.441248
1518.090000  0.080471  -0.551171
1528.860000  0.078007  -0.660921
1539.620000  0.075718  -0.770548
1550.390000  0.073590  -0.880043
1561.160000  0.071607  -0.989440
1571.920000  0.069759  -1.098737
1582.690000  0.068033  -1.207951
1593.460000  0.066420  -1.317091
1604.220000  0.064912  -1.426167
1614.990000  0.063500  -1.535186
1625.760000  0.062177  -1.644157
1636.520000  0.060938  -1.753086
1647.290000  0.059776  -1.861980
1658.060000  0.058687  -1.970845
1668.820000  0.057665  -2.079685
1679.590000  0.056706  -2.188507
1690.360000  0.055807  -2.297314
