num_points: 4096
frequency_Hz  magnitude  phase_rad
0.100000  0.000001  0.000000
10.766600  0.000486  1.470211
21.533200  0.000982  1.360251
32.299800  0.001484  1.248532
43.066400  0.001993  1.136550
53.833000  0.002511  1.024537
64.599600  0.003040  0.912552
75.366200  0.003582  0.800627
86.132800  0.004140  0.688770
96.899400  0.004716  0.576981
107.666000  0.005315  0.465252
118.433000  0.005939  0.353576
129.199000  0.006593  0.241927
139.966000  0.007281  0.130282
150.732000  0.008011  0.018610
161.499000  0.008787  -0.093132
172.266000  0.009618  -0.204992
183.032000  0.010513  -0.317030
193.799000  0.011483  -0.429317
204.565000  0.012541  -0.541941
215.332000  0.013703  -0.655004
226.099000  0.014989  -0.768632
236.865000  0.016422  -0.882981
247.632000  0.018035  -0.998243
258.398000  0.019867  -1.114664
269.165000  0.021968  -1.232561
279.932000  0.024408  -1.352350
290.698000  0.027276  -1.474596
301.465000  0.030702  -1.600080
312.231000  0.034862  -1.729915
322.998000  0.040019  -1.865750
333.765000  0.046566  -2.010112
344.531000  0.055110  -2.167071
355.298000  0.066620  -2.343504
366.064000  0.082639  -2.551696
376.831000  0.105366  -2.814397
387.598000  0.136064  3.111549
398.364000  0.166021  2.616820
409.131000  0.168759  2.038716
419.897000  0.142945  1.544386
430.664000  0.114448  1.187559
441.431000  0.092828  0.925216
452.197000  0.077408  0.717392
462.964000  0.066255  0.541356
473.730000  0.057946  0.384853
484.497000  0.051568  0.241013
495.264000  0.046542  0.105786
506.030000  0.042492  -0.023359
516.797000  0.039164  -0.148051
527.563000  0.036387  -0.269400
538.330000  0.034036  -0.388178
549.097000  0.032022  -0.504933
559.863000  0.030280  -0.620077
570.630000  0.028759  -0.733919
581.396000  0.027420  -0.846690
592.163000  0.026235  -0.958569
602.930000  0.025178  -1.069707
613.696000  0.024231  -1.180214
624.463000  0.023379  -1.290181
635.229000  0.022608  -1.399697
645.996000  0.021908  -1.508812
656.763000  0.021271  -1.617577
667.529000  0.020688  -1.726052
678.296000  0.020155  -1.834257
689.063000  0.019665  -1.942233
699.829000  0.019215  -2.050008
710.596000  0.018799  -2.157605
721.362000  0.018415  -2.265042
732.129000  0.018060  -2.372330
742.896000  0.017731  -2.479499
753.662000  0.017426  -2.586560
764.429000  0.017144  -2.693512
775.195000  0.016881  -2.800376
785.962000  0.016637  -2.907161
796.729000  0.016411  -3.013879
807.495000  0.016201  -3.120529
818.262000  0.016005  3.056064
829.028000  0.015824  2.949520
839.795000  0.015656  2.843024
850.562000  0.015500  2.736565
861.328000  0.015356  2.630142
872.095000  0.015222  2.523749
882.861000  0.015099  2.417383
893.628000  0.014986  2.311040
904.395000  0.014882  2.204718
915.161000  0.014787  2.098413
925.928000  0.014701  1.992121
936.694000  0.014623  1.885841
947.461000  0.014552  1.779571
958.228000  0.014489  1.673307
968.994000  0.014433  1.567048
