num_points: 4096
frequency_Hz  magnitude  phase_rad
0.100000  0.000000  0.000000
10.766600  0.000484  1.483053
21.533200  0.000984  1.359017
32.299800  0.001495  1.237235
43.066400  0.002019  1.116212
53.833000  0.002561  0.995478
64.599600  0.003125  0.874793
75.366200  0.003716  0.754027
86.132800  0.004341  0.633039
96.899400  0.005007  0.511711
107.666000  0.005724  0.389896
118.433000  0.006504  0.267399
129.199000  0.007361  0.143989
139.966000  0.008312  0.019365
150.732000  0.009381  -0.106865
161.499000  0.010598  -0.235217
172.266000  0.012003  -0.366384
183.032000  0.013649  -0.501315
193.799000  0.015612  -0.641339
204.565000  0.017993  -0.788373
215.332000  0.020942  -0.945256
226.099000  0.024669  -1.116339
236.865000  0.029471  -1.308471
247.632000  0.035723  -1.532605
258.398000  0.043719  -1.805698
269.165000  0.052969  -2.149563
279.932000  0.060623  -2.574191
290.698000  0.061907  -3.039899
301.465000  0.056341  2.816673
312.231000  0.048354  2.470896
322.998000  0.041059  2.196984
333.765000  0.035214  1.973098
344.531000  0.030672  1.782086
355.298000  0.027127  1.612830
366.064000  0.024321  1.458388
376.831000  0.022060  1.314340
387.598000  0.020208  1.177837
398.364000  0.018667  1.046943
409.131000  0.017368  0.920319
419.897000  0.016260  0.797028
430.664000  0.015304  0.676371
441.431000  0.014472  0.557838
452.197000  0.013742  0.441039
462.964000  0.013097  0.325662
473.730000  0.012523  0.211489
484.497000  0.012009  0.098309
495.264000  0.011547  -0.014009
506.030000  0.011129  -0.125603
516.797000  0.010750  -0.236555
527.563000  0.010405  -0.346975
538.330000  0.010089  -0.456912
549.097000  0.009800  -0.566438
559.863000  0.009534  -0.675591
570.630000  0.009289  -0.784423
581.396000  0.009063  -0.892973
592.163000  0.008853  -1.001262
602.930000  0.008659  -1.109330
613.696000  0.008478  -1.217196
624.463000  0.008311  -1.324872
635.229000  0.008155  -1.432397
645.996000  0.008009  -1.539772
656.763000  0.007873  -1.647016
667.529000  0.007746  -1.754140
678.296000  0.007627  -1.861164
689.063000  0.007517  -1.968088
699.829000  0.007413  -2.074933
710.596000  0.007316  -2.181688
721.362000  0.007225  -2.288384
732.129000  0.007140  -2.395011
742.896000  0.007061  -2.501580
753.662000  0.006987  -2.608109
764.429000  0.006918  -2.714581
775.195000  0.006853  -2.821014
785.962000  0.006793  -2.927419
796.729000  0.006737  -3.033786
807.495000  0.006685  -3.140126
818.262000  0.006637  3.036747
829.028000  0.006592  2.930457
839.795000  0.006551  2.824183
850.562000  0.006513  2.717925
861.328000  0.006478  2.611680
872.095000  0.006447  2.505447
882.861000  0.006418  2.399221
893.628000  0.006392  2.293003
904.395000  0.006369  2.186790
915.161000  0.006349  2.080579
925.928000  0.006331  1.974369
936.694000  0.006316  1.868159
947.461000  0.006304  1.761947
958.228000  0.006294  1.655731
968.994000  0.006286  1.549511
979.761000  0.006281  1.443284
990.527000  0.006278  1.337050
1001.290000  0.006277  1.230807
1012.060000  0.006278  1.124555
1022.830000  0.006282  1.018292
1033.590000  0.006288  0.912017
1044.360000  0.006296  0.805729
1055.130000  0.006306  0.699428
1065.890000  0.006318  0.593112
1076.660000  0.006333  0.486780
1087.430000  0.006349  0.380433
1098.190000  0.006368  0.274068
1108.960000  0.006389  0.167685
1119.730000  0.006412  0.061283
1130.490000  0.006437  -0.045139
1141.260000  0.006465  -0.151581
1152.030000  0.006494  -0.258045
1162.790000  0.006526  -0.364529
1173.560000  0.006560  -0.471037
1184.330000  0.006596  -0.577568
1195.090000  0.006635  -0.684123
1205.860000  0.006675  -0.790703
1216.630000  0.006718  -0.897308
1227.390000  0.006764  -1.003940
1238.160000  0.006812  -1.110599
1248.930000  0.006862  -1.217284
1259.690000  0.006915  -1.324000
1270.460000  0.006971  -1.430744
1281.230000  0.007029  -1.537513
1291.990000  0.007089  -1.644314
1302.760000  0.007153  -1.751157
1313.530000  0.007219  -1.858022
1324.290000  0.007288  -1.964919
1335.060000  0.007360  -2.071849
1345.830000  0.007435  -2.178821
1356.590000  0.007514  -2.285817
1367.360000  0.007595  -2.392856
1378.130000  0.007680  -2.499928
1388.890000  0.007768  -2.607035
1399.660000  0.007860  -2.714186
1410.420000  0.007955  -2.821371
1421.190000  0.008054  -2.928591
1431.960000  0.008157  -3.035856
1442.720000  0.008263  3.140019
1453.490000  0.008374  3.032673
1464.260000  0.008490  2.925292
1475.020000  0.008609  2.817854
1485.790000  0.008734  2.710380
1496.560000  0.008863  2.602870
1507.320000  0.008997  2.495302
1518.090000  0.009136  2.387688
1528.860000  0.009281  2.280027
1539.620000  0.009431  2.172327
1550.390000  0.009587  2.064571
1561.160000  0.009749  1.956766
1571.920000  0.009917  1.848912
1582.690000  0.010092  1.741001
1593.460000  0.010274  1.633040
1604.220000  0.010463  1.525031
1614.990000  0.010660  1.416962
1625.760000  0.010865  1.308833
1636.520000  0.011077  1.200645
1647.290000  0.011299  1.092407
1658.060000  0.011529  0.984108
1668.820000  0.011769  0.875739
1679.590000  0.012019  0.767319
1690.360000  0.012280  0.658827
1701.120000  0.012552  0.550274
1711.890000  0.012835  0.441650
1722.660000  0.013130  0.332953
1733.420000  0.013439  0.224199
1744.190000  0.013760  0.115357
1754.960000  0.014097  0.006452
1765.720000  0.014448  -0.102536
1776.490000  0.014816  -0.211607
1787.260000  0.015201  -0.320753
1798.020000  0.015603  -0.429983
1808.790000  0.016025  -0.539298
1819.560000  0.016467  -0.648698
1830.320000  0.016931  -0.758203
1841.090000  0.017418  -0.867794
1851.860000  0.017929  -0.977481
1862.620000  0.018466  -1.087274
1873.390000  0.019031  -1.197174
1884.160000  0.019626  -1.307182
1894.920000  0.020252  -1.417307
1905.690000  0.020913  -1.527549
1916.460000  0.021611  -1.637910
1927.220000  0.022347  -1.748400
1937.990000  0.023127  -1.859039
1948.750000  0.023952  -1.969807
1959.520000  0.024826  -2.080724
1970.290000  0.025754  -2.191802
1981.050000  0.026739  -2.303040
1991.820000  0.027787  -2.414459
2002.590000  0.028904  -2.526058
2013.350000  0.030095  -2.637860
2024.120000  0.031367  -2.749862
2034.890000  0.032729  -2.862087
2045.650000  0.034188  -2.974544
2056.420000  0.035755  -3.087264
2067.190000  0.037440  3.082928
2077.950000  0.039257  2.969632
2088.720000  0.041219  2.856023
2099.490000  0.043344  2.742060
2110.250000  0.045651  2.627713
2121.020000  0.048161  2.512941
2131.790000  0.050900  2.397706
2142.550000  0.053899  2.281955
2153.320000  0.057194  2.165620
2164.090000  0.060825  2.048640
2174.850000  0.064845  1.930921
2185.620000  0.069312  1.812361
2196.390000  0.074301  1.692836
2207.150000  0.079902  1.572192
2217.920000  0.086224  1.450239
2228.690000  0.093408  1.326739
2239.450000  0.101628  1.201389
2250.220000  0.111106  1.073798
2260.990000  0.122135  0.943457
2271.750000  0.135093  0.809687
2282.520000  0.150491  0.671563
2293.290000  0.169015  0.527806
2304.050000  0.191613  0.376595
2314.820000  0.219592  0.215285
2325.590000  0.254759  0.039922
2336.350000  0.299518  -0.155503
2347.120000  0.356676  -0.380162
2357.890000  0.428025  -0.647437
2368.650000  0.509354  -0.973501
2379.420000  0.580487  -1.366131
2390.190000  0.606123  -1.800372
2400.950000  0.572891  -2.217305
2411.720000  0.507734  -2.573081
2422.490000  0.440039  -2.863444
2433.250000  0.381726  -3.102142
2444.020000  0.334221  2.981663
2454.790000  0.296613  2.819241
2465.550000  0.275331  2.696732
2476.320000  0.270169  2.519054
2487.080000  0.250298  2.327174
2497.850000  0.231111  2.168658
2508.620000  0.215781  2.024448
2519.380000  0.203398  1.887043
2530.150000  0.193199  1.753731
2540.920000  0.184681  1.623212
2551.680000  0.177496  1.494755
2562.450000  0.171400  1.367884
2573.220000  0.166211  1.242248
2583.980000  0.161789  1.117600
2594.750000  0.158027  0.993745
2605.520000  0.154839  0.870512
2616.280000  0.152157  0.747781
2627.050000  0.149927  0.625447
2637.820000  0.148105  0.503406
2648.580000  0.146654  0.381596
2659.350000  0.145545  0.259936
2670.120000  0.144756  0.138374
2680.880000  0.144268  0.016851
2691.650000  0.144066  -0.104682
2702.420000  0.144139  -0.226274
2713.180000  0.144479  -0.347965
2723.950000  0.145083  -0.469801
2734.720000  0.145946  -0.591844
2745.480000  0.147069  -0.714125
2756.250000  0.148452  -0.836678
2767.020000  0.150099  -0.959560
2777.780000  0.152019  -1.082810
2788.550000  0.154220  -1.206466
2799.320000  0.156712  -1.330606
2810.080000  0.159510  -1.455258
2820.850000  0.162630  -1.580501
2831.620000  0.166091  -1.706392
2842.380000  0.169915  -1.833008
2853.150000  0.174128  -1.960436
2863.920000  0.178759  -2.088763
2874.680000  0.183842  -2.218093
2885.450000  0.189413  -2.348545
2896.220000  0.195516  -2.480249
2906.980000  0.202196  -2.613358
2917.750000  0.209510  -2.748048
2928.520000  0.217513  -2.884516
2939.280000  0.226270  -3.022993
2950.050000  0.235851  3.119440
2960.820000  0.246328  2.976105
2971.580000  0.257775  2.829833
2982.350000  0.270264  2.680217
2993.120000  0.283856  2.526792
3003.880000  0.298590  2.369033
3014.650000  0.314469  2.206355
3025.420000  0.331434  2.038130
3036.180000  0.349331  1.863712
3046.950000  0.367871  1.682488
3057.710000  0.386578  1.493960
3068.480000  0.404757  1.297876
3079.250000  0.421478  1.094385
3090.010000  0.435623  0.884223
3100.780000  0.446025  0.668839
3111.550000  0.451691  0.450469
3122.310000  0.452055  0.231976
3133.080000  0.447180  0.016548
3143.850000  0.437799  -0.192688
3154.610000  0.425206  -0.393074
3165.380000  0.411052  -0.582786
3176.150000  0.397143  -0.761226
3186.910000  0.385233  -0.929569
3197.680000  0.376718  -1.091394
3208.450000  0.372096  -1.252820
3219.210000  0.370327  -1.420764
3229.980000  0.368836  -1.599163
3240.750000  0.364794  -1.786270
3251.510000  0.356816  -1.976102
3262.280000  0.345376  -2.162584
3273.050000  0.331893  -2.342123
3283.810000  0.317742  -2.513693
3294.580000  0.303859  -2.677746
3305.350000  0.290752  -2.835308
3316.110000  0.278636  -2.987488
3326.880000  0.267564  -3.135277
3337.650000  0.257504  3.003711
3348.410000  0.248385  2.862450
3359.180000  0.240127  2.723616
3369.950000  0.232646  2.586814
3380.710000  0.225865  2.451711
3391.480000  0.219714  2.318056
3402.250000  0.214132  2.185637
3413.010000  0.209063  2.054286
3423.780000  0.204461  1.923857
3434.550000  0.200282  1.794245
3445.310000  0.196493  1.665342
3456.080000  0.193059  1.537058
3466.850000  0.189955  1.409327
3477.610000  0.187154  1.282095
3488.380000  0.184638  1.155292
3499.150000  0.182385  1.028881
3509.910000  0.180382  0.902816
3520.680000  0.178613  0.777057
3531.450000  0.177067  0.651579
3542.210000  0.175733  0.526353
3552.980000  0.174600  0.401343
3563.750000  0.173664  0.276538
3574.510000  0.172915  0.151903
