num_points: 4096
frequency_Hz  magnitude  phase_rad
0.100000  0.000001  0.000000
10.766600  0.000464  1.508219
21.533200  0.000951  1.382008
32.299800  0.001447  1.259556
43.066400  0.001953  1.138812
53.833000  0.002470  1.019021
64.599600  0.002999  0.899882
75.366200  0.003544  0.781220
86.132800  0.004107  0.662942
96.899400  0.004692  0.545004
107.666000  0.005302  0.427354
118.433000  0.005942  0.309938
129.199000  0.006617  0.192711
139.966000  0.007334  0.075616
150.732000  0.008099  -0.041410
161.499000  0.008920  -0.158444
172.266000  0.009808  -0.275575
183.032000  0.010774  -0.392911
193.799000  0.011832  -0.510574
204.565000  0.012999  -0.628712
215.332000  0.014295  -0.747503
226.099000  0.015747  -0.867160
236.865000  0.017385  -0.987947
247.632000  0.019250  -1.110187
258.398000  0.021394  -1.234294
269.165000  0.023883  -1.360800
279.932000  0.026805  -1.490405
290.698000  0.030277  -1.624052
301.465000  0.034460  -1.763037
312.231000  0.039573  -1.909200
322.998000  0.045925  -2.065205
333.765000  0.053944  -2.235027
344.531000  0.064210  -2.424711
355.298000  0.077426  -2.643502
366.064000  0.094116  -2.904953
376.831000  0.113503  3.057603
387.598000  0.131119  2.669557
398.364000  0.138711  2.239076
409.131000  0.132746  1.826009
419.897000  0.119169  1.474637
430.664000  0.104770  1.188540
441.431000  0.092406  0.952576
452.197000  0.082501  0.751321
462.964000  0.074713  0.573685
473.730000  0.068589  0.412333
484.497000  0.063748  0.262474
495.264000  0.059899  0.120938
506.030000  0.056831  -0.014455
516.797000  0.054388  -0.145195
527.563000  0.052456  -0.272393
538.330000  0.050953  -0.396828
549.097000  0.049819  -0.519101
559.863000  0.049010  -0.639693
570.630000  0.048498  -0.758962
581.396000  0.048263  -0.877231
592.163000  0.048295  -0.994738
602.930000  0.048593  -1.111715
613.696000  0.049166  -1.228381
624.463000  0.050028  -1.344926
635.229000  0.051209  -1.461571
645.996000  0.052747  -1.578526
656.763000  0.054698  -1.696041
667.529000  0.057141  -1.814426
678.296000  0.060184  -1.934081
689.063000  0.063982  -2.055488
699.829000  0.068754  -2.179374
710.596000  0.074827  -2.306752
721.362000  0.082700  -2.439171
732.129000  0.093169  -2.579131
742.896000  0.107571  -2.730872
753.662000  0.128291  -2.902295
764.429000  0.159838  -3.109558
775.195000  0.210738  2.893737
785.962000  0.290413  2.453776
796.729000  0.350269  1.743369
807.495000  0.283953  1.019255
818.262000  0.197548  0.565574
829.028000  0.143099  0.279730
839.795000  0.109731  0.070129
850.562000  0.087948  -0.102003
861.328000  0.072827  -0.253577
872.095000  0.061801  -0.392773
882.861000  0.053445  -0.524022
893.628000  0.046917  -0.649834
904.395000  0.041689  -0.771810
915.161000  0.037418  -0.890959
925.928000  0.033870  -1.007962
936.694000  0.030880  -1.123299
947.461000  0.028331  -1.237340
958.228000  0.026135  -1.350326
968.994000  0.024226  -1.462447
979.761000  0.022553  -1.573862
990.527000  0.021077  -1.684693
1001.290000  0.019766  -1.795020
1012.060000  0.018596  -1.904923
1022.830000  0.017545  -2.014462
1033.590000  0.016598  -2.123687
1044.360000  0.015741  -2.232649
1055.130000  0.014962  -2.341369
1065.890000  0.014251  -2.449885
1076.660000  0.013601  -2.558225
1087.430000  0.013005  -2.666408
1098.190000  0.012456  -2.774439
1108.960000  0.011950  -2.882358
1119.730000  0.011483  -2.990156
1130.490000  0.011049  -3.097864
1141.260000  0.010647  3.077695
1152.030000  0.010273  2.970158
1162.790000  0.009925  2.862682
1173.560000  0.009599  2.755266
1184.330000  0.009296  2.647900
1195.090000  0.009011  2.540584
1205.860000  0.008745  2.433316
1216.630000  0.008494  2.326079
1227.390000  0.008260  2.218870
1238.160000  0.008039  2.111701
1248.930000  0.007831  2.004540
1259.690000  0.007635  1.897408
1270.460000  0.007450  1.790295
1281.230000  0.007276  1.683191
1291.990000  0.007111  1.576105
1302.760000  0.006956  1.469028
1313.530000  0.006809  1.361959
1324.290000  0.006669  1.254888
1335.060000  0.006538  1.147826
1345.830000  0.006413  1.040761
1356.590000  0.006295  0.933695
1367.360000  0.006183  0.826626
1378.130000  0.006077  0.719555
1388.890000  0.005977  0.612482
1399.660000  0.005881  0.505396
1410.420000  0.005791  0.398297
1421.190000  0.005706  0.291195
1431.960000  0.005625  0.184090
1442.720000  0.005548  0.076962
1453.490000  0.005475  -0.030180
1464.260000  0.005406  -0.137326
1475.020000  0.005341  -0.244497
1485.790000  0.005279  -0.351682
1496.560000  0.005221  -0.458891
1507.320000  0.005166  -0.566116
1518.090000  0.005115  -0.673357
1528.860000  0.005066  -0.780619
1539.620000  0.005020  -0.887905
1550.390000  0.004977  -0.995215
1561.160000  0.004936  -1.102549
1571.920000  0.004898  -1.209909
1582.690000  0.004863  -1.317295
1593.460000  0.004830  -1.424709
1604.220000  0.004800  -1.532151
1614.990000  0.004772  -1.639622
1625.760000  0.004746  -1.747124
1636.520000  0.004722  -1.854657
1647.290000  0.004701  -1.962223
1658.060000  0.004681  -2.069822
1668.820000  0.004664  -2.177456
1679.590000  0.004649  -2.285124
1690.360000  0.004635  -2.392829
1701.120000  0.004624  -2.500570
1711.890000  0.004615  -2.608349
1722.660000  0.004607  -2.716168
1733.420000  0.004602  -2.824025
1744.190000  0.004598  -2.931923
1754.960000  0.004596  -3.039862
1765.720000  0.004597  3.135343
1776.490000  0.004599  3.027319
1787.260000  0.004602  2.919251
1798.020000  0.004608  2.811140
1808.790000  0.004616  2.702984
1819.560000  0.004625  2.594782
1830.320000  0.004637  2.486533
1841.090000  0.004650  2.378236
1851.860000  0.004665  2.269893
1862.620000  0.004682  2.161500
1873.390000  0.004702  2.053058
1884.160000  0.004723  1.944565
1894.920000  0.004746  1.836022
1905.690000  0.004771  1.727427
1916.460000  0.004798  1.618780
1927.220000  0.004828  1.510079
1937.990000  0.004859  1.401324
1948.750000  0.004893  1.292515
1959.520000  0.004929  1.183649
1970.290000  0.004967  1.074725
1981.050000  0.005008  0.965747
1991.820000  0.005051  0.856708
2002.590000  0.005097  0.747609
2013.350000  0.005145  0.638449
2024.120000  0.005196  0.529228
2034.890000  0.005250  0.419947
2045.650000  0.005306  0.310593
2056.420000  0.005366  0.201188
2067.190000  0.005428  0.091701
2077.950000  0.005494  -0.017839
2088.720000  0.005563  -0.127461
2099.490000  0.005635  -0.237147
2110.250000  0.005711  -0.346916
2121.020000  0.005790  -0.456749
2131.790000  0.005874  -0.566656
2142.550000  0.005961  -0.676648
