num_points: 4096
frequency_Hz  magnitude  phase_rad
0.100000  0.000002  0.000000
10.766600  0.000418  1.568426
21.533200  0.000886  1.421325
32.299800  0.001374  1.281551
43.066400  0.001880  1.145157
53.833000  0.002406  1.010545
64.599600  0.002957  0.876924
75.366200  0.003538  0.743852
86.132800  0.004155  0.610994
96.899400  0.004816  0.478068
107.666000  0.005530  0.344798
118.433000  0.006310  0.210870
129.199000  0.007170  0.075913
139.966000  0.008128  -0.060531
150.732000  0.009210  -0.199037
161.499000  0.010444  -0.340347
172.266000  0.011869  -0.485428
183.032000  0.013535  -0.635570
193.799000  0.015509  -0.792517
204.565000  0.017874  -0.958664
215.332000  0.020737  -1.137345
226.099000  0.024220  -1.333187
236.865000  0.028431  -1.552475
247.632000  0.033376  -1.803073
258.398000  0.038752  -2.092706
269.165000  0.043658  -2.423546
279.932000  0.046658  -2.783571
290.698000  0.046760  3.138384
301.465000  0.044383  2.804899
312.231000  0.040812  2.512880
322.998000  0.037093  2.261147
333.765000  0.033729  2.042190
344.531000  0.030864  1.848079
355.298000  0.028483  1.672364
366.064000  0.026522  1.510295
376.831000  0.024911  1.358452
387.598000  0.023589  1.214396
398.364000  0.022506  1.076335
409.131000  0.021621  0.942975
419.897000  0.020904  0.813325
430.664000  0.020333  0.686652
441.431000  0.019889  0.562363
452.197000  0.019559  0.440019
462.964000  0.019334  0.319240
473.730000  0.019208  0.199725
484.497000  0.019178  0.081203
495.264000  0.019243  -0.036535
506.030000  0.019405  -0.153700
516.797000  0.019669  -0.270472
527.563000  0.020044  -0.387042
538.330000  0.020541  -0.503610
549.097000  0.021177  -0.620357
559.863000  0.021976  -0.737533
570.630000  0.022970  -0.855419
581.396000  0.024204  -0.974354
592.163000  0.025741  -1.094809
602.930000  0.027670  -1.217424
613.696000  0.030126  -1.343140
624.463000  0.033315  -1.473347
635.229000  0.037568  -1.610325
645.996000  0.043448  -1.758014
656.763000  0.051983  -1.923764
667.529000  0.065200  -2.123006
678.296000  0.087289  -2.392559
689.063000  0.124763  -2.829551
699.829000  0.156999  2.691211
710.596000  0.122445  1.909324
721.362000  0.081862  1.455694
732.129000  0.058240  1.179725
742.896000  0.044271  0.978156
753.662000  0.035307  0.811846
764.429000  0.029143  0.664535
775.195000  0.024672  0.528545
785.962000  0.021297  0.399804
796.729000  0.018666  0.275982
807.495000  0.016564  0.155641
818.262000  0.014848  0.037870
829.028000  0.013425  -0.077971
839.795000  0.012227  -0.192311
850.562000  0.011206  -0.305452
861.328000  0.010327  -0.417653
872.095000  0.009563  -0.529065
882.861000  0.008895  -0.639826
893.628000  0.008305  -0.750059
904.395000  0.007782  -0.859822
915.161000  0.007315  -0.969208
925.928000  0.006896  -1.078255
936.694000  0.006518  -1.187015
947.461000  0.006176  -1.295528
958.228000  0.005866  -1.403824
968.994000  0.005583  -1.511926
979.761000  0.005325  -1.619862
990.527000  0.005087  -1.727654
1001.290000  0.004869  -1.835313
1012.060000  0.004668  -1.942860
1022.830000  0.004482  -2.050304
1033.590000  0.004310  -2.157668
1044.360000  0.004151  -2.264952
1055.130000  0.004003  -2.372166
1065.890000  0.003864  -2.479317
1076.660000  0.003736  -2.586415
