num_points: 4096
frequency_Hz  magnitude  phase_rad
0.100000  0.000001  0.000000
10.766600  0.000364  1.439512
21.533200  0.000728  1.330261
32.299800  0.001094  1.217155
43.066400  0.001465  1.102891
53.833000  0.001842  0.988108
64.599600  0.002226  0.873094
75.366200  0.002619  0.757975
86.132800  0.003023  0.642830
96.899400  0.003441  0.527702
107.666000  0.003875  0.412612
118.433000  0.004327  0.297557
129.199000  0.004801  0.182522
139.966000  0.005301  0.067478
150.732000  0.005831  -0.047618
161.499000  0.006396  -0.162824
172.266000  0.007002  -0.278216
183.032000  0.007656  -0.393881
193.799000  0.008367  -0.509932
204.565000  0.009144  -0.626498
215.332000  0.010001  -0.743741
226.099000  0.010951  -0.861854
236.865000  0.012013  -0.981079
247.632000  0.013211  -1.101711
258.398000  0.014575  -1.224129
269.165000  0.016142  -1.348817
279.932000  0.017963  -1.476412
290.698000  0.020103  -1.607764
301.465000  0.022651  -1.744040
312.231000  0.025729  -1.886875
322.998000  0.029505  -2.038621
333.765000  0.034211  -2.202753
344.531000  0.040162  -2.384521
355.298000  0.047748  -2.591936
366.064000  0.057314  -2.836946
376.831000  0.068668  -3.135324
387.598000  0.079837  2.783438
398.364000  0.086181  2.364619
409.131000  0.084060  1.942614
419.897000  0.075791  1.571513
430.664000  0.066054  1.266966
441.431000  0.057357  1.017573
452.197000  0.050265  0.807354
462.964000  0.044622  0.623933
473.730000  0.040127  0.458950
484.497000  0.036510  0.306920
495.264000  0.033562  0.164244
506.030000  0.031128  0.028480
516.797000  0.029094  -0.102061
527.563000  0.027377  -0.228560
538.330000  0.025914  -0.351886
549.097000  0.024656  -0.472691
559.863000  0.023567  -0.591433
570.630000  0.022619  -0.708504
581.396000  0.021789  -0.824174
592.163000  0.021060  -0.938682
602.930000  0.020418  -1.052209
613.696000  0.019850  -1.164895
624.463000  0.019347  -1.276871
635.229000  0.018902  -1.388236
645.996000  0.018508  -1.499071
656.763000  0.018159  -1.609435
667.529000  0.017851  -1.719400
678.296000  0.017579  -1.829015
689.062000  0.017342  -1.938310
699.829000  0.017136  -2.047346
710.596000  0.016958  -2.156133
721.362000  0.016806  -2.264710
732.129000  0.016679  -2.373099
742.896000  0.016576  -2.481329
753.662000  0.016495  -2.589401
764.429000  0.016435  -2.697354
775.195000  0.016396  -2.805199
785.962000  0.016376  -2.912935
796.729000  0.016375  -3.020584
807.495000  0.016393  -3.128166
818.262000  0.016429  3.047506
829.028000  0.016483  2.940040
839.795000  0.016555  2.832624
850.562000  0.016645  2.725243
861.328000  0.016754  2.617891
872.095000  0.016881  2.510559
882.861000  0.017027  2.403241
893.628000  0.017191  2.295930
904.395000  0.017376  2.188619
915.161000  0.017581  2.081301
925.928000  0.017807  1.973971
936.694000  0.018055  1.866619
947.461000  0.018326  1.759242
958.228000  0.018622  1.651833
968.994000  0.018942  1.544383
979.761000  0.019290  1.436888
990.527000  0.019667  1.329339
1001.290000  0.020074  1.221728
1012.060000  0.020514  1.114048
1022.830000  0.020989  1.006290
1033.590000  0.021502  0.898445
1044.360000  0.022056  0.790502
1055.130000  0.022655  0.682452
1065.890000  0.023302  0.574281
1076.660000  0.024002  0.465977
1087.430000  0.024761  0.357524
1098.190000  0.025584  0.248907
1108.960000  0.026477  0.140105
1119.730000  0.027450  0.031098
1130.490000  0.028511  -0.078141
1141.260000  0.029670  -0.187636
1152.030000  0.030941  -0.297424
1162.790000  0.032338  -0.407542
1173.560000  0.033878  -0.518035
1184.330000  0.035582  -0.628959
1195.090000  0.037475  -0.740379
1205.860000  0.039589  -0.852373
1216.630000  0.041960  -0.965039
1227.390000  0.044636  -1.078498
1238.160000  0.047674  -1.192898
1248.930000  0.051148  -1.308434
1259.690000  0.055156  -1.425353
1270.460000  0.059821  -1.543983
1281.230000  0.065312  -1.664764
1291.990000  0.071858  -1.788286
1302.760000  0.079776  -1.915410
1313.530000  0.089523  -2.047365
1324.290000  0.101775  -2.185981
1335.060000  0.117559  -2.334179
1345.830000  0.138498  -2.496709
1356.590000  0.167216  -2.681868
1367.360000  0.207900  -2.904886
1378.120000  0.266110  3.088586
1388.890000  0.341369  2.683258
1399.660000  0.396303  2.130962
1410.420000  0.369618  1.547875
1421.190000  0.297935  1.095645
1431.960000  0.235407  0.775402
1442.720000  0.190780  0.535245
1453.490000  0.159382  0.340071
1464.260000  0.136680  0.171261
1475.020000  0.119720  0.018836
1485.790000  0.106665  -0.122854
1496.560000  0.096357  -0.257161
1507.320000  0.088045  -0.386195
1518.090000  0.081221  -0.511375
1528.860000  0.075535  -0.633624
1539.620000  0.070737  -0.753619
1550.390000  0.066647  -0.871843
1561.160000  0.063127  -0.988651
1571.920000  0.060076  -1.104314
1582.690000  0.057413  -1.219043
1593.460000  0.055077  -1.332997
1604.220000  0.053019  -1.446306
1614.990000  0.051198  -1.559075
1625.760000  0.049583  -1.671387
1636.520000  0.048148  -1.783311
1647.290000  0.046871  -1.894906
1658.060000  0.045733  -2.006220
1668.820000  0.044720  -2.117293
1679.590000  0.043820  -2.228162
1690.360000  0.043020  -2.338854
1701.120000  0.042313  -2.449397
1711.890000  0.041691  -2.559813
1722.660000  0.041146  -2.670122
1733.420000  0.040674  -2.780341
1744.190000  0.040270  -2.890486
1754.960000  0.039929  -3.000571
1765.720000  0.039648  -3.110608
1776.490000  0.039424  3.062575
1787.260000  0.039255  2.952598
1798.020000  0.039139  2.842638
1808.790000  0.039075  2.732684
1819.560000  0.039060  2.622728
1830.320000  0.039094  2.512762
1841.090000  0.039178  2.402778
1851.860000  0.039309  2.292770
1862.620000  0.039489  2.182731
1873.390000  0.039718  2.072652
1884.160000  0.039996  1.962527
1894.920000  0.040324  1.852350
1905.690000  0.040704  1.742114
1916.460000  0.041137  1.631812
1927.220000  0.041625  1.521436
1937.990000  0.042170  1.410980
1948.750000  0.042775  1.300436
1959.520000  0.043443  1.189795
1970.290000  0.044176  1.079053
1981.050000  0.044980  0.968191
1991.820000  0.045858  0.857208
2002.590000  0.046815  0.746094
2013.350000  0.047859  0.634840
2024.120000  0.048993  0.523424
2034.890000  0.050227  0.411837
2045.650000  0.051569  0.300068
2056.420000  0.053029  0.188107
2067.190000  0.054617  0.075913
2077.950000  0.056346  -0.036513
2088.720000  0.058230  -0.149202
2099.490000  0.060287  -0.262175
2110.250000  0.062536  -0.375470
2121.020000  0.064999  -0.489119
2131.790000  0.067703  -0.603152
2142.550000  0.070679  -0.717639
2153.320000  0.073963  -0.832609
2164.090000  0.077599  -0.948144
2174.850000  0.081640  -1.064311
2185.620000  0.086147  -1.181213
2196.390000  0.091200  -1.298968
2207.150000  0.096892  -1.417695
2217.920000  0.103341  -1.537595
2228.690000  0.110696  -1.658866
2239.450000  0.119144  -1.781808
2250.220000  0.128930  -1.906778
2260.990000  0.140372  -2.034255
2271.750000  0.153896  -2.164906
2282.520000  0.170079  -2.299608
2293.290000  0.189720  -2.439654
2304.050000  0.213950  -2.586870
2314.820000  0.244388  -2.744023
2325.590000  0.283393  -2.915402
2336.350000  0.334349  -3.107859
2347.120000  0.401733  2.950553
2357.890000  0.489561  2.675408
2368.650000  0.593362  2.325148
2379.420000  0.679657  1.885474
2390.190000  0.688275  1.398791
2400.950000  0.614768  0.957414
2411.720000  0.516885  0.608217
2422.490000  0.431228  0.342333
2433.250000  0.367744  0.145447
2444.020000  0.336600  -0.022406
2454.790000  0.307593  -0.243048
2465.550000  0.272759  -0.429337
2476.320000  0.245138  -0.587699
2487.080000  0.223613  -0.733344
2497.850000  0.206424  -0.871807
2508.620000  0.192409  -1.005540
2519.380000  0.180803  -1.135893
2530.150000  0.171080  -1.263715
2540.920000  0.162860  -1.389577
