num_points: 4096
frequency_Hz  magnitude  phase_rad
0.100000  0.000002  0.000000
10.766600  0.000567  1.361268
21.533200  0.001096  1.275094
32.299800  0.001620  1.176827
43.066400  0.002144  1.074181
53.833000  0.002671  0.969365
64.599600  0.003200  0.863319
75.366200  0.003735  0.756532
86.132800  0.004276  0.649284
96.899400  0.004824  0.541734
107.666000  0.005382  0.434012
118.433000  0.005950  0.326194
129.199000  0.006531  0.218335
139.966000  0.007126  0.110475
150.732000  0.007736  0.002638
161.499000  0.008365  -0.105158
172.266000  0.009013  -0.212903
183.032000  0.009685  -0.320596
193.799000  0.010381  -0.428234
204.565000  0.011105  -0.535825
215.332000  0.011860  -0.643375
226.099000  0.012649  -0.750894
236.865000  0.013477  -0.858395
247.632000  0.014346  -0.965890
258.398000  0.015262  -1.073394
269.165000  0.016229  -1.180926
279.932000  0.017252  -1.288499
290.698000  0.018339  -1.396135
301.465000  0.019495  -1.503853
312.231000  0.020727  -1.611673
322.998000  0.022046  -1.719618
333.765000  0.023459  -1.827713
344.531000  0.024979  -1.935984
355.298000  0.026617  -2.044457
366.064000  0.028387  -2.153167
376.831000  0.030307  -2.262147
387.598000  0.032395  -2.371434
398.364000  0.034673  -2.481075
409.131000  0.037166  -2.591119
419.897000  0.039907  -2.701623
430.664000  0.042929  -2.812654
441.431000  0.046276  -2.924292
452.197000  0.050000  -3.036628
462.964000  0.054162  3.133409
473.730000  0.058839  3.019313
484.497000  0.064124  2.904103
495.264000  0.070134  2.787573
506.030000  0.077016  2.669463
516.797000  0.084957  2.549445
527.563000  0.094199  2.427075
538.330000  0.105060  2.301798
549.097000  0.117961  2.172852
559.863000  0.133474  2.039188
570.630000  0.152384  1.899346
581.396000  0.175789  1.751185
592.163000  0.205233  1.591606
602.930000  0.242885  1.415828
613.696000  0.291652  1.216521
624.463000  0.354816  0.982394
635.229000  0.433701  0.697328
645.996000  0.520019  0.344533
656.763000  0.584640  -0.074272
667.529000  0.592109  -0.513372
678.296000  0.546795  -0.908407
689.063000  0.483229  -1.232702
699.829000  0.424179  -1.495608
710.596000  0.375981  -1.714863
721.362000  0.338148  -1.904661
732.129000  0.308657  -2.074529
742.896000  0.285583  -2.230639
753.662000  0.267432  -2.376980
764.429000  0.253101  -2.516252
775.195000  0.241789  -2.650286
785.962000  0.232919  -2.780372
796.729000  0.226069  -2.907459
807.495000  0.220936  -3.032239
818.262000  0.217299  3.127924
829.028000  0.215005  3.006239
839.795000  0.213949  2.885532
850.562000  0.214071  2.765520
861.328000  0.215350  2.645938
872.095000  0.217797  2.526545
882.861000  0.221463  2.407108
893.628000  0.226433  2.287391
904.395000  0.232840  2.167137
915.161000  0.240872  2.046055
925.928000  0.250785  1.923804
936.694000  0.262929  1.799958
947.461000  0.277780  1.673978
958.228000  0.295991  1.545141
968.994000  0.318476  1.412462
979.761000  0.346531  1.274533
990.527000  0.382035  1.129279
1001.290000  0.427772  0.973513
1012.060000  0.487931  0.802124
1022.830000  0.568742  0.606556
1033.590000  0.678658  0.372009
1044.360000  0.824289  0.073295
1055.130000  0.987777  -0.324224
1065.890000  1.077525  -0.827949
1076.660000  0.994777  -1.347709
1087.430000  0.816236  -1.772878
1098.190000  0.651024  -2.091936
1108.960000  0.526241  -2.338700
1119.730000  0.435219  -2.541347
1130.490000  0.367942  -2.716755
1141.260000  0.316986  -2.874658
1152.030000  0.277413  -3.020817
1162.790000  0.245976  3.124413
1173.560000  0.220506  2.992371
1184.330000  0.199515  2.864740
1195.090000  0.181963  2.740460
1205.860000  0.167102  2.618801
1216.630000  0.154377  2.499212
1227.390000  0.143380  2.381284
1238.160000  0.133794  2.264725
1248.930000  0.125378  2.149295
1259.690000  0.117938  2.034805
1270.460000  0.111323  1.921103
1281.230000  0.105410  1.808081
1291.990000  0.100100  1.695637
1302.760000  0.095310  1.583681
1313.530000  0.090973  1.472154
1324.290000  0.087032  1.361014
1335.060000  0.083439  1.250191
1345.830000  0.080155  1.139656
1356.590000  0.077144  1.029368
1367.360000  0.074377  0.919317
1378.130000  0.071829  0.809453
1388.890000  0.069477  0.699764
1399.660000  0.067303  0.590232
1410.420000  0.065290  0.480836
1421.190000  0.063423  0.371565
1431.960000  0.061689  0.262399
1442.720000  0.060077  0.153329
1453.490000  0.058577  0.044343
1464.260000  0.057179  -0.064558
1475.020000  0.055877  -0.173406
1485.790000  0.054661  -0.282189
1496.560000  0.053527  -0.390918
1507.320000  0.052469  -0.499614
1518.090000  0.051480  -0.608267
1528.860000  0.050558  -0.716887
1539.620000  0.049696  -0.825474
1550.390000  0.048892  -0.934048
1561.160000  0.048143  -1.042603
1571.920000  0.047444  -1.151145
1582.690000  0.046793  -1.259678
1593.460000  0.046189  -1.368206
1604.220000  0.045627  -1.476732
1614.990000  0.045106  -1.585260
1625.760000  0.044625  -1.693793
1636.520000  0.044181  -1.802332
1647.290000  0.043773  -1.910883
1658.060000  0.043400  -2.019448
1668.820000  0.043059  -2.128028
1679.590000  0.042751  -2.236628
1690.360000  0.042474  -2.345248
1701.120000  0.042226  -2.453891
1711.890000  0.042008  -2.562561
1722.660000  0.041818  -2.671258
1733.420000  0.041656  -2.779985
1744.190000  0.041522  -2.888745
1754.960000  0.041414  -2.997539
1765.720000  0.041332  -3.106369
1776.490000  0.041276  3.067948
1787.260000  0.041246  2.959038
1798.020000  0.041242  2.850086
