num_points: 4096
frequency_Hz  magnitude  phase_rad
0.100000  0.000001  0.000000
10.766600  0.000516  1.437263
21.533200  0.001030  1.324767
32.299800  0.001548  1.209990
43.066400  0.002075  1.094255
53.833000  0.002614  0.977985
64.599600  0.003169  0.861344
75.366200  0.003742  0.744430
86.132800  0.004340  0.627285
96.899400  0.004966  0.509898
107.666000  0.005626  0.392251
118.433000  0.006329  0.274288
129.199000  0.007080  0.155926
139.966000  0.007891  0.037057
150.732000  0.008774  -0.082468
161.499000  0.009743  -0.202837
172.266000  0.010817  -0.324293
183.032000  0.012019  -0.447146
193.799000  0.013378  -0.571796
204.565000  0.014932  -0.698770
215.332000  0.016733  -0.828764
226.099000  0.018846  -0.962726
236.865000  0.021363  -1.101967
247.632000  0.024411  -1.248358
258.398000  0.028165  -1.404628
269.165000  0.032869  -1.574875
279.932000  0.038854  -1.765393
290.698000  0.046511  -1.985907
301.465000  0.056098  -2.250839
312.231000  0.067014  -2.577872
322.998000  0.076324  -2.975241
333.765000  0.079025  2.869198
344.531000  0.073711  2.453866
355.298000  0.064562  2.105379
366.064000  0.055506  1.823857
376.831000  0.047932  1.592340
387.598000  0.041906  1.394967
398.364000  0.037144  1.220659
409.131000  0.033346  1.062245
419.897000  0.030275  0.915069
430.664000  0.027754  0.776053
441.431000  0.025656  0.643110
452.197000  0.023888  0.514811
462.964000  0.022380  0.390105
473.730000  0.021081  0.268252
484.497000  0.019952  0.148692
495.264000  0.018963  0.030995
506.030000  0.018090  -0.085159
516.797000  0.017315  -0.200041
527.563000  0.016623  -0.313840
538.330000  0.016002  -0.426727
549.097000  0.015442  -0.538832
559.863000  0.014935  -0.650276
570.630000  0.014475  -0.761128
581.396000  0.014056  -0.871478
592.163000  0.013672  -0.981387
602.930000  0.013321  -1.090915
613.696000  0.012998  -1.200092
624.463000  0.012701  -1.308968
635.229000  0.012428  -1.417584
645.996000  0.012175  -1.525959
656.763000  0.011942  -1.634124
667.529000  0.011726  -1.742089
678.296000  0.011525  -1.849894
689.063000  0.011340  -1.957539
699.829000  0.011168  -2.065055
710.596000  0.011008  -2.172451
721.362000  0.010861  -2.279728
732.129000  0.010723  -2.386907
742.896000  0.010596  -2.493996
753.662000  0.010479  -2.601007
764.429000  0.010370  -2.707949
775.195000  0.010269  -2.814823
785.962000  0.010177  -2.921639
796.729000  0.010091  -3.028407
807.495000  0.010013  -3.135117
818.262000  0.009941  3.041385
829.028000  0.009876  2.934750
839.795000  0.009817  2.828143
850.562000  0.009763  2.721565
861.328000  0.009715  2.615012
872.095000  0.009672  2.508480
882.861000  0.009635  2.401966
893.628000  0.009602  2.295469
904.395000  0.009575  2.188983
915.161000  0.009552  2.082508
925.928000  0.009533  1.976040
936.694000  0.009519  1.869578
947.461000  0.009510  1.763119
958.228000  0.009504  1.656662
968.994000  0.009503  1.550204
979.761000  0.009506  1.443744
990.527000  0.009513  1.337279
1001.290000  0.009524  1.230810
1012.060000  0.009538  1.124333
1022.830000  0.009557  1.017848
1033.590000  0.009580  0.911352
1044.360000  0.009606  0.804846
1055.130000  0.009637  0.698327
1065.890000  0.009671  0.591794
1076.660000  0.009709  0.485246
1087.430000  0.009751  0.378682
1098.190000  0.009797  0.272100
1108.960000  0.009847  0.165501
1119.730000  0.009901  0.058882
1130.490000  0.009958  -0.047758
1141.260000  0.010020  -0.154419
1152.030000  0.010086  -0.261103
1162.790000  0.010156  -0.367810
1173.560000  0.010231  -0.474541
1184.330000  0.010309  -0.581298
1195.090000  0.010392  -0.688081
1205.860000  0.010480  -0.794892
1216.630000  0.010571  -0.901730
1227.390000  0.010668  -1.008598
1238.160000  0.010769  -1.115495
1248.930000  0.010876  -1.222424
1259.690000  0.010987  -1.329385
1270.460000  0.011103  -1.436380
1281.230000  0.011225  -1.543402
1291.990000  0.011352  -1.650466
1302.760000  0.011485  -1.757561
1313.530000  0.011623  -1.864698
1324.290000  0.011768  -1.971868
1335.060000  0.011918  -2.079080
1345.830000  0.012075  -2.186324
1356.590000  0.012239  -2.293612
1367.360000  0.012409  -2.400943
1378.130000  0.012587  -2.508317
1388.890000  0.012771  -2.615725
1399.660000  0.012964  -2.723187
1410.420000  0.013164  -2.830693
1421.190000  0.013372  -2.938244
1431.960000  0.013589  -3.045839
1442.720000  0.013815  3.129696
1453.490000  0.014050  3.022000
1464.260000  0.014294  2.914249
1475.020000  0.014549  2.806452
1485.790000  0.014814  2.698599
1496.560000  0.015090  2.590690
1507.320000  0.015378  2.482725
1518.090000  0.015678  2.374702
1528.860000  0.015990  2.266613
1539.620000  0.016315  2.158476
1550.390000  0.016654  2.050262
1561.160000  0.017008  1.941999
1571.920000  0.017377  1.833659
1582.690000  0.017761  1.725260
1593.460000  0.018163  1.616782
1604.220000  0.018582  1.508236
1614.990000  0.019020  1.399620
1625.760000  0.019477  1.290924
1636.520000  0.019955  1.182159
1647.290000  0.020455  1.073303
1658.060000  0.020978  0.964367
1668.820000  0.021526  0.855350
1679.590000  0.022099  0.746242
1690.360000  0.022699  0.637043
1701.120000  0.023329  0.527742
1711.890000  0.023989  0.418349
1722.660000  0.024682  0.308858
1733.420000  0.025410  0.199260
1744.190000  0.026175  0.089550
1754.960000  0.026979  -0.020264
1765.720000  0.027825  -0.130202
1776.490000  0.028717  -0.240263
1787.260000  0.029656  -0.350459
1798.020000  0.030646  -0.460779
1808.790000  0.031692  -0.571234
1819.560000  0.032796  -0.681844
1830.320000  0.033964  -0.792609
1841.090000  0.035201  -0.903530
1851.860000  0.036510  -1.014617
1862.620000  0.037899  -1.125881
1873.390000  0.039374  -1.237341
1884.160000  0.040942  -1.348998
1894.920000  0.042610  -1.460853
1905.690000  0.044387  -1.572945
1916.460000  0.046283  -1.685265
1927.220000  0.048309  -1.797843
1937.990000  0.050476  -1.910690
1948.750000  0.052798  -2.023826
1959.520000  0.055290  -2.137271
1970.290000  0.057969  -2.251055
1981.050000  0.060854  -2.365189
1991.820000  0.063967  -2.479733
2002.590000  0.067331  -2.594687
2013.350000  0.070977  -2.710122
2024.120000  0.074935  -2.826058
2034.890000  0.079243  -2.942554
2045.650000  0.083945  -3.059682
2056.420000  0.089089  3.105694
2067.190000  0.094734  2.987113
2077.950000  0.100948  2.867661
2088.720000  0.107812  2.747247
2099.490000  0.115421  2.625720
2110.250000  0.123890  2.502932
2121.020000  0.133355  2.378693
2131.790000  0.143982  2.252781
2142.550000  0.155970  2.124890
2153.320000  0.169569  1.994688
2164.090000  0.185080  1.861732
2174.850000  0.202882  1.725470
2185.620000  0.223442  1.585191
2196.390000  0.247344  1.439985
2207.150000  0.275315  1.288658
2217.920000  0.308244  1.129648
2228.690000  0.347186  0.960886
2239.450000  0.393306  0.779660
2250.220000  0.447668  0.582469
2260.990000  0.510707  0.365031
2271.750000  0.581091  0.122724
2282.520000  0.653881  -0.147981
2293.290000  0.718896  -0.446571
2304.050000  0.762309  -0.765004
2314.820000  0.773869  -1.087433
2325.590000  0.754345  -1.396124
2336.350000  0.714064  -1.679110
2347.120000  0.664999  -1.932613
2357.890000  0.615546  -2.158172
2368.650000  0.570214  -2.358938
2379.420000  0.531795  -2.537398
2390.190000  0.504232  -2.698821
2400.950000  0.487374  -2.864265
2411.720000  0.468115  -3.038725
2422.490000  0.446247  3.080602
2433.250000  0.426644  2.928290
2444.020000  0.410228  2.783406
2454.790000  0.396672  2.643401
2465.550000  0.385536  2.506833
2476.320000  0.376451  2.372872
2487.080000  0.369132  2.240907
2497.850000  0.363359  2.110548
2508.620000  0.358965  1.981455
2519.380000  0.355817  1.853394
2530.150000  0.353818  1.726148
2540.920000  0.352891  1.599544
2551.680000  0.352981  1.473442
2562.450000  0.354050  1.347698
2573.220000  0.356073  1.222209
2583.980000  0.359044  1.096863
2594.750000  0.362965  0.971560
2605.520000  0.367851  0.846217
2616.280000  0.373732  0.720744
2627.050000  0.380648  0.595033
2637.820000  0.388653  0.469012
2648.580000  0.397815  0.342572
2659.350000  0.408217  0.215615
2670.120000  0.419963  0.088030
2680.880000  0.433171  -0.040300
2691.650000  0.447987  -0.169505
2702.420000  0.464580  -0.299751
2713.180000  0.483154  -0.431197
2723.950000  0.503946  -0.564060
2734.720000  0.527235  -0.698567
2745.480000  0.553355  -0.834994
2756.250000  0.582692  -0.973686
2767.020000  0.615706  -1.115028
2777.780000  0.652930  -1.259523
2788.550000  0.694981  -1.407753
2799.320000  0.742562  -1.560449
2810.080000  0.796442  -1.718506
2820.850000  0.857424  -1.883012
2831.620000  0.926243  -2.055296
2842.380000  1.003385  -2.236941
2853.150000  1.088727  -2.429759
2863.920000  1.181007  -2.635680
2874.680000  1.276962  -2.856465
