num_points: 4096
frequency_Hz  magnitude  phase_rad
0.100000  0.000001  0.000000
10.766600  0.000522  1.423241
21.533200  0.001047  1.296485
32.299800  0.001586  1.165248
43.066400  0.002145  1.031805
53.833000  0.002731  0.896636
64.599600  0.003353  0.759763
75.366200  0.004021  0.621003
86.132800  0.004748  0.480002
96.899400  0.005549  0.336197
107.666000  0.006443  0.188802
118.433000  0.007456  0.036728
129.199000  0.008621  -0.121532
139.966000  0.009977  -0.288057
150.732000  0.011575  -0.465737
161.499000  0.013472  -0.658570
172.266000  0.015719  -0.871979
183.032000  0.018323  -1.112850
193.799000  0.021163  -1.388488
204.565000  0.023849  -1.702864
215.332000  0.025695  -2.049499
226.099000  0.026065  -2.406834
236.865000  0.024954  -2.746732
247.632000  0.022957  -3.050673
258.398000  0.020714  2.968168
269.165000  0.018594  2.738211
279.932000  0.016733  2.535259
290.698000  0.015148  2.352684
301.465000  0.013811  2.185374
312.231000  0.012681  2.029600
322.998000  0.011721  1.882621
333.765000  0.010901  1.742477
344.531000  0.010194  1.607718
355.298000  0.009581  1.477253
366.064000  0.009045  1.350274
376.831000  0.008572  1.226148
387.598000  0.008154  1.104381
398.364000  0.007782  0.984584
409.131000  0.007448  0.866470
419.897000  0.007148  0.749769
430.664000  0.006877  0.634282
441.431000  0.006631  0.519848
452.197000  0.006408  0.406327
462.964000  0.006203  0.293599
473.730000  0.006016  0.181563
484.497000  0.005845  0.070140
495.264000  0.005687  -0.040741
506.030000  0.005541  -0.151139
516.797000  0.005407  -0.261116
527.563000  0.005283  -0.370720
538.330000  0.005167  -0.479972
549.097000  0.005061  -0.588923
559.863000  0.004961  -0.697602
570.630000  0.004869  -0.806039
581.396000  0.004783  -0.914255
592.163000  0.004703  -1.022259
602.930000  0.004629  -1.130093
613.696000  0.004559  -1.237765
624.463000  0.004495  -1.345276
635.229000  0.004435  -1.452666
645.996000  0.004379  -1.559925
656.763000  0.004326  -1.667074
667.529000  0.004278  -1.774132
678.296000  0.004233  -1.881089
689.063000  0.004191  -1.987966
699.829000  0.004152  -2.094763
710.596000  0.004116  -2.201500
721.362000  0.004083  -2.308176
732.129000  0.004053  -2.414793
742.896000  0.004025  -2.521361
753.662000  0.004000  -2.627879
764.429000  0.003976  -2.734358
775.195000  0.003956  -2.840808
785.962000  0.003937  -2.947219
796.729000  0.003920  -3.053601
807.495000  0.003905  3.123220
818.262000  0.003893  3.016884
829.028000  0.003882  2.910564
839.795000  0.003873  2.804260
850.562000  0.003866  2.697969
861.328000  0.003860  2.591690
872.095000  0.003857  2.485418
882.861000  0.003855  2.379154
893.628000  0.003854  2.272892
904.395000  0.003856  2.166634
915.161000  0.003859  2.060375
925.928000  0.003863  1.954115
936.694000  0.003869  1.847851
947.461000  0.003877  1.741582
958.228000  0.003886  1.635308
968.994000  0.003897  1.529025
979.761000  0.003910  1.422732
990.527000  0.003924  1.316430
1001.290000  0.003940  1.210115
1012.060000  0.003957  1.103788
1022.830000  0.003976  0.997446
1033.590000  0.003996  0.891089
1044.360000  0.004018  0.784715
1055.130000  0.004042  0.678324
1065.890000  0.004068  0.571915
1076.660000  0.004095  0.465486
1087.430000  0.004124  0.359037
1098.190000  0.004154  0.252567
1108.960000  0.004187  0.146074
1119.730000  0.004221  0.039559
1130.490000  0.004257  -0.066980
1141.260000  0.004295  -0.173544
1152.030000  0.004335  -0.280132
1162.790000  0.004377  -0.386747
1173.560000  0.004422  -0.493389
1184.330000  0.004468  -0.600057
1195.090000  0.004516  -0.706754
1205.860000  0.004567  -0.813480
1216.630000  0.004620  -0.920235
1227.390000  0.004675  -1.027021
1238.160000  0.004733  -1.133837
1248.930000  0.004793  -1.240686
1259.690000  0.004856  -1.347568
1270.460000  0.004922  -1.454486
1281.230000  0.004990  -1.561434
1291.990000  0.005062  -1.668413
1302.760000  0.005136  -1.775432
1313.530000  0.005214  -1.882483
1324.290000  0.005295  -1.989576
1335.060000  0.005379  -2.096710
1345.830000  0.005467  -2.203886
1356.590000  0.005558  -2.311094
1367.360000  0.005653  -2.418344
1378.130000  0.005753  -2.525636
1388.890000  0.005856  -2.632972
1399.660000  0.005964  -2.740351
1410.420000  0.006077  -2.847773
1421.190000  0.006194  -2.955249
1431.960000  0.006316  -3.062769
1442.720000  0.006444  3.112853
1453.490000  0.006577  3.005234
1464.260000  0.006716  2.897560
1475.020000  0.006861  2.789840
1485.790000  0.007012  2.682055
1496.560000  0.007170  2.574224
1507.320000  0.007336  2.466337
1518.090000  0.007509  2.358392
1528.860000  0.007689  2.250380
1539.620000  0.007878  2.142301
1550.390000  0.008076  2.034164
1561.160000  0.008283  1.925959
1571.920000  0.008501  1.817695
1582.690000  0.008728  1.709352
1593.460000  0.008967  1.600930
1604.220000  0.009218  1.492449
1614.990000  0.009481  1.383877
1625.760000  0.009757  1.275225
1636.520000  0.010048  1.166492
1647.290000  0.010354  1.057679
1658.060000  0.010677  0.948774
1668.820000  0.011016  0.839768
1679.590000  0.011374  0.730671
1690.360000  0.011753  0.621481
1701.120000  0.012152  0.512179
1711.890000  0.012575  0.402764
1722.660000  0.013023  0.293241
1733.420000  0.013497  0.183600
