num_points: 4096
frequency_Hz  magnitude  phase_rad
0.100000  0.000003  3.141593
10.766600  0.000467  1.526803
21.533200  0.000960  1.385834
32.299800  0.001464  1.255356
43.066400  0.001978  1.128478
53.833000  0.002505  1.003367
64.599600  0.003047  0.879286
75.366200  0.003608  0.755916
86.132800  0.004192  0.633059
96.899400  0.004803  0.510584
107.666000  0.005446  0.388399
118.433000  0.006128  0.266417
129.199000  0.006856  0.144539
139.966000  0.007638  0.022658
150.732000  0.008485  -0.099351
161.499000  0.009408  -0.221638
172.266000  0.010423  -0.344378
183.032000  0.011548  -0.467785
193.799000  0.012805  -0.592118
204.565000  0.014222  -0.717693
215.332000  0.015834  -0.844907
226.099000  0.017685  -0.974258
236.865000  0.019833  -1.106385
247.632000  0.022352  -1.242127
258.398000  0.025341  -1.382597
269.165000  0.028932  -1.529314
279.932000  0.033300  -1.684389
290.698000  0.038680  -1.850806
301.465000  0.045372  -2.032846
312.231000  0.053728  -2.236643
322.998000  0.064042  -2.470684
333.765000  0.076193  -2.745354
344.531000  0.088856  -3.068995
355.298000  0.098757  2.845883
366.064000  0.102135  2.460340
376.831000  0.098506  2.097080
387.598000  0.090950  1.780384
398.364000  0.082621  1.512020
409.131000  0.075103  1.282919
419.897000  0.068843  1.082840
430.664000  0.063807  0.903613
441.431000  0.059827  0.739394
452.197000  0.056723  0.586092
462.964000  0.054346  0.440843
473.730000  0.052581  0.301626
484.497000  0.051345  0.166951
495.264000  0.050581  0.035698
506.030000  0.050257  -0.092992
516.797000  0.050359  -0.219810
527.563000  0.050895  -0.345356
538.330000  0.051892  -0.470159
549.097000  0.053404  -0.594769
559.863000  0.055516  -0.719747
570.630000  0.058359  -0.845753
581.396000  0.062133  -0.973636
592.163000  0.067144  -1.104567
602.930000  0.073875  -1.240315
613.696000  0.083129  -1.383741
624.463000  0.096313  -1.539865
635.229000  0.116081  -1.718488
645.996000  0.147816  -1.941119
656.763000  0.202408  -2.262139
667.529000  0.286411  -2.819987
678.296000  0.297949  2.608211
689.063000  0.204672  1.959557
699.829000  0.138236  1.596244
710.596000  0.100489  1.357135
721.362000  0.077520  1.172064
732.129000  0.062383  1.014043
742.896000  0.051764  0.871289
753.662000  0.043951  0.737923
764.429000  0.037988  0.610744
775.195000  0.033304  0.487852
785.962000  0.029539  0.368057
796.729000  0.026454  0.250577
807.495000  0.023886  0.134863
818.262000  0.021720  0.020545
829.028000  0.019871  -0.092669
839.795000  0.018278  -0.204987
850.562000  0.016893  -0.316551
861.328000  0.015680  -0.427501
872.095000  0.014611  -0.537925
882.861000  0.013662  -0.647906
893.628000  0.012815  -0.757511
904.395000  0.012056  -0.866792
915.161000  0.011373  -0.975779
925.928000  0.010755  -1.084520
936.694000  0.010194  -1.193037
947.461000  0.009683  -1.301368
958.228000  0.009217  -1.409523
968.994000  0.008789  -1.517523
979.761000  0.008397  -1.625397
990.527000  0.008035  -1.733134
1001.290000  0.007701  -1.840775
1012.060000  0.007393  -1.948308
1022.830000  0.007107  -2.055755
1033.590000  0.006841  -2.163124
1044.360000  0.006593  -2.270416
1055.130000  0.006363  -2.377650
1065.890000  0.006148  -2.484812
1076.660000  0.005947  -2.591930
1087.430000  0.005759  -2.699002
1098.190000  0.005582  -2.806015
1108.960000  0.005417  -2.913002
1119.730000  0.005261  -3.019951
1130.490000  0.005115  -3.126864
1141.260000  0.004977  3.049425
1152.030000  0.004848  2.942564
1162.790000  0.004725  2.835719
1173.560000  0.004610  2.728887
1184.330000  0.004501  2.622080
1195.090000  0.004398  2.515275
1205.860000  0.004301  2.408482
1216.630000  0.004208  2.301691
1227.390000  0.004121  2.194909
1238.160000  0.004038  2.088128
1248.930000  0.003960  1.981344
1259.690000  0.003886  1.874548
1270.460000  0.003816  1.767748
1281.230000  0.003749  1.660943
1291.990000  0.003686  1.554123
1302.760000  0.003626  1.447296
1313.530000  0.003569  1.340452
1324.290000  0.003515  1.233580
1335.060000  0.003464  1.126699
1345.830000  0.003416  1.019799
1356.590000  0.003370  0.912879
1367.360000  0.003326  0.805927
1378.130000  0.003285  0.698955
1388.890000  0.003247  0.591952
1399.660000  0.003210  0.484937
1410.420000  0.003175  0.377880
1421.190000  0.003143  0.270802
1431.960000  0.003112  0.163692
1442.720000  0.003084  0.056560
1453.490000  0.003057  -0.050602
1464.260000  0.003031  -0.157806
1475.020000  0.003008  -0.265030
1485.790000  0.002986  -0.372283
1496.560000  0.002965  -0.479566
1507.320000  0.002947  -0.586878
1518.090000  0.002929  -0.694218
1528.860000  0.002913  -0.801594
1539.620000  0.002899  -0.908996
1550.390000  0.002886  -1.016427
1561.160000  0.002874  -1.123887
1571.920000  0.002864  -1.231375
1582.690000  0.002855  -1.338893
1593.460000  0.002848  -1.446438
1604.220000  0.002841  -1.554013
1614.990000  0.002836  -1.661617
1625.760000  0.002832  -1.769249
1636.520000  0.002830  -1.876911
1647.290000  0.002829  -1.984602
1658.060000  0.002828  -2.092323
1668.820000  0.002830  -2.200074
1679.590000  0.002832  -2.307857
1690.360000  0.002836  -2.415673
1701.120000  0.002840  -2.523520
1711.890000  0.002846  -2.631402
1722.660000  0.002854  -2.739319
1733.420000  0.002862  -2.847273
1744.190000  0.002872  -2.955264
1754.960000  0.002883  -3.063295
1765.720000  0.002895  3.111819
1776.490000  0.002908  3.003706
1787.260000  0.002923  2.895548
1798.020000  0.002939  2.787345
1808.790000  0.002957  2.679093
1819.560000  0.002975  2.570793
1830.320000  0.002996  2.462442
1841.090000  0.003017  2.354036
1851.860000  0.003040  2.245577
1862.620000  0.003065  2.137060
1873.390000  0.003091  2.028484
1884.160000  0.003119  1.919848
1894.920000  0.003148  1.811150
1905.690000  0.003179  1.702386
1916.460000  0.003212  1.593556
1927.220000  0.003246  1.484660
1937.990000  0.003283  1.375693
1948.750000  0.003321  1.266656
1959.520000  0.003362  1.157540
1970.290000  0.003404  1.048364
1981.050000  0.003449  0.939100
1991.820000  0.003496  0.829768
2002.590000  0.003545  0.720348
2013.350000  0.003597  0.610851
2024.120000  0.003651  0.501275
2034.890000  0.003708  0.391611
2045.650000  0.003768  0.281869
2056.420000  0.003831  0.172040
2067.190000  0.003897  0.062123
2077.950000  0.003967  -0.047882
2088.720000  0.004039  -0.157983
2099.490000  0.004116  -0.268171
2110.250000  0.004196  -0.378456
