num_points: 4096
frequency_Hz  magnitude  phase_rad
0.100000  0.000003  3.141593
10.766600  0.000441  1.551761
21.533200  0.000923  1.398536
32.299800  0.001423  1.255877
43.066400  0.001942  1.116813
53.833000  0.002484  0.979319
64.599600  0.003052  0.842545
75.366200  0.003654  0.705983
86.132800  0.004297  0.569264
96.899400  0.004989  0.432033
107.666000  0.005744  0.293922
118.433000  0.006574  0.154488
129.199000  0.007499  0.013179
139.966000  0.008542  -0.130706
150.732000  0.009731  -0.278078
161.499000  0.011105  -0.430139
172.266000  0.012710  -0.588494
183.032000  0.014609  -0.755324
193.799000  0.016875  -0.933602
204.565000  0.019592  -1.127377
215.332000  0.022831  -1.342040
226.099000  0.026596  -1.584230
236.865000  0.030697  -1.860591
247.632000  0.034571  -2.173882
258.398000  0.037262  -2.516409
269.165000  0.037941  -2.866821
279.932000  0.036627  3.084139
290.698000  0.034107  2.786561
301.465000  0.031221  2.526597
312.231000  0.028467  2.299349
322.998000  0.026040  2.097904
333.765000  0.023977  1.916073
344.531000  0.022247  1.749015
355.298000  0.020803  1.593130
366.064000  0.019599  1.445797
376.831000  0.018593  1.305116
387.598000  0.017753  1.169656
398.364000  0.017051  1.038353
409.131000  0.016468  0.910396
419.897000  0.015986  0.785171
430.664000  0.015593  0.662177
441.431000  0.015279  0.541034
452.197000  0.015037  0.421412
462.964000  0.014860  0.303053
473.730000  0.014745  0.185754
484.497000  0.014689  0.069318
495.264000  0.014691  -0.046416
506.030000  0.014751  -0.161588
516.797000  0.014871  -0.276317
527.563000  0.015053  -0.390723
538.330000  0.015301  -0.504947
549.097000  0.015622  -0.619077
559.863000  0.016024  -0.733263
570.630000  0.016518  -0.847627
581.396000  0.017118  -0.962316
592.163000  0.017844  -1.077522
602.930000  0.018723  -1.193475
613.696000  0.019789  -1.310454
624.463000  0.021091  -1.428840
635.229000  0.022698  -1.549173
645.996000  0.024710  -1.672204
656.763000  0.027279  -1.799061
667.529000  0.030642  -1.931547
678.296000  0.035193  -2.072652
689.063000  0.041627  -2.227785
699.829000  0.051273  -2.407728
710.596000  0.066856  -2.636700
721.362000  0.093817  -2.977105
732.129000  0.132923  2.701615
742.896000  0.129929  1.840330
753.662000  0.088365  1.243141
764.429000  0.060905  0.906379
775.195000  0.045168  0.679234
785.962000  0.035441  0.500546
796.729000  0.028946  0.346525
807.495000  0.024337  0.206544
818.262000  0.020914  0.075275
829.028000  0.018279  -0.050239
839.795000  0.016194  -0.171748
850.562000  0.014506  -0.290373
861.328000  0.013115  -0.406844
872.095000  0.011949  -0.521662
882.861000  0.010960  -0.635207
893.628000  0.010112  -0.747727
904.395000  0.009378  -0.859415
915.161000  0.008736  -0.970418
925.928000  0.008171  -1.080857
936.694000  0.007671  -1.190832
947.461000  0.007225  -1.300401
958.228000  0.006826  -1.409636
968.994000  0.006467  -1.518564
979.761000  0.006143  -1.627246
990.527000  0.005848  -1.735701
1001.290000  0.005580  -1.843969
1012.060000  0.005336  -1.952059
1022.830000  0.005111  -2.060002
1033.590000  0.004905  -2.167805
1044.360000  0.004716  -2.275490
1055.130000  0.004541  -2.383076
1065.890000  0.004379  -2.490568
1076.660000  0.004229  -2.597965
1087.430000  0.004090  -2.705293
1098.190000  0.003960  -2.812552
1108.960000  0.003840  -2.919752
1119.730000  0.003727  -3.026893
1130.490000  0.003622  -3.133986
1141.260000  0.003524  3.042144
1152.030000  0.003432  2.935126
1162.790000  0.003346  2.828144
1173.560000  0.003265  2.721187
1184.330000  0.003190  2.614255
1195.090000  0.003119  2.507346
1205.860000  0.003052  2.400450
1216.630000  0.002989  2.293555
1227.390000  0.002930  2.186681
1238.160000  0.002875  2.079805
1248.930000  0.002822  1.972927
1259.690000  0.002773  1.866056
1270.460000  0.002727  1.759169
1281.230000  0.002684  1.652277
1291.990000  0.002643  1.545378
1302.760000  0.002605  1.438471
1313.530000  0.002569  1.331535
1324.290000  0.002535  1.224589
1335.060000  0.002503  1.117621
1345.830000  0.002474  1.010623
1356.590000  0.002446  0.903612
1367.360000  0.002420  0.796568
1378.130000  0.002396  0.689502
1388.890000  0.002374  0.582412
1399.660000  0.002354  0.475279
1410.420000  0.002335  0.368132
1421.190000  0.002317  0.260943
1431.960000  0.002301  0.153730
1442.720000  0.002287  0.046475
1453.490000  0.002274  -0.060802
1464.260000  0.002263  -0.168121
1475.020000  0.002252  -0.275470
1485.790000  0.002244  -0.382850
1496.560000  0.002236  -0.490259
1507.320000  0.002230  -0.597706
1518.090000  0.002225  -0.705181
1528.860000  0.002222  -0.812690
1539.620000  0.002219  -0.920231
1550.390000  0.002218  -1.027806
1561.160000  0.002219  -1.135412
1571.920000  0.002220  -1.243051
1582.690000  0.002223  -1.350721
1593.460000  0.002227  -1.458424
1604.220000  0.002232  -1.566160
1614.990000  0.002238  -1.673929
1625.760000  0.002246  -1.781732
1636.520000  0.002255  -1.889570
1647.290000  0.002266  -1.997443
1658.060000  0.002277  -2.105352
1668.820000  0.002290  -2.213300
1679.590000  0.002305  -2.321286
1690.360000  0.002321  -2.429313
1701.120000  0.002338  -2.537382
1711.890000  0.002357  -2.645495
1722.660000  0.002377  -2.753654
1733.420000  0.002399  -2.861862
1744.190000  0.002422  -2.970120
1754.960000  0.002447  -3.078431
1765.720000  0.002474  3.096387
1776.490000  0.002503  2.987961
1787.260000  0.002533  2.879475
1798.020000  0.002566  2.770923
1808.790000  0.002601  2.662304
1819.560000  0.002637  2.553615
1830.320000  0.002676  2.444852
1841.090000  0.002717  2.336012
1851.860000  0.002761  2.227090
1862.620000  0.002807  2.118085
1873.390000  0.002856  2.008992
1884.160000  0.002908  1.899806
1894.920000  0.002964  1.790525
1905.690000  0.003022  1.681144
1916.460000  0.003084  1.571659
1927.220000  0.003149  1.462065
1937.990000  0.003219  1.352359
1948.750000  0.003293  1.242534
1959.520000  0.003371  1.132587
1970.290000  0.003454  1.022510
1981.050000  0.003543  0.912297
1991.820000  0.003637  0.801947
2002.590000  0.003737  0.691441
2013.350000  0.003844  0.580788
2024.120000  0.003958  0.469959
2034.890000  0.004079  0.358964
2045.650000  0.004209  0.247783
2056.420000  0.004348  0.136407
2067.190000  0.004498  0.024826
2077.950000  0.004658  -0.086990
2088.720000  0.004830  -0.199040
2099.490000  0.005016  -0.311344
2110.250000  0.005216  -0.423942
2121.020000  0.005433  -0.536834
2131.790000  0.005668  -0.650068
2142.550000  0.005923  -0.763676
2153.320000  0.006201  -0.877686
2164.090000  0.006505  -0.992149
2174.850000  0.006839  -1.107115
2185.620000  0.007205  -1.222643
2196.390000  0.007610  -1.338824
2207.150000  0.008059  -1.455738
2217.920000  0.008558  -1.573494
