num_points: 4096
frequency_Hz  magnitude  phase_rad
0.1  1.02052e-05  1.22934
10.7666  0.000557172  1.42311
21.5332  0.00108063  1.39545
32.2998  0.00160059  1.35463
43.0664  0.00212048  1.30927
53.833  0.00264214  1.26173
64.5996  0.00316697  1.21296
75.3662  0.00369618  1.16344
86.1328  0.00423096  1.11346
96.8994  0.00477249  1.06318
107.666  0.00532201  1.01271
118.433  0.00588081  0.962133
129.199  0.00645027  0.911492
139.966  0.00703185  0.86083
150.732  0.00762712  0.81017
161.499  0.00823773  0.759531
172.266  0.0088655  0.708924
183.032  0.00951235  0.658353
193.799  0.0101804  0.607821
204.565  0.0108718  0.557325
215.332  0.011589  0.506863
226.099  0.0123346  0.456428
236.865  0.0131116  0.406013
247.632  0.0139228  0.355609
258.398  0.0147718  0.305207
269.165  0.0156622  0.254794
279.932  0.0165981  0.20436
290.698  0.0175838  0.153893
301.465  0.0186243  0.103379
312.231  0.019725  0.0528046
322.998  0.020892  0.00215538
333.765  0.022132  -0.0485841
344.531  0.0234525  -0.0994303
355.298  0.0248621  -0.150401
366.064  0.0263702  -0.201514
376.831  0.0279877  -0.252792
387.598  0.0297269  -0.304255
398.364  0.0316018  -0.355931
409.131  0.0336286  -0.407845
419.897  0.0358258  -0.460029
430.664  0.038215  -0.51252
441.431  0.0408211  -0.565357
452.197  0.0436737  -0.618587
462.964  0.0468072  -0.672264
473.73  0.0502629  -0.726454
484.497  0.0540896  -0.781231
495.264  0.0583467  -0.836687
506.03  0.063106  -0.892931
516.797  0.0684555  -0.950097
527.563  0.0745042  -1.00835
538.33  0.0813886  -1.0679
549.097  0.0892818  -1.12901
559.863  0.0984058  -1.19202
570.63  0.10905  -1.25737
581.396  0.121597  -1.32566
592.163  0.136562  -1.39768
602.93  0.154655  -1.47457
613.696  0.176863  -1.55792
624.463  0.204597  -1.6501
635.229  0.239892  -1.75469
645.996  0.285684  -1.87728
656.763  0.346017  -2.02687
667.529  0.425461  -2.21778
678.296  0.524919  -2.47093
689.063  0.627607  -2.80609
699.829  0.684342  3.07369
710.596  0.657828  2.67486
721.362  0.580562  2.34856
732.129  0.499169  2.10283
742.896  0.431602  1.91675
753.662  0.37912  1.77004
764.429  0.338767  1.64901
775.195  0.307488  1.54513
785.962  0.28293  1.45307
796.729  0.263405  1.36939
807.495  0.247719  1.29183
818.262  0.235019  1.21884
829.028  0.224691  1.14933
839.795  0.216287  1.08251
850.562  0.209473  1.0178
861.328  0.204001  0.954749
872.095  0.199684  0.893024
882.861  0.196381  0.832348
893.628  0.193987  0.772501
904.395  0.192424  0.7133
915.161  0.191639  0.654588
925.928  0.191596  0.596229
936.694  0.192279  0.538101
947.461  0.193684  0.480089
958.228  0.195827  0.422083
968.994  0.198737  0.363972
979.761  0.20246  0.305644
990.527  0.207063  0.246975
1001.29  0.212635  0.18783
1012.06  0.219292  0.128052
1022.83  0.227186  0.0674606
1033.59  0.236511  0.00583315
1044.36  0.247521  -0.0571036
1055.13  0.260543  -0.121696
1065.89  0.276013  -0.188394
1076.66  0.294511  -0.257794
1087.43  0.316822  -0.330709
1098.19  0.344034  -0.408275
1108.96  0.377677  -0.492125
1119.73  0.419944  -0.584692
1130.49  0.474026  -0.68972
1141.26  0.544555  -0.813192
1152.03  0.637917  -0.964963
1162.79  0.761031  -1.16137
1173.56  0.912851  -1.42731
1184.33  1.05582  -1.78696
1195.09  1.09359  -2.21999
1205.86  0.982969  -2.63368
1216.63  0.813777  -2.95729
1227.39  0.662707  3.08913
1238.16  0.546347  2.91193
1248.93  0.45918  2.7725
1259.69  0.393234  2.65726
1270.46  0.342329  2.55802
1281.23  0.302184  2.46978
1291.99  0.26989  2.38935
1302.76  0.243452  2.31466
1313.53  0.221471  2.24429
1324.29  0.202952  2.17724
1335.06  0.187165  2.1128
1345.83  0.17357  2.05045
1356.59  0.161757  1.98979
1367.36  0.151411  1.93052
1378.13  0.142285  1.87241
1388.89  0.134186  1.81527
1399.66  0.126957  1.75895
1410.42  0.120472  1.70334
1421.19  0.114628  1.64834
1431.96  0.109339  1.59386
1442.72  0.104535  1.53985
1453.49  0.100156  1.48624
1464.26  0.0961525  1.43298
1475.02  0.0924815  1.38005
1485.79  0.0891067  1.32739
1496.56  0.0859967  1.27498
1507.32  0.0831244  1.2228
1518.09  0.0804664  1.17081
1528.86  0.0780021  1.11902
1539.62  0.0757137  1.06738
1550.39  0.0735852  1.0159
1561.16  0.0716029  0.964547
1571.92  0.0697543  0.913321
1582.69  0.0680285  0.862207
1593.46  0.0664157  0.811196
1604.22  0.0649073  0.760278
1614.99  0.0634953  0.709446
1625.76  0.0621728  0.658692
1636.52  0.0609335  0.60801
1647.29  0.0597717  0.557393
1658.06  0.0586822  0.506836
1668.82  0.0576603  0.456335
1679.59  0.0567019  0.405883
1690.36  0.0558031  0.355478
1701.12  0.0549604  0.305115
1711.89  0.0541706  0.25479
1722.66  0.0534308  0.204499
1733.42  0.0527384  0.15424
1744.19  0.052091  0.10401
1754.96  0.0514863  0.053805
1765.72  0.0509224  0.00362313
1776.49  0.0503974  -0.0465384
1787.26  0.0499096  -0.0966821
1798.02  0.0494575  -0.14681
1808.79  0.0490397  -0.196925
1819.56  0.0486549  -0.247028
1830.32  0.0483019  -0.297122
1841.09  0.0479797  -0.347208
1851.86  0.0476874  -0.39729
1862.62  0.047424  -0.447367
1873.39  0.0471888  -0.497443
1884.16  0.0469812  -0.547518
1894.92  0.0468004  -0.597595
1905.69  0.046646  -0.647675
1916.46  0.0465174  -0.69776
1927.22  0.0464143  -0.747851
1937.99  0.0463363  -0.797951
1948.75  0.0462832  -0.84806
1959.52  0.0462547  -0.898181
1970.29  0.0462507  -0.948314
1981.05  0.0462711  -0.998462
1991.82  0.0463157  -1.04863
2002.59  0.0463848  -1.09881
2013.35  0.0464782  -1.14901
2024.12  0.0465963  -1.19923
2034.89  0.046739  -1.24948
2045.65  0.0469067  -1.29975
2056.42  0.0470997  -1.35004
2067.19  0.0473184  -1.40037
2077.95  0.0475631  -1.45073
2088.72  0.0478343  -1.50111
2099.49  0.0481327  -1.55154
2110.25  0.0484589  -1.602
2121.02  0.0488134  -1.65249
2131.79  0.0491972  -1.70303
2142.55  0.0496111  -1.75362
2153.32  0.050056  -1.80425
2164.09  0.0505329  -1.85493
2174.85  0.0510431  -1.90566
2185.62  0.0515876  -1.95644
2196.39  0.0521679  -2.00729
2207.15  0.0527854  -2.05819
2217.92  0.0534418  -2.10917
2228.69  0.0541387  -2.16021
2239.45  0.054878  -2.21132
2250.22  0.0556618  -2.26252
2260.99  0.0564923  -2.31379
2271.75  0.057372  -2.36515
2282.52  0.0583034  -2.41661
2293.29  0.0592894  -2.46817
2304.05  0.0603332  -2.51983
2314.82  0.0614381  -2.5716
2325.59  0.0626079  -2.62349
2336.35  0.0638467  -2.67551
2347.12  0.0651588  -2.72767
2357.89  0.0665491  -2.77997
2368.65  0.068023  -2.83243
2379.42  0.0695864  -2.88505
2390.19  0.0712457  -2.93786
2400.95  0.073008  -2.99086
2411.72  0.0748813  -3.04406
2422.49  0.0768742  -3.09749
2433.25  0.0789964  3.13201
2444.02  0.0812588  3.07808
2454.79  0.0836732  3.02385
2465.55  0.0862531  2.96931
2476.32  0.0890135  2.91443
2487.08  0.0919714  2.85918
2497.85  0.0951458  2.80351
2508.62  0.0985582  2.7474
2519.38  0.102233  2.69079
2530.15  0.106198  2.63363
2540.92  0.110486  2.57586
2551.68  0.115131  2.5174
2562.45  0.120177  2.45819
2573.22  0.125672  2.39811
2583.98  0.131673  2.33706
2594.75  0.138243  2.27492
2605.52  0.145461  2.21152
2616.28  0.153416  2.14668
2627.05  0.162215  2.08019
2637.82  0.171982  2.01177
2648.58  0.182866  1.94111
2659.35  0.195045  1.86781
2670.12  0.208728  1.7914
2680.88  0.224162  1.71126
2691.65  0.241639  1.62665
2702.42  0.261491  1.53665
2713.18  0.284087  1.44007
2723.95  0.30981  1.33546
2734.72  0.338992  1.22103
2745.48  0.371796  1.09462
2756.25  0.407988  0.953803
2767.02  0.446563  0.79615
2777.78  0.485259  0.619851
2788.55  0.520201  0.424814
2799.32  0.546235  0.213992
2810.08  0.558512  -0.00592326
2820.85  0.554825  -0.225559
2831.62  0.536839  -0.435633
2842.38  0.509011  -0.629673
2853.15  0.476325  -0.804941
2863.92  0.442674  -0.961669
2874.68  0.410452  -1.10173
2885.45  0.380834  -1.22757
2896.22  0.354222  -1.34161
2906.98  0.330593  -1.44597
2917.75  0.309726  -1.54243
2928.52  0.291327  -1.63244
2939.28  0.275094  -1.71714
2950.05  0.260744  -1.79745
2960.82  0.248025  -1.87413
2971.58  0.236719  -1.94775
2982.35  0.22664  -2.01879
2993.12  0.217627  -2.08765
3003.88  0.209547  -2.15464
3014.65  0.202285  -2.22002
3025.42  0.195745  -2.28401
3036.18  0.189843  -2.3468
3046.95  0.184508  -2.40854
3057.71  0.179682  -2.46935
3068.48  0.175311  -2.52935
3079.25  0.171351  -2.58863
3090.01  0.167763  -2.64728
3100.78  0.164515  -2.70536
3111.55  0.161577  -2.76293
3122.31  0.158923  -2.82005
3133.08  0.156532  -2.87677
3143.85  0.154385  -2.93313
3154.61  0.152463  -2.98916
3165.38  0.150754  -3.04489
3176.15  0.149243  -3.10037
3186.91  0.14792  3.12758
3197.68  0.146775  3.07255
3208.45  0.145799  3.01772
3219.21  0.144985  2.96306
3229.98  0.144326  2.90855
3240.75  0.143817  2.85417
3251.51  0.143454  2.79992
3262.28  0.143233  2.74578
3273.05  0.14315  2.69173
3283.81  0.143205  2.63777
3294.58  0.143394  2.58387
3305.35  0.143717  2.53004
3316.11  0.144174  2.47625
3326.88  0.144764  2.42251
3337.65  0.145489  2.36879
3348.41  0.14635  2.3151
3359.18  0.147349  2.26142
3369.95  0.148488  2.20774
3380.71  0.149772  2.15405
3391.48  0.151203  2.10036
3402.25  0.152786  2.04663
3413.01  0.154526  1.99288
3423.78  0.15643  1.93909
3434.55  0.158504  1.88525
3445.31  0.160755  1.83136
3456.08  0.163194  1.77739
3466.85  0.165828  1.72335
3477.61  0.168669  1.66922
3488.38  0.171729  1.615
3499.15  0.175021  1.56066
3509.91  0.178561  1.50621
3520.68  0.182364  1.45162
3531.45  0.18645  1.39688
3542.21  0.190838  1.34198
3552.98  0.195553  1.2869
3563.75  0.20062  1.23162
3574.51  0.206067  1.17613
3585.28  0.211929  1.1204
3596.04  0.21824  1.06441
3606.81  0.225044  1.00814
3617.58  0.232386  0.951544
3628.34  0.24032  0.894603
3639.11  0.248906  0.837275
3649.88  0.258215  0.779519
3660.64  0.268325  0.721288
3671.41  0.279329  0.662525
3682.18  0.291333  0.603167
3692.94  0.30446  0.543143
3703.71  0.318855  0.482364
3714.48  0.334688  0.420732
3725.24  0.35216  0.358128
3736.01  0.371508  0.294408
3746.78  0.393018  0.229405
3757.54  0.417033  0.16291
3768.31  0.443969  0.094673
3779.08  0.474333  0.024383
3789.84  0.508748  -0.0483471
3800.61  0.547982  -0.124005
3811.38  0.592991  -0.20321
3822.14  0.644966  -0.286764
3832.91  0.705387  -0.375707
3843.68  0.776083  -0.471412
3854.44  0.859267  -0.575699
3865.21  0.957482  -0.69099
3875.98  1.07332  -0.820489
3886.74  1.20859  -0.968316
3897.51  1.36236  -1.1394
3908.28  1.52713  -1.33866
3919.04  1.68376  -1.56876
3929.81  1.80007  -1.82607
3940.58  1.84302  -2.09761
3951.34  1.80198  -2.36395
3962.11  1.69728  -2.60823
3972.88  1.56232  -2.82258
3983.64  1.42362  -3.00727
3994.41  1.29527  3.11662
4005.18  1.18236  2.97762
4015.94  1.0853  2.85437
4026.71  1.00259  2.74325
4037.48  0.932236  2.64147
4048.24  0.872274  2.54695
4059.01  0.820984  2.45812
4069.78  0.776932  2.37378
4080.54  0.738944  2.29302
4091.31  0.706069  2.21512
4102.08  0.677536  2.13953
4112.84  0.652718  2.06581
4123.61  0.631109  1.99358
4134.38  0.612292  1.92255
4145.14  0.595927  1.85248
4155.91  0.581734  1.78316
4166.67  0.56948  1.7144
4177.44  0.558975  1.64605
4188.21  0.55006  1.57796
4198.97  0.542602  1.51001
4209.74  0.536494  1.44209
4220.51  0.531647  1.37407
4231.27  0.527986  1.30586
4242.04  0.525453  1.23734
4252.81  0.524002  1.16842
4263.57  0.523597  1.09899
4274.34  0.524209  1.02893
4285.11  0.525822  0.958146
4295.87  0.528421  0.88651
4306.64  0.532  0.813896
4317.41  0.536558  0.740172
4328.17  0.542096  0.665191
4338.94  0.548615  0.588796
4349.71  0.556117  0.510818
4360.47  0.564601  0.431071
4371.24  0.574059  0.349356
4382.01  0.584471  0.265456
4392.77  0.595803  0.179142
4403.54  0.607996  0.090169
4414.31  0.620959  -0.0017178
4425.07  0.634562  -0.0967765
4435.84  0.648619  -0.19526
4446.61  0.662882  -0.297404
4457.37  0.677026  -0.403406
4468.14  0.690641  -0.513403
4478.91  0.703236  -0.627445
4489.67  0.714244  -0.745461
4500.44  0.72305  -0.867231
4511.21  0.729032  -0.99236
4521.97  0.731624  -1.12027
4532.74  0.730377  -1.25021
4543.51  0.725029  -1.38129
4554.27  0.715547  -1.51252
4565.04  0.702139  -1.64292
4575.81  0.68523  -1.77155
4586.57  0.665406  -1.8976
4597.34  0.643344  -2.02042
4608.11  0.619742  -2.13955
4618.87  0.595253  -2.2547
4629.64  0.570452  -2.36574
4640.41  0.54581  -2.47268
4651.17  0.521695  -2.57562
4661.94  0.498374  -2.67474
4672.71  0.476029  -2.77025
4683.47  0.454774  -2.8624
4694.24  0.434667  -2.95144
4705  0.415723  -3.03762
4715.77  0.397932  -3.12119
4726.54  0.38126  3.08083
4737.3  0.365662  3.00183
4748.07  0.351083  2.92482
4758.84  0.337465  2.84961
4769.6  0.324751  2.77604
4780.37  0.31288  2.70395
4791.14  0.301792  2.6332
4801.9  0.29143  2.56369
4812.67  0.281744  2.4953
4823.44  0.272685  2.42795
