num_points: 929
frequency_Hz  magnitude  phase_rad
0.1  6.17942e-05  1.28804
10.7666  0.0043376  1.50997
21.5332  0.00854615  1.51352
32.2998  0.0127463  1.50948
43.0664  0.016955  1.50296
53.833  0.0211825  1.49529
64.5996  0.025438  1.48701
75.3662  0.0297297  1.47839
86.1328  0.0340664  1.4696
96.8994  0.0384569  1.46071
107.666  0.0429104  1.45181
118.433  0.0474371  1.44292
129.199  0.0520475  1.43408
139.966  0.056753  1.42532
150.732  0.0615658  1.41663
161.499  0.066499  1.40804
172.266  0.0715667  1.39953
183.032  0.076784  1.39112
193.799  0.0821671  1.3828
204.565  0.0877335  1.37456
215.332  0.093502  1.3664
226.099  0.0994932  1.35831
236.865  0.105729  1.35028
247.632  0.112234  1.3423
258.398  0.119033  1.33436
269.165  0.126155  1.32644
279.932  0.133633  1.31855
290.698  0.141499  1.31066
301.465  0.149791  1.30277
312.231  0.158552  1.29485
322.998  0.167828  1.28691
333.765  0.17767  1.27892
344.531  0.188136  1.27088
355.298  0.19929  1.26276
366.064  0.211205  1.25455
376.831  0.223963  1.24625
387.598  0.237657  1.23782
398.364  0.252393  1.22925
409.131  0.268292  1.22052
419.897  0.285493  1.2116
430.664  0.304158  1.20248
441.431  0.324471  1.19312
452.197  0.346653  1.18349
462.964  0.370958  1.17356
473.73  0.397689  1.16326
484.497  0.427207  1.15256
495.264  0.459943  1.1414
506.03  0.496421  1.12969
516.797  0.537277  1.11735
527.563  0.583297  1.10427
538.33  0.635462  1.09031
549.097  0.695005  1.0753
559.863  0.763505  1.05902
570.63  0.843008  1.04118
581.396  0.936215  1.02141
592.163  1.04676  0.999186
602.93  1.17962  0.973819
613.696  1.3418  0.944304
624.463  1.54345  0.90918
635.229  1.79964  0.866225
645.996  2.13356  0.811923
656.763  2.58183  0.740428
667.529  3.20311  0.64151
678.296  4.08593  0.496473
689.063  5.31832  0.271656
699.829  6.73696  -0.0786087
710.596  7.39684  -0.54297
721.362  6.65635  -0.973608
732.129  5.4618  -1.27031
742.896  4.47815  -1.459
753.662  3.76763  -1.58335
764.429  3.25784  -1.67038
775.195  2.8839  -1.73481
785.962  2.60246  -1.78482
796.729  2.38571  -1.82518
807.495  2.21565  -1.85881
818.262  2.08029  -1.88759
829.028  1.97147  -1.91278
839.795  1.88345  -1.93526
850.562  1.81212  -1.95565
861.328  1.75452  -1.97442
872.095  1.70842  -1.9919
882.861  1.67219  -2.00838
893.628  1.6446  -2.02405
904.395  1.62473  -2.0391
915.161  1.61193  -2.05367
925.928  1.60574  -2.06788
936.694  1.60587  -2.08183
947.461  1.61216  -2.09563
958.228  1.62463  -2.10936
968.994  1.64341  -2.12312
979.761  1.66876  -2.13699
990.527  1.70113  -2.15107
1001.29  1.7411  -2.16545
1012.06  1.78949  -2.18026
1022.83  1.84737  -2.19562
1033.59  1.91609  -2.21168
1044.36  1.99747  -2.22865
1055.13  2.09384  -2.24675
1065.89  2.20828  -2.2663
1076.66  2.3449  -2.28769
1087.43  2.50929  -2.31146
1098.19  2.70914  -2.33835
1108.96  2.95537  -2.36942
1119.73  3.26385  -2.40624
1130.49  3.65833  -2.4512
1141.26  4.17545  -2.50814
1152.03  4.87328  -2.58354
1162.79  5.84397  -2.68896
1173.56  7.21991  -2.84599
1184.33  9.08627  -3.09371
1195.09  10.9425  2.80312
1205.86  11.0603  2.31638
1216.63  9.1895  1.90173
1227.39  7.14303  1.63007
1238.16  5.61857  1.45913
1248.93  4.55057  1.34597
1259.69  3.78945  1.26616
1270.46  3.22919  1.20665
1281.23  2.80348  1.16022
1291.99  2.47093  1.12263
1302.76  2.20498  1.09127
1313.53  1.98804  1.06444
1324.29  1.80811  1.04103
1335.06  1.65673  1.02023
1345.83  1.52781  1.00148
1356.59  1.41685  0.984372
1367.36  1.32046  0.968594
1378.13  1.23605  0.953909
1388.89  1.16159  0.940133
1399.66  1.09551  0.927121
1410.42  1.03651  0.914757
1421.19  0.983568  0.902947
1431.96  0.935848  0.891615
1442.72  0.892652  0.880698
1453.49  0.853403  0.870142
1464.26  0.817619  0.859904
1475.02  0.784889  0.849946
1485.79  0.754869  0.840237
1496.56  0.727261  0.830749
1507.32  0.70181  0.821458
1518.09  0.678296  0.812344
1528.86  0.656528  0.803389
1539.62  0.636339  0.794578
1550.39  0.617583  0.785896
1561.16  0.600131  0.777332
1571.92  0.58387  0.768875
1582.69  0.5687  0.760515
1593.46  0.55453  0.752243
1604.22  0.541282  0.744052
1614.99  0.528884  0.735935
1625.76  0.517273  0.727885
1636.52  0.506392  0.719897
1647.29  0.496188  0.711965
1658.06  0.486616  0.704085
1668.82  0.477633  0.696252
1679.59  0.469201  0.688462
1690.36  0.461287  0.680712
1701.12  0.453857  0.672998
1711.89  0.446885  0.665317
1722.66  0.440343  0.657666
1733.42  0.434208  0.650042
1744.19  0.428459  0.642443
1754.96  0.423076  0.634866
1765.72  0.418039  0.62731
1776.49  0.413334  0.619771
1787.26  0.408945  0.612248
1798.02  0.404858  0.604739
1808.79  0.40106  0.597242
1819.56  0.39754  0.589756
1830.32  0.394287  0.582278
1841.09  0.391292  0.574808
1851.86  0.388546  0.567343
1862.62  0.386041  0.559882
1873.39  0.383769  0.552424
1884.16  0.381725  0.544968
1894.92  0.379902  0.537511
1905.69  0.378296  0.530053
1916.46  0.376901  0.522592
1927.22  0.375713  0.515127
1937.99  0.37473  0.507657
1948.75  0.373948  0.50018
1959.52  0.373364  0.492696
1970.29  0.372978  0.485202
1981.05  0.372786  0.477698
1991.82  0.372788  0.470183
2002.59  0.372983  0.462654
2013.35  0.373372  0.455112
2024.12  0.373954  0.447554
2034.89  0.374731  0.439978
2045.65  0.375703  0.432385
2056.42  0.376872  0.424772
2067.19  0.378241  0.417138
2077.95  0.379811  0.409481
2088.72  0.381585  0.4018
2099.49  0.383569  0.394094
2110.25  0.385764  0.38636
2121.02  0.388177  0.378597
2131.79  0.390812  0.370803
2142.55  0.393675  0.362976
2153.32  0.396772  0.355115
2164.09  0.400111  0.347217
2174.85  0.403699  0.33928
2185.62  0.407544  0.331302
2196.39  0.411656  0.32328
2207.15  0.416046  0.315212
2217.92  0.420723  0.307096
2228.69  0.425701  0.298927
2239.45  0.430992  0.290704
2250.22  0.43661  0.282423
2260.99  0.442571  0.274081
2271.75  0.448892  0.265673
2282.52  0.455591  0.257196
2293.29  0.462688  0.248646
2304.05  0.470205  0.240018
2314.82  0.478165  0.231306
2325.59  0.486594  0.222507
2336.35  0.495522  0.213613
2347.12  0.504977  0.204619
2357.89  0.514995  0.195518
2368.65  0.525612  0.186302
2379.42  0.536869  0.176963
2390.19  0.54881  0.167492
2400.95  0.561485  0.15788
2411.72  0.574949  0.148115
2422.49  0.589261  0.138187
2433.25  0.604488  0.128081
2444.02  0.620703  0.117783
2454.79  0.63799  0.107278
2465.55  0.656441  0.0965463
2476.32  0.676158  0.0855691
2487.08  0.697256  0.0743235
2497.85  0.719867  0.062784
2508.62  0.744137  0.050922
2519.38  0.770233  0.038705
2530.15  0.798344  0.0260959
2540.92  0.828687  0.0130524
2551.68  0.861511  -0.000474115
2562.45  0.8971  -0.0145398
2573.22  0.935785  -0.0292099
2583.98  0.977951  -0.0445602
2594.75  1.02405  -0.0606801
2605.52  1.0746  -0.0776746
2616.28  1.13023  -0.0956689
2627.05  1.19168  -0.114813
2637.82  1.25983  -0.135287
2648.58  1.33574  -0.15731
2659.35  1.4207  -0.181152
2670.12  1.51628  -0.207146
2680.88  1.62439  -0.235708
2691.65  1.74739  -0.267365
2702.42  1.8882  -0.302788
2713.18  2.05042  -0.342843
2723.95  2.23849  -0.388659
2734.72  2.45779  -0.441721
2745.48  2.71459  -0.503992
2756.25  3.0157  -0.578062
2767.02  3.36708  -0.667304
2777.78  3.77049  -0.775922
2788.55  4.21645  -0.908651
2799.32  4.6724  -1.06957
2810.08  5.07117  -1.25943
2820.85  5.31862  -1.47187
2831.62  5.34042  -1.69213
2842.38  5.13833  -1.90185
2853.15  4.78707  -2.08742
2863.92  4.37707  -2.24383
2874.68  3.97179  -2.37257
2885.45  3.60226  -2.47797
2896.22  3.27825  -2.56472
2906.98  2.999  -2.6369
2917.75  2.75972  -2.69777
2928.52  2.5546  -2.74979
2939.28  2.37818  -2.79485
2950.05  2.22569  -2.83437
2960.82  2.09317  -2.86944
2971.58  1.97736  -2.90087
2982.35  1.87562  -2.92933
2993.12  1.78578  -2.95532
3003.88  1.70608  -2.97923
3014.65  1.63507  -3.0014
3025.42  1.57157  -3.02208
3036.18  1.51458  -3.04148
3046.95  1.46329  -3.05979
3057.71  1.41699  -3.07714
3068.48  1.37512  -3.09366
3079.25  1.33717  -3.10945
3090.01  1.30272  -3.1246
3100.78  1.27142  -3.13918
3111.55  1.24295  3.12993
3122.31  1.21705  3.11629
3133.08  1.19349  3.10306
3143.85  1.17206  3.09019
3154.61  1.15259  3.07764
3165.38  1.13493  3.06538
3176.15  1.11893  3.05338
3186.91  1.10449  3.04161
3197.68  1.09151  3.03006
3208.45  1.07987  3.0187
3219.21  1.06952  3.00751
3229.98  1.06038  2.99648
3240.75  1.05238  2.9856
3251.51  1.04547  2.97484
3262.28  1.03961  2.96421
3273.05  1.03474  2.95367
3283.81  1.03085  2.94324
3294.58  1.02789  2.93289
3305.35  1.02584  2.92262
3316.11  1.02468  2.91242
3326.88  1.0244  2.90228
3337.65  1.02497  2.89219
3348.41  1.02639  2.88215
3359.18  1.02865  2.87215
3369.95  1.03174  2.86219
3380.71  1.03568  2.85226
3391.48  1.04046  2.84236
3402.25  1.04609  2.83247
3413.01  1.05258  2.8226
3423.78  1.05994  2.81273
3434.55  1.06818  2.80287
3445.31  1.07733  2.79301
3456.08  1.08741  2.78315
3466.85  1.09845  2.77328
3477.61  1.11047  2.76339
3488.38  1.12352  2.75348
3499.15  1.13762  2.74356
3509.91  1.15282  2.7336
3520.68  1.16917  2.72362
3531.45  1.18673  2.71359
3542.21  1.20554  2.70353
3552.98  1.22568  2.69342
3563.75  1.24721  2.68326
3574.51  1.27022  2.67304
3585.28  1.29479  2.66276
3596.04  1.32101  2.65241
3606.81  1.349  2.64198
3617.58  1.37886  2.63148
3628.34  1.41073  2.62089
3639.11  1.44475  2.6102
3649.88  1.48108  2.59941
3660.64  1.51988  2.58851
3671.41  1.56136  2.57748
3682.18  1.60573  2.56633
3692.94  1.65323  2.55503
3703.71  1.70413  2.54358
3714.48  1.75874  2.53196
3725.24  1.81739  2.52015
3736.01  1.88046  2.50815
3746.78  1.9484  2.49594
3757.54  2.02169  2.48348
3768.31  2.1009  2.47077
3779.08  2.18667  2.45777
3789.84  2.27973  2.44445
3800.61  2.38094  2.43079
3811.38  2.49129  2.41674
3822.14  2.61192  2.40226
3832.91  2.74418  2.3873
3843.68  2.88967  2.3718
3854.44  3.05026  2.35568
3865.21  3.22822  2.33886
3875.98  3.42625  2.32124
3886.74  3.64764  2.30271
3897.51  3.89644  2.28309
3908.28  4.17764  2.26222
3919.04  4.49748  2.23986
3929.81  4.86386  2.21572
3940.58  5.28689  2.18941
3951.34  5.77972  2.16044
3962.11  6.3597  2.12815
3972.88  7.05004  2.09164
3983.64  7.88237  2.04967
3994.41  8.90043  2.00045
4005.18  10.1654  1.9414
4015.94  11.7632  1.86859
4026.71  13.8114  1.77601
4037.48  16.4551  1.65431
4048.24  19.8103  1.48935
4059.01  23.7311  1.26295
4069.78  27.2741  0.963878
4080.54  28.6022  0.61619
4091.31  26.9344  0.285105
4102.08  23.6932  0.0199888
4112.84  20.4101  -0.175889
4123.61  17.6614  -0.319643
4134.38  15.4891  -0.427979
4145.14  13.7895  -0.512612
4155.91  12.4506  -0.581136
4166.67  11.383  -0.638448
4177.44  10.5209  -0.687772
4188.21  9.81666  -0.731287
4198.97  9.23569  -0.770512
4209.74  8.75264  -0.806535
4220.51  8.3487  -0.840159
4231.27  8.00968  -0.871991
4242.04  7.72479  -0.902503
4252.81  7.48569  -0.932075
4263.57  7.28588  -0.961017
4274.34  7.12029  -0.989592
4285.11  6.9849  -1.01803
4295.87  6.87652  -1.04653
4306.64  6.79264  -1.07529
4317.41  6.73128  -1.10449
4328.17  6.69088  -1.1343
4338.94  6.67022  -1.16491
4349.71  6.66839  -1.19649
4360.47  6.68469  -1.22925
4371.24  6.7186  -1.26338
4382.01  6.76976  -1.2991
4392.77  6.83786  -1.33665
4403.54  6.92265  -1.3763
4414.31  7.0238  -1.41832
4425.07  7.14087  -1.46304
4435.84  7.27317  -1.51078
4446.61  7.41961  -1.56191
4457.37  7.5785  -1.61681
4468.14  7.74738  -1.67588
4478.91  7.92268  -1.7395
4489.67  8.0995  -1.808
4500.44  8.27136  -1.88168
4511.21  8.43008  -1.96067
4521.97  8.56591  -2.04494
4532.74  8.66799  -2.13422
4543.51  8.7253  -2.22793
4554.27  8.72803  -2.32518
4565.04  8.66914  -2.42478
4575.81  8.54578  -2.52533
4586.57  8.36  -2.62532
4597.34  8.11854  -2.72331
4608.11  7.83173  -2.81801
4618.87  7.51187  -2.90845
4629.64  7.17146  -2.99393
4640.41  6.82193  -3.0741
4651.17  6.4728  3.13436
4661.94  6.13135  3.06497
4672.71  5.80278  3.00068
4683.47  5.49043  2.94118
4694.24  5.19617  2.88609
4705  4.92078  2.83505
4715.77  4.66429  2.78766
4726.54  4.42616  2.74358
4737.3  4.20556  2.70248
4748.07  4.00147  2.66404
4758.84  3.81277  2.628
4769.6  3.63833  2.59412
4780.37  3.47707  2.56216
4791.14  3.32792  2.53192
4801.9  3.18979  2.50321
4812.67  3.06168  2.47591
4823.44  2.94284  2.4499
