num_points: 4096
frequency_Hz  magnitude  phase_rad
0.1  4.27052e-05  1.44213
10.7666  0.00419248  1.57497
21.5332  0.00850485  1.55846
32.2998  0.0128923  1.54095
43.0664  0.0173677  1.52342
53.833  0.0219521  1.50594
64.5996  0.0266713  1.48851
75.3662  0.031555  1.4711
86.1328  0.0366376  1.45369
96.8994  0.0419592  1.43625
107.666  0.0475662  1.41872
118.433  0.0535136  1.40104
129.199  0.0598666  1.38316
139.966  0.066703  1.36496
150.732  0.0741174  1.34634
161.499  0.0822253  1.32715
172.266  0.0911695  1.30721
183.032  0.101129  1.2863
193.799  0.112331  1.26411
204.565  0.125068  1.24028
215.332  0.139725  1.21432
226.099  0.156813  1.18555
236.865  0.17703  1.15308
247.632  0.201344  1.11563
258.398  0.231129  1.07134
269.165  0.268378  1.01742
279.932  0.316024  0.949543
290.698  0.378355  0.860719
301.465  0.461248  0.739372
312.231  0.570532  0.566558
322.998  0.702119  0.31553
333.765  0.814464  -0.0302236
344.531  0.828899  -0.425426
355.298  0.740109  -0.771091
366.064  0.622951  -1.02184
376.831  0.521798  -1.19413
387.598  0.443641  -1.31472
398.364  0.384279  -1.40256
409.131  0.338656  -1.46922
419.897  0.302903  -1.52169
430.664  0.274314  -1.56428
441.431  0.251025  -1.59979
452.197  0.231738  -1.63005
462.964  0.215533  -1.65633
473.73  0.201745  -1.67953
484.497  0.189885  -1.70029
495.264  0.179583  -1.71909
506.03  0.17056  -1.7363
516.797  0.162597  -1.75219
527.563  0.155523  -1.76699
538.33  0.149203  -1.78087
549.097  0.143525  -1.79396
559.863  0.1384  -1.80639
570.63  0.133756  -1.81823
581.396  0.129531  -1.82958
592.163  0.125673  -1.84049
602.93  0.122141  -1.85101
613.696  0.118898  -1.8612
624.463  0.115913  -1.87108
635.229  0.113159  -1.88071
645.996  0.110613  -1.89009
656.763  0.108255  -1.89927
667.529  0.106068  -1.90825
678.296  0.104036  -1.91706
689.063  0.102147  -1.92572
699.829  0.100388  -1.93424
710.596  0.0987497  -1.94263
721.362  0.0972218  -1.9509
732.129  0.0957963  -1.95908
742.896  0.094466  -1.96715
753.662  0.0932241  -1.97514
764.429  0.0920649  -1.98305
775.195  0.0909828  -1.99089
785.962  0.0899732  -1.99866
796.729  0.0890316  -2.00637
807.495  0.088154  -2.01402
818.262  0.087337  -2.02162
829.028  0.0865773  -2.02917
839.795  0.0858718  -2.03668
850.562  0.085218  -2.04415
861.328  0.0846133  -2.05158
872.095  0.0840556  -2.05898
882.861  0.0835427  -2.06635
893.628  0.0830728  -2.07369
904.395  0.0826442  -2.081
915.161  0.0822554  -2.08829
925.928  0.0819049  -2.09556
936.694  0.0815914  -2.1028
947.461  0.0813138  -2.11003
958.228  0.081071  -2.11724
968.994  0.0808619  -2.12444
979.761  0.0806858  -2.13162
990.527  0.0805418  -2.13879
1001.29  0.0804291  -2.14595
1012.06  0.0803472  -2.15309
1022.83  0.0802954  -2.16023
1033.59  0.0802733  -2.16736
1044.36  0.0802803  -2.17449
1055.13  0.0803162  -2.1816
1065.89  0.0803805  -2.18871
1076.66  0.0804729  -2.19582
1087.43  0.0805933  -2.20293
1098.19  0.0807414  -2.21003
1108.96  0.0809172  -2.21713
1119.73  0.0811204  -2.22422
1130.49  0.0813511  -2.23132
1141.26  0.0816093  -2.23842
1152.03  0.081895  -2.24551
1162.79  0.0822082  -2.25261
1173.56  0.0825492  -2.25971
1184.33  0.082918  -2.26682
1195.09  0.0833148  -2.27392
1205.86  0.08374  -2.28103
1216.63  0.0841937  -2.28814
1227.39  0.0846763  -2.29526
1238.16  0.0851882  -2.30238
1248.93  0.0857297  -2.30951
1259.69  0.0863014  -2.31664
1270.46  0.0869036  -2.32379
1281.23  0.087537  -2.33093
1291.99  0.0882021  -2.33809
1302.76  0.0888995  -2.34525
1313.53  0.0896298  -2.35242
1324.29  0.0903939  -2.3596
1335.06  0.0911924  -2.36679
1345.83  0.0920262  -2.37399
1356.59  0.0928961  -2.3812
1367.36  0.093803  -2.38841
1378.13  0.094748  -2.39565
1388.89  0.095732  -2.40289
1399.66  0.0967562  -2.41014
1410.42  0.0978217  -2.41741
1421.19  0.0989298  -2.42469
1431.96  0.100082  -2.43198
1442.72  0.101279  -2.43929
1453.49  0.102522  -2.44661
1464.26  0.103814  -2.45394
1475.02  0.105156  -2.4613
1485.79  0.106549  -2.46866
1496.56  0.107996  -2.47605
1507.32  0.109498  -2.48345
1518.09  0.111057  -2.49087
1528.86  0.112675  -2.49831
1539.62  0.114355  -2.50577
1550.39  0.116099  -2.51325
1561.16  0.117909  -2.52074
1571.92  0.119789  -2.52826
1582.69  0.12174  -2.5358
1593.46  0.123766  -2.54336
1604.22  0.12587  -2.55095
1614.99  0.128055  -2.55856
1625.76  0.130326  -2.5662
1636.52  0.132684  -2.57386
1647.29  0.135135  -2.58155
1658.06  0.137683  -2.58926
1668.82  0.140332  -2.59701
1679.59  0.143086  -2.60478
1690.36  0.145951  -2.61258
1701.12  0.148932  -2.62042
1711.89  0.152035  -2.62829
1722.66  0.155266  -2.63619
1733.42  0.15863  -2.64413
1744.19  0.162135  -2.65211
1754.96  0.165789  -2.66012
1765.72  0.169598  -2.66818
1776.49  0.173572  -2.67627
1787.26  0.177719  -2.68441
1798.02  0.182048  -2.6926
1808.79  0.18657  -2.70083
