num_points: 929
frequency_Hz  magnitude  phase_rad
0.1  3.86401e-05  1.49922
10.7666  0.00426135  1.57207
21.5332  0.00860839  1.55252
32.2998  0.0130143  1.53427
43.0664  0.0174968  1.51658
53.833  0.0220785  1.49918
64.5996  0.0267855  1.48197
75.3662  0.0316474  1.46488
86.1328  0.0366982  1.44787
96.8994  0.041977  1.4309
107.666  0.0475291  1.41391
118.433  0.0534078  1.39684
129.199  0.0596761  1.37964
139.966  0.0664091  1.36221
150.732  0.0736975  1.34444
161.499  0.0816518  1.3262
172.266  0.0904086  1.30733
183.032  0.100138  1.28762
193.799  0.111056  1.26681
204.565  0.123439  1.24457
215.332  0.137649  1.22046
226.099  0.154169  1.1939
236.865  0.173652  1.1641
247.632  0.197005  1.12995
258.398  0.225517  1.08985
269.165  0.261063  1.04141
279.932  0.306428  0.980928
290.698  0.365806  0.902401
301.465  0.445361  0.795783
312.231  0.55292  0.643915
322.998  0.691908  0.419326
333.765  0.835199  0.0924787
344.531  0.893787  -0.317474
355.298  0.817339  -0.704379
366.064  0.685512  -0.989967
376.831  0.567162  -1.18259
387.598  0.476363  -1.31395
398.364  0.408484  -1.40746
409.131  0.357116  -1.47712
419.897  0.317385  -1.53115
430.664  0.285957  -1.57452
441.431  0.260582  -1.61034
452.197  0.23972  -1.64064
462.964  0.222298  -1.6668
473.73  0.20755  -1.68977
484.497  0.194918  -1.71025
495.264  0.183987  -1.72873
506.03  0.174442  -1.74559
516.797  0.166043  -1.76113
527.563  0.158598  -1.77557
538.33  0.15196  -1.78909
549.097  0.146007  -1.80182
559.863  0.140643  -1.81389
570.63  0.135788  -1.82538
581.396  0.131376  -1.83638
592.163  0.127353  -1.84694
602.93  0.123672  -1.85713
613.696  0.120294  -1.86698
624.463  0.117186  -1.87654
635.229  0.114321  -1.88584
645.996  0.111672  -1.89491
656.763  0.109221  -1.90376
667.529  0.106947  -1.91243
678.296  0.104834  -1.92094
689.063  0.10287  -1.92929
699.829  0.10104  -1.9375
710.596  0.0993353  -1.94559
721.362  0.0977448  -1.95357
732.129  0.09626  -1.96145
742.896  0.0948734  -1.96923
753.662  0.0935778  -1.97692
764.429  0.0923672  -1.98454
775.195  0.0912358  -1.99209
785.962  0.0901788  -1.99957
796.729  0.0891914  -2.00699
807.495  0.0882695  -2.01436
818.262  0.0874095  -2.02167
829.028  0.0866079  -2.02894
839.795  0.0858616  -2.03616
850.562  0.0851679  -2.04335
861.328  0.084524  -2.0505
872.095  0.0839277  -2.05761
882.861  0.0833769  -2.06469
893.628  0.0828696  -2.07175
904.395  0.0824039  -2.07877
915.161  0.0819784  -2.08578
925.928  0.0815914  -2.09276
936.694  0.0812416  -2.09971
947.461  0.0809277  -2.10665
958.228  0.0806486  -2.11357
968.994  0.0804034  -2.12048
979.761  0.0801909  -2.12737
990.527  0.0800104  -2.13424
1001.29  0.0798611  -2.14111
1012.06  0.0797422  -2.14796
1022.83  0.0796532  -2.1548
1033.59  0.0795935  -2.16163
1044.36  0.0795626  -2.16845
1055.13  0.07956  -2.17527
1065.89  0.0795853  -2.18207
1076.66  0.0796382  -2.18887
1087.43  0.0797184  -2.19567
1098.19  0.0798257  -2.20246
