num_points: 4096
frequency_Hz  magnitude  phase_rad
0.1  4.10592e-06  1.54315
10.7666  0.00048412  1.53929
21.5332  0.000984234  1.47147
32.2998  0.00149498  1.40591
43.0664  0.00201924  1.34111
53.833  0.00256088  1.2766
64.5996  0.00312452  1.21214
75.3662  0.0037156  1.1476
86.1328  0.00434053  1.08284
96.8994  0.00500702  1.01774
107.666  0.00572442  0.952155
118.433  0.00650419  0.88589
129.199  0.00736064  0.818713
139.966  0.00831181  0.750324
150.732  0.00938083  0.680332
161.499  0.0105978  0.608219
172.266  0.0120027  0.533294
183.032  0.0136492  0.454607
193.799  0.0156115  0.37083
204.565  0.0179933  0.280046
215.332  0.0209421  0.179416
226.099  0.0246691  0.064589
236.865  0.0294709  -0.071284
247.632  0.0357229  -0.239155
258.398  0.0437192  -0.455982
269.165  0.0529692  -0.743576
279.932  0.0606225  -1.11193
290.698  0.0619072  -1.52136
301.465  0.0563413  -1.89169
312.231  0.0483536  -2.18118
322.998  0.0410589  -2.3988
333.765  0.0352144  -2.56639
344.531  0.0306719  -2.7011
355.298  0.0271275  -2.81405
366.064  0.0243209  -2.91218
376.831  0.02206  -2.99991
387.598  0.0202079  -3.08009
398.364  0.0186674  3.12853
409.131  0.0173685  3.05824
419.897  0.0162602  2.99129
430.664  0.0153044  2.92698
441.431  0.0144725  2.8648
452.197  0.0137424  2.80436
462.964  0.013097  2.74535
473.73  0.0125228  2.68755
484.497  0.0120089  2.63075
495.264  0.0115467  2.57482
506.03  0.011129  2.51962
516.797  0.01075  2.46507
527.563  0.0104047  2.41106
538.33  0.0100892  2.35754
549.097  0.00979989  2.30444
559.863  0.00953396  2.25172
570.63  0.0092889  2.19933
581.396  0.00906254  2.14723
592.163  0.00885305  2.0954
602.93  0.00865881  2.0438
613.696  0.00847842  1.99241
624.463  0.00831066  1.94122
635.229  0.00815444  1.89019
645.996  0.0080088  1.83932
656.763  0.00787291  1.78859
667.529  0.00774601  1.73799
678.296  0.00762743  1.6875
689.063  0.00751657  1.63712
699.829  0.00741289  1.58683
710.596  0.00731592  1.53664
721.362  0.00722521  1.48652
732.129  0.00714037  1.43648
742.896  0.00706105  1.38651
753.662  0.00698693  1.33659
764.429  0.00691771  1.28674
775.195  0.00685312  1.23694
785.962  0.00679293  1.18718
796.729  0.00673692  1.13747
807.495  0.00668487  1.0878
818.262  0.00663661  1.03817
829.028  0.00659198  0.988574
839.795  0.0065508  0.939008
850.562  0.00651296  0.889471
861.328  0.00647831  0.839961
872.095  0.00644673  0.790475
882.861  0.00641813  0.741011
893.628  0.00639241  0.691568
904.395  0.00636946  0.642144
915.161  0.00634921  0.592737
925.928  0.00633159  0.543345
936.694  0.00631653  0.493968
947.461  0.00630397  0.444603
958.228  0.00629385  0.395249
968.994  0.00628612  0.345906
979.761  0.00628073  0.296572
990.527  0.00627765  0.247246
1001.29  0.00627685  0.197927
1012.06  0.00627828  0.148614
1022.83  0.00628194  0.0993066
1033.59  0.00628778  0.0500033
1044.36  0.0062958  0.00070367
1055.13  0.00630598  -0.0485932
1065.89  0.00631831  -0.0978881
1076.66  0.00633278  -0.147182
1087.43  0.00634939  -0.196474
1098.19  0.00636814  -0.245767
1108.96  0.00638902  -0.29506
1119.73  0.00641205  -0.344355
1130.49  0.00643724  -0.393651
1141.26  0.00646459  -0.44295
1152.03  0.00649413  -0.492252
1162.79  0.00652586  -0.541556
1173.56  0.00655982  -0.590865
1184.33  0.00659602  -0.640178
1195.09  0.0066345  -0.689496
1205.86  0.00667528  -0.73882
1216.63  0.0067184  -0.788149
1227.39  0.0067639  -0.837485
1238.16  0.00681181  -0.886827
1248.93  0.00686218  -0.936176
1259.69  0.00691507  -0.985534
1270.46  0.00697051  -1.0349
1281.23  0.00702857  -1.08427
1291.99  0.0070893  -1.13365
1302.76  0.00715276  -1.18305
1313.53  0.00721904  -1.23245
1324.29  0.00728818  -1.28186
1335.06  0.00736028  -1.33128
1345.83  0.0074354  -1.38072
1356.59  0.00751364  -1.43016
1367.36  0.00759509  -1.47962
1378.13  0.00767984  -1.52909
1388.89  0.00776798  -1.57857
1399.66  0.00785964  -1.62807
1410.42  0.00795492  -1.67758
1421.19  0.00805393  -1.7271
1431.96  0.00815682  -1.77664
1442.72  0.0082637  -1.8262
1453.49  0.00837472  -1.87577
1464.26  0.00849003  -1.92535
1475.02  0.00860978  -1.97496
1485.79  0.00873415  -2.02458
1496.56  0.00886329  -2.07421
1507.32  0.00899742  -2.12387
1518.09  0.0091367  -2.17355
1528.86  0.00928137  -2.22325
1539.62  0.00943162  -2.27296
1550.39  0.0095877  -2.3227
1561.16  0.00974986  -2.37246
1571.92  0.00991834  -2.42224
1582.69  0.0100934  -2.47205
1593.46  0.0102754  -2.52188
1604.22  0.0104646  -2.57173
1614.99  0.0106614  -2.62161
1625.76  0.010866  -2.67152
1636.52  0.0110789  -2.72146
1647.29  0.0113004  -2.77142
1658.06  0.0115311  -2.82141
1668.82  0.0117712  -2.87144
1679.59  0.0120214  -2.92149
1690.36  0.0122821  -2.97158
1701.12  0.0125538  -3.0217
1711.89  0.0128372  -3.07186
1722.66  0.0131328  -3.12206
1733.42  0.0134414  3.1109
1744.19  0.0137635  3.06062
1754.96  0.0141001  3.01031
1765.72  0.0144519  2.95995
1776.49  0.0148199  2.90954
1787.26  0.0152048  2.85909
1798.02  0.0156078  2.80859
1808.79  0.01603  2.75804
1819.56  0.0164725  2.70744
1830.32  0.0169367  2.65677
1841.09  0.0174239  2.60605
1851.86  0.0179356  2.55527
1862.62  0.0184735  2.50442
1873.39  0.0190392  2.4535
1884.16  0.0196349  2.40251
1894.92  0.0202625  2.35144
1905.69  0.0209243  2.30029
1916.46  0.0216229  2.24906
1927.22  0.022361  2.19774
1937.99  0.0231417  2.14631
1948.75  0.0239682  2.09479
1959.52  0.0248443  2.04316
1970.29  0.0257739  1.99141
1981.05  0.0267615  1.93954
1991.82  0.0278122  1.88753
2002.59  0.0289315  1.83538
2013.35  0.0301256  1.78307
2024.12  0.0314013  1.7306
2034.89  0.0327664  1.67795
2045.65  0.0342298  1.62511
2056.42  0.0358012  1.57205
2067.19  0.0374919  1.51876
2077.95  0.0393146  1.46521
2088.72  0.0412839  1.41139
2099.49  0.0434165  1.35726
2110.25  0.0457317  1.30279
2121.02  0.0482518  1.24794
2131.79  0.0510027  1.19267
2142.55  0.054015  1.13693
2153.32  0.0573246  1.08065
2164.09  0.0609738  1.02377
2174.85  0.0650136  0.966196
2185.62  0.0695049  0.907826
2196.39  0.0745221  0.848536
2207.15  0.0801556  0.788173
2217.92  0.0865178  0.726545
2228.69  0.0937486  0.663415
2239.45  0.102025  0.598479
2250.22  0.111573  0.531346
2260.99  0.122687  0.461506
2271.75  0.135751  0.388279
2282.52  0.151283  0.310739
2293.29  0.169979  0.227604
2304.05  0.192799  0.137052
2314.82  0.221072  0.0364326
2325.59  0.256636  -0.0782118
2336.35  0.301941  -0.212898
2347.12  0.35986  -0.376808
2357.89  0.432267  -0.58334
2368.65  0.514999  -0.848689
2379.42  0.587747  -1.18067
2390.19  0.614774  -1.55439
2400.95  0.582355  -1.91104
2411.72  0.517621  -2.20698
2422.49  0.450379  -2.43839
2433.25  0.392871  -2.62005
2444.02  0.346685  -2.76713
2454.79  0.310104  -2.89064
2465.55  0.281008  -2.99786
2476.32  0.257619  -3.09357
2487.08  0.238593  3.10226
2497.85  0.222937  3.02109
2508.62  0.209924  2.94462
2519.38  0.199012  2.87176
2530.15  0.189796  2.80175
2540.92  0.181971  2.73399
2551.68  0.175298  2.66804
2562.45  0.169595  2.60356
2573.22  0.164717  2.54027
2583.98  0.160548  2.47796
2594.75  0.156998  2.41646
2605.52  0.153992  2.35561
2616.28  0.151469  2.2953
2627.05  0.149381  2.23543
2637.82  0.147688  2.1759
2648.58  0.146357  2.11665
2659.35  0.145362  2.0576
2670.12  0.144682  1.9987
2680.88  0.1443  1.93989
2691.65  0.144203  1.88112
2702.42  0.144381  1.82234
2713.18  0.144827  1.76351
2723.95  0.145538  1.70459
2734.72  0.146512  1.64552
2745.48  0.14775  1.58627
2756.25  0.149255  1.5268
2767.02  0.151033  1.46705
2777.78  0.153092  1.40698
2788.55  0.155442  1.34655
2799.32  0.158095  1.28568
2810.08  0.161068  1.22434
2820.85  0.164378  1.16245
2831.62  0.168047  1.09995
2842.38  0.1721  1.03676
2853.15  0.176565  0.97279
2863.92  0.181474  0.90795
2874.68  0.186865  0.84213
2885.45  0.19278  0.775209
2896.22  0.199266  0.707048
2906.98  0.206376  0.63749
2917.75  0.214172  0.566351
2928.52  0.222718  0.493425
2939.28  0.232089  0.418469
2950.05  0.242366  0.341207
2960.82  0.253634  0.261316
2971.58  0.265981  0.178425
2982.35  0.279497  0.0921058
2993.12  0.294262  0.00186959
3003.88  0.310337  -0.0928394
3014.65  0.327748  -0.19264
3025.42  0.346459  -0.298207
3036.18  0.366336  -0.410239
3046.95  0.387104  -0.529418
3057.71  0.408289  -0.656326
3068.48  0.429177  -0.791322
3079.25  0.448787  -0.934391
3090.01  0.465914  -1.08497
3100.78  0.479259  -1.24183
3111.55  0.487657  -1.40301
3122.31  0.490339  -1.566
3133.08  0.487139  -1.72804
3143.85  0.478532  -1.8865
3154.61  0.465495  -2.03923
3165.38  0.449255  -2.18476
3176.15  0.431047  -2.32233
3186.91  0.411938  -2.45178
3197.68  0.392753  -2.57336
3208.45  0.37407  -2.6876
3219.21  0.356256  -2.79517
3229.98  0.339521  -2.89675
3240.75  0.323958  -2.99304
3251.51  0.309583  -3.08467
3262.28  0.296367  3.11096
3273.05  0.284253  3.02699
3283.81  0.273169  2.94614
3294.58  0.263038  2.86803
3305.35  0.253783  2.79233
3316.11  0.24533  2.71875
3326.88  0.237609  2.64703
3337.65  0.230558  2.57697
3348.41  0.224117  2.50837
3359.18  0.218235  2.44107
3369.95  0.212865  2.37494
3380.71  0.207963  2.30984
3391.48  0.203493  2.24567
3402.25  0.199422  2.18233
3413.01  0.195718  2.11974
3423.78  0.192357  2.05782
3434.55  0.189314  1.99652
3445.31  0.186569  1.93577
3456.08  0.184102  1.87551
3466.85  0.181899  1.8157
3477.61  0.179944  1.75631
3488.38  0.178226  1.69728
3499.15  0.176732  1.63859
3509.91  0.175454  1.5802
3520.68  0.174383  1.52208
3531.45  0.173513  1.46421
3542.21  0.172838  1.40657
3552.98  0.172352  1.34912
3563.75  0.172053  1.29186
3574.51  0.171937  1.23475
3585.28  0.172004  1.17779
3596.04  0.172251  1.12095
3606.81  0.172679  1.06421
3617.58  0.17329  1.00756
3628.34  0.174084  0.950992
3639.11  0.175065  0.89448
3649.88  0.176237  0.838013
3660.64  0.177605  0.781576
3671.41  0.179174  0.725155
3682.18  0.180951  0.668736
3692.94  0.182945  0.612304
3703.71  0.185165  0.555845
3714.48  0.187622  0.499342
3725.24  0.190328  0.44278
3736.01  0.193299  0.386144
3746.78  0.196551  0.329415
3757.54  0.200101  0.272575
3768.31  0.203971  0.215605
3779.08  0.208185  0.158483
3789.84  0.212769  0.101187
3800.61  0.217755  0.0436902
3811.38  0.223178  -0.0140341
3822.14  0.229077  -0.0720171
3832.91  0.235498  -0.130293
3843.68  0.242495  -0.188902
3854.44  0.250126  -0.247886
3865.21  0.258462  -0.307297
3875.98  0.267585  -0.367193
3886.74  0.277588  -0.427639
3897.51  0.288584  -0.488716
3908.28  0.300703  -0.550514
3919.04  0.3141  -0.613141
3929.81  0.32896  -0.676729
3940.58  0.345506  -0.741433
3951.34  0.364007  -0.807442
3962.11  0.384792  -0.874992
3972.88  0.408264  -0.94437
3983.64  0.434922  -1.01594
3994.41  0.465392  -1.09017
4005.18  0.500459  -1.16764
4015.94  0.541122  -1.24913
4026.71  0.58865  -1.33568
4037.48  0.644663  -1.42865
4048.24  0.711203  -1.52993
4059.01  0.790778  -1.64209
4069.78  0.886247  -1.7687
4080.54  1.00026  -1.91463
4091.31  1.13358  -2.08625
4102.08  1.28109  -2.29083
4112.84  1.42487  -2.53398
4123.61  1.52948  -2.81348
4134.38  1.55521  -3.11278
4145.14  1.49131  2.87878
4155.91  1.36713  2.6178
