num_points: 929
frequency_Hz  magnitude  phase_rad
0.1  3.69414e-05  1.5964
10.7666  0.00448471  1.57091
21.5332  0.00906801  1.54545
32.2998  0.0137317  1.52241
43.0664  0.0185056  1.50012
53.833  0.0234259  1.47812
64.5996  0.0285345  1.45618
75.3662  0.0338797  1.4342
86.1328  0.0395187  1.41206
96.8994  0.0455194  1.38963
107.666  0.051964  1.36678
118.433  0.058953  1.34333
129.199  0.0666109  1.31906
139.966  0.0750945  1.29369
150.732  0.0846039  1.26685
161.499  0.0953986  1.23806
172.266  0.107821  1.20668
183.032  0.122331  1.17185
193.799  0.139559  1.13234
204.565  0.160386  1.08642
215.332  0.186061  1.03154
226.099  0.21838  0.963808
236.865  0.2599  0.877121
247.632  0.314023  0.761698
258.398  0.384126  0.60205
269.165  0.468832  0.376461
279.932  0.54856  0.0679827
290.698  0.578689  -0.299222
301.465  0.538851  -0.646468
312.231  0.465432  -0.915607
322.998  0.394258  -1.10693
333.765  0.336434  -1.24246
344.531  0.291515  -1.3413
355.298  0.256636  -1.41608
366.064  0.229176  -1.47464
376.831  0.207174  -1.5219
387.598  0.18924  -1.56105
398.364  0.174386  -1.59422
409.131  0.161909  -1.62284
419.897  0.151297  -1.64795
430.664  0.14217  -1.67029
441.431  0.134246  -1.69041
452.197  0.127306  -1.70871
462.964  0.121183  -1.72553
473.73  0.115744  -1.74111
484.497  0.110883  -1.75564
495.264  0.106516  -1.76929
506.03  0.102574  -1.78218
516.797  0.0989994  -1.79442
527.563  0.0957464  -1.80609
538.33  0.0927752  -1.81727
549.097  0.0900529  -1.82801
559.863  0.0875514  -1.83837
570.63  0.0852469  -1.8484
581.396  0.0831189  -1.85812
592.163  0.0811497  -1.86758
602.93  0.0793239  -1.8768
613.696  0.0776283  -1.88581
624.463  0.0760511  -1.89462
635.229  0.0745821  -1.90326
645.996  0.0732123  -1.91174
656.763  0.0719335  -1.92008
667.529  0.0707387  -1.92829
678.296  0.0696216  -1.93639
689.063  0.0685764  -1.94437
699.829  0.0675981  -1.95226
710.596  0.0666821  -1.96005
721.362  0.0658244  -1.96777
732.129  0.0650211  -1.97541
742.896  0.0642689  -1.98298
753.662  0.0635649  -1.99048
764.429  0.0629062  -1.99793
775.195  0.0622903  -2.00533
785.962  0.0617149  -2.01267
796.729  0.061178  -2.01997
807.495  0.0606776  -2.02723
818.262  0.0602121  -2.03445
829.028  0.0597797  -2.04163
839.795  0.0593791  -2.04878
850.562  0.0590089  -2.05589
861.328  0.0586679  -2.06298
872.095  0.058355  -2.07005
882.861  0.0580691  -2.07709
893.628  0.0578094  -2.08411
904.395  0.0575749  -2.0911
915.161  0.0573649  -2.09808
925.928  0.0571786  -2.10504
936.694  0.0570155  -2.11199
947.461  0.0568748  -2.11892
958.228  0.0567561  -2.12583
968.994  0.0566588  -2.13274
979.761  0.0565826  -2.13963
990.527  0.056527  -2.14651
1001.29  0.0564917  -2.15338
1012.06  0.0564764  -2.16025
1022.83  0.0564807  -2.16711
1033.59  0.0565045  -2.17396
1044.36  0.0565475  -2.1808
1055.13  0.0566097  -2.18764
1065.89  0.0566907  -2.19447
