num_points: 4096
frequency_Hz  magnitude  phase_rad
0.1  4.23968e-05  1.47863
10.7666  0.00415009  1.57334
21.5332  0.0084612  1.55097
32.2998  0.012872  1.52582
43.0664  0.0173903  1.50016
53.833  0.0220367  1.47439
64.5996  0.0268385  1.44863
75.3662  0.0318289  1.4229
86.1328  0.0370471  1.3972
96.8994  0.0425396  1.3715
107.666  0.0483618  1.34575
118.433  0.0545792  1.31986
129.199  0.0612705  1.29371
139.966  0.0685305  1.26716
150.732  0.0764745  1.24003
161.499  0.0852433  1.21206
172.266  0.0950112  1.18297
183.032  0.105996  1.15238
193.799  0.118472  1.11982
204.565  0.132788  1.08466
215.332  0.149398  1.04612
226.099  0.168889  1.00315
236.865  0.192031  0.954323
247.632  0.219842  0.897707
258.398  0.253643  0.830596
269.165  0.2951  0.749181
279.932  0.346109  0.648109
290.698  0.408227  0.5201
301.465  0.480909  0.356257
312.231  0.557692  0.148856
322.998  0.622001  -0.100942
333.765  0.651945  -0.373622
344.531  0.639122  -0.635412
355.298  0.596872  -0.859599
366.064  0.544592  -1.03879
376.831  0.494433  -1.17852
387.598  0.450995  -1.28777
398.364  0.414969  -1.37456
409.131  0.385621  -1.44494
419.897  0.3619  -1.50325
430.664  0.342825  -1.55257
441.431  0.32759  -1.59509
452.197  0.315567  -1.63241
462.964  0.306278  -1.6657
473.73  0.299374  -1.69587
484.497  0.294604  -1.72361
495.264  0.291803  -1.74946
506.03  0.290879  -1.77389
516.797  0.291804  -1.79728
527.563  0.29462  -1.82
538.33  0.299436  -1.84236
549.097  0.306444  -1.86471
559.863  0.315939  -1.88741
570.63  0.328348  -1.91086
581.396  0.344283  -1.93557
592.163  0.364623  -1.96219
602.93  0.390651  -1.99161
613.696  0.424282  -2.02512
624.463  0.468476  -2.06469
635.229  0.527996  -2.1135
645.996  0.610881  -2.17711
656.763  0.731403  -2.26592
667.529  0.915496  -2.40146
678.296  1.20362  -2.63172
689.063  1.57754  -3.05152
699.829  1.64267  2.61042
710.596  1.2491  2.10213
721.362  0.891373  1.81699
732.129  0.663644  1.65589
742.896  0.518137  1.55496
753.662  0.419944  1.48562
764.429  0.350137  1.43448
775.195  0.298351  1.39467
785.962  0.258604  1.36236
796.729  0.227252  1.33527
807.495  0.201963  1.31195
818.262  0.181185  1.29144
829.028  0.163849  1.27309
839.795  0.149192  1.25644
850.562  0.13666  1.24113
861.328  0.125841  1.22693
872.095  0.116418  1.21363
882.861  0.108151  1.20108
893.628  0.100849  1.18918
904.395  0.0943596  1.17781
915.161  0.0885618  1.16691
925.928  0.0833565  1.15642
936.694  0.0786622  1.14627
947.461  0.0744118  1.13644
958.228  0.070549  1.12688
968.994  0.0670265  1.11756
979.761  0.0638041  1.10845
990.527  0.0608479  1.09954
