num_points: 929
frequency_Hz  magnitude  phase_rad
0.1  3.9081e-05  1.50332
10.7666  0.00427901  1.57112
21.5332  0.00867769  1.54284
32.2998  0.0131484  1.51586
43.0664  0.017707  1.48956
53.833  0.0223773  1.46369
64.5996  0.0271877  1.43814
75.3662  0.0321717  1.41285
86.1328  0.0373684  1.38777
96.8994  0.0428236  1.36284
107.666  0.0485912  1.338
118.433  0.0547352  1.31317
129.199  0.0613318  1.28823
139.966  0.0684724  1.26304
150.732  0.0762679  1.23744
161.499  0.0848535  1.21119
172.266  0.0943962  1.18404
183.032  0.105104  1.15565
193.799  0.117238  1.12559
204.565  0.131134  1.09332
215.332  0.147222  1.05816
226.099  0.166068  1.01917
236.865  0.188417  0.975125
247.632  0.215264  0.924332
258.398  0.247938  0.864418
269.165  0.28819  0.792008
279.932  0.33822  0.702238
290.698  0.400416  0.588162
301.465  0.476165  0.44037
312.231  0.562407  0.248193
322.998  0.645271  0.00573141
333.765  0.698052  -0.275512
344.531  0.699659  -0.560664
355.298  0.657934  -0.811928
366.064  0.597935  -1.0131
376.831  0.538254  -1.16783
387.598  0.486381  -1.28655
398.364  0.443631  -1.3791
409.131  0.409096  -1.45287
419.897  0.381385  -1.51308
430.664  0.359211  -1.56333
441.431  0.341531  -1.60616
452.197  0.327545  -1.64336
462.964  0.31665  -1.67624
473.73  0.308406  -1.70576
484.497  0.302494  -1.73268
495.264  0.298697  -1.75757
506.03  0.296881  -1.78091
516.797  0.296988  -1.80307
527.563  0.299027  -1.82442
538.33  0.30308  -1.84526
549.097  0.309312  -1.8659
559.863  0.317984  -1.88666
570.63  0.329483  -1.90788
581.396  0.344368  -1.93
592.163  0.363446  -1.95353
602.93  0.387891  -1.97918
613.696  0.419455  -2.00798
624.463  0.460836  -2.04143
635.229  0.516371  -2.08195
645.996  0.593409  -2.13371
656.763  0.705218  -2.20445
667.529  0.877402  -2.3102
678.296  1.16045  -2.48839
689.063  1.61897  -2.83251
699.829  1.97024  2.81065
710.596  1.55351  2.16239
721.362  1.05597  1.81085
732.129  0.755632  1.63005
742.896  0.574893  1.52392
753.662  0.457943  1.45394
764.429  0.37718  1.40367
775.195  0.318497  1.36522
785.962  0.274146  1.33438
796.729  0.239572  1.30873
807.495  0.211943  1.28677
818.262  0.189414  1.26754
829.028  0.170733  1.25037
839.795  0.155021  1.2348
850.562  0.141646  1.22051
861.328  0.130142  1.20725
872.095  0.120158  1.19483
882.861  0.111422  1.18312
893.628  0.103726  1.17199
904.395  0.0969021  1.16137
915.161  0.0908179  1.15117
925.928  0.0853655  1.14135
936.694  0.0804568  1.13185
947.461  0.0760188  1.12263
958.228  0.0719911  1.11366
968.994  0.0683228  1.10492
979.761  0.0649711  1.09637
990.527  0.0618993  1.08799
1001.29  0.0590764  1.07978
1012.06  0.0564755  1.0717
1022.83  0.0540733  1.06376
1033.59  0.0518498  1.05594
1044.36  0.0497873  1.04822
1055.13  0.0478705  1.04059
1065.89  0.0460858  1.03306
1076.66  0.0444212  1.02561
1087.43  0.0428662  1.01824
1098.19  0.0414113  1.01093
1108.96  0.0400482  1.00369
1119.73  0.0387694  0.996507
1130.49  0.037568  0.98938
1141.26  0.0364382  0.982304
1152.03  0.0353744  0.975275
1162.79  0.0343717  0.968291
1173.56  0.0334257  0.961347
1184.33  0.0325324  0.954442
1195.09  0.031688  0.947573
1205.86  0.0308892  0.940736
1216.63  0.030133  0.933932
1227.39  0.0294166  0.927156
1238.16  0.0287375  0.920408
1248.93  0.0280933  0.913686
1259.69  0.0274818  0.906987
1270.46  0.0269011  0.900312
1281.23  0.0263494  0.893657
1291.99  0.025825  0.887023
1302.76  0.0253263  0.880407
1313.53  0.024852  0.873809
1324.29  0.0244006  0.867228
1335.06  0.023971  0.860662
1345.83  0.0235621  0.854111
1356.59  0.0231727  0.847573
1367.36  0.0228019  0.841049
1378.13  0.0224488  0.834537
1388.89  0.0221125  0.828036
1399.66  0.0217923  0.821545
1410.42  0.0214874  0.815065
1421.19  0.0211972  0.808594
1431.96  0.0209209  0.802132
1442.72  0.020658  0.795679
1453.49  0.020408  0.789233
1464.26  0.0201702  0.782794
1475.02  0.0199443  0.776362
1485.79  0.0197298  0.769936
1496.56  0.0195262  0.763516
1507.32  0.0193332  0.757102
1518.09  0.0191504  0.750692
1528.86  0.0189774  0.744287
1539.62  0.018814  0.737886
1550.39  0.0186597  0.731488
1561.16  0.0185144  0.725095
1571.92  0.0183778  0.718704
1582.69  0.0182496  0.712316
1593.46  0.0181296  0.70593
1604.22  0.0180177  0.699547
1614.99  0.0179135  0.693165
1625.76  0.017817  0.686785
1636.52  0.0177279  0.680406
1647.29  0.0176461  0.674028
1658.06  0.0175715  0.667651
1668.82  0.017504  0.661274
1679.59  0.0174434  0.654897
1690.36  0.0173896  0.64852
1701.12  0.0173426  0.642142
1711.89  0.0173022  0.635764
1722.66  0.0172685  0.629385
1733.42  0.0172412  0.623004
1744.19  0.0172205  0.616622
1754.96  0.0172062  0.610238
1765.72  0.0171983  0.603853
1776.49  0.0171967  0.597465
1787.26  0.0172016  0.591074
1798.02  0.0172129  0.584681
1808.79  0.0172306  0.578285
1819.56  0.0172547  0.571885
1830.32  0.0172852  0.565482
1841.09  0.0173222  0.559076
1851.86  0.0173657  0.552665
1862.62  0.0174159  0.546249
1873.39  0.0174726  0.539829
1884.16  0.0175362  0.533404
1894.92  0.0176065  0.526974
1905.69  0.0176838  0.520539
1916.46  0.0177681  0.514097
1927.22  0.0178596  0.507649
1937.99  0.0179584  0.501195
1948.75  0.0180647  0.494734
1959.52  0.0181785  0.488266
1970.29  0.0183002  0.481791
1981.05  0.0184298  0.475307
1991.82  0.0185676  0.468816
2002.59  0.0187139  0.462315
2013.35  0.0188687  0.455806
2024.12  0.0190325  0.449287
2034.89  0.0192055  0.442758
2045.65  0.0193879  0.436219
2056.42  0.0195801  0.429669
2067.19  0.0197824  0.423108
2077.95  0.0199952  0.416534
2088.72  0.0202189  0.409949
2099.49  0.0204539  0.40335
2110.25  0.0207006  0.396737
2121.02  0.0209594  0.39011
2131.79  0.021231  0.383468
2142.55  0.0215159  0.37681
2153.32  0.0218145  0.370136
2164.09  0.0221276  0.363445
2174.85  0.0224558  0.356735
2185.62  0.0227998  0.350007
2196.39  0.0231604  0.343258
2207.15  0.0235384  0.336488
2217.92  0.0239347  0.329696
2228.69  0.0243502  0.322881
2239.45  0.024786  0.316041
2250.22  0.0252431  0.309175
2260.99  0.0257228  0.302282
2271.75  0.0262263  0.295361
2282.52  0.026755  0.288408
2293.29  0.0273104  0.281424
2304.05  0.0278941  0.274405
2314.82  0.0285079  0.26735
2325.59  0.0291536  0.260256
2336.35  0.0298335  0.253122
2347.12  0.0305496  0.245944
2357.89  0.0313046  0.23872
2368.65  0.0321011  0.231446
2379.42  0.032942  0.22412
2390.19  0.0338307  0.216737
2400.95  0.0347706  0.209293
2411.72  0.0357658  0.201785
2422.49  0.0368205  0.194206
2433.25  0.0379397  0.186552
2444.02  0.0391285  0.178816
2454.79  0.0403931  0.170993
2465.55  0.04174  0.163073
2476.32  0.0431766  0.15505
2487.08  0.0447113  0.146913
2497.85  0.0463535  0.138653
2508.62  0.0481137  0.130257
2519.38  0.0500041  0.121711
2530.15  0.0520383  0.113002
2540.92  0.054232  0.104111
2551.68  0.0566033  0.0950174
2562.45  0.0591728  0.0856992
2573.22  0.0619648  0.0761291
2583.98  0.0650074  0.0662759
2594.75  0.0683336  0.0561027
2605.52  0.0719825  0.0455662
2616.28  0.0760005  0.0346146
2627.05  0.0804433  0.023186
2637.82  0.0853782  0.0112053
2648.58  0.0908874  -0.00141918
2659.35  0.097072  -0.0148006
2670.12  0.104058  -0.0290801
2680.88  0.112005  -0.0444363
2691.65  0.121115  -0.0610983
2702.42  0.131653  -0.0793647
2713.18  0.143966  -0.0996315
2723.95  0.158524  -0.122435
2734.72  0.175969  -0.148521
2745.48  0.197209  -0.17895
2756.25  0.223554  -0.215283
2767.02  0.256956  -0.259905
2777.78  0.300411  -0.316611
2788.55  0.358627  -0.391749
2799.32  0.439009  -0.496479
2810.08  0.55212  -0.651157
2820.85  0.705295  -0.891552
2831.62  0.864556  -1.26031
2842.38  0.904195  -1.72615
2853.15  0.78413  -2.13561
2863.92  0.631405  -2.41226
2874.68  0.510963  -2.58895
2885.45  0.424329  -2.70648
2896.22  0.361744  -2.78936
2906.98  0.315323  -2.85101
2917.75  0.279892  -2.89897
2928.52  0.252141  -2.93766
2939.28  0.229919  -2.96982
2950.05  0.211788  -2.99723
2960.82  0.196758  -3.02107
2971.58  0.184132  -3.04219
2982.35  0.173404  -3.06117
2993.12  0.164201  -3.07844
3003.88  0.15624  -3.09434
3014.65  0.149305  -3.1091
3025.42  0.143228  -3.12293
3036.18  0.137876  -3.13597
3046.95  0.133142  3.13483
3057.71  0.12894  3.12302
3068.48  0.125201  3.1117
3079.25  0.121866  3.1008
3090.01  0.118887  3.09026
3100.78  0.116224  3.08005
3111.55  0.113844  3.07011
3122.31  0.111718  3.06042
3133.08  0.109821  3.05096
3143.85  0.108133  3.04168
3154.61  0.106636  3.03258
3165.38  0.105314  3.02364
3176.15  0.104155  3.01484
3186.91  0.103147  3.00616
3197.68  0.10228  2.99759
3208.45  0.101545  2.98913
3219.21  0.100936  2.98076
3229.98  0.100446  2.97247
3240.75  0.100069  2.96425
3251.51  0.0998017  2.9561
3262.28  0.099639  2.94801
3273.05  0.0995779  2.93997
3283.81  0.099616  2.93198
3294.58  0.0997509  2.92404
3305.35  0.0999812  2.91613
3316.11  0.100306  2.90826
3326.88  0.100723  2.90042
3337.65  0.101234  2.89261
3348.41  0.101838  2.88481
3359.18  0.102536  2.87704
3369.95  0.103329  2.86928
3380.71  0.104217  2.86154
3391.48  0.105203  2.8538
3402.25  0.106288  2.84608
3413.01  0.107475  2.83836
3423.78  0.108767  2.83063
3434.55  0.110167  2.82291
3445.31  0.111679  2.81519
3456.08  0.113307  2.80746
3466.85  0.115055  2.79971
3477.61  0.116929  2.79196
3488.38  0.118934  2.7842
3499.15  0.121077  2.77641
3509.91  0.123365  2.76861
3520.68  0.125806  2.76078
3531.45  0.128407  2.75293
3542.21  0.131178  2.74505
3552.98  0.13413  2.73714
3563.75  0.137273  2.7292
3574.51  0.14062  2.72122
3585.28  0.144184  2.71319
3596.04  0.147981  2.70512
3606.81  0.152026  2.697
3617.58  0.156338  2.68882
3628.34  0.160938  2.68058
3639.11  0.165846  2.67228
3649.88  0.171089  2.66391
3660.64  0.176692  2.65547
3671.41  0.182687  2.64694
3682.18  0.189107  2.63832
3692.94  0.195991  2.6296
3703.71  0.203381  2.62077
3714.48  0.211325  2.61183
3725.24  0.219876  2.60276
3736.01  0.229097  2.59355
3746.78  0.239055  2.58419
3757.54  0.24983  2.57465
3768.31  0.261512  2.56493
3779.08  0.274204  2.55501
3789.84  0.288025  2.54485
3800.61  0.303114  2.53444
3811.38  0.31963  2.52374
3822.14  0.337763  2.51273
3832.91  0.357733  2.50135
3843.68  0.379803  2.48956
3854.44  0.404285  2.4773
3865.21  0.431554  2.46451
3875.98  0.462067  2.4511
3886.74  0.496379  2.43696
3897.51  0.535177  2.42199
3908.28  0.579318  2.40601
3919.04  0.629883  2.38884
3929.81  0.688257  2.37022
3940.58  0.756236  2.34983
3951.34  0.83619  2.32724
3962.11  0.931307  2.30187
3972.88  1.04596  2.27291
3983.64  1.18628  2.23923
3994.41  1.36109  2.19914
4005.18  1.58344  2.15012
4015.94  1.87305  2.08818
4026.71  2.26027  2.00676
4037.48  2.79088  1.89462
4048.24  3.52444  1.73216
4059.01  4.48473  1.48784
4069.78  5.44213  1.1311
4080.54  5.72743  0.698771
4091.31  5.14053  0.315807
4102.08  4.30627  0.045918
4112.84  3.60499  -0.133389
4123.61  3.08241  -0.256064
4134.38  2.69869  -0.344396
4145.14  2.41313  -0.411242
4155.91  2.1966  -0.464058
4166.67  2.02964  -0.507332
4177.44  1.89924  -0.54389
4188.21  1.79657  -0.575583
4198.97  1.71552  -0.603677
4209.74  1.6518  -0.629059
4220.51  1.60234  -0.652379
4231.27  1.56492  -0.674124
4242.04  1.53795  -0.694668
4252.81  1.5203  -0.714313
4263.57  1.51119  -0.733305
4274.34  1.51015  -0.751856
4285.11  1.51695  -0.770153
4295.87  1.53158  -0.788373
4306.64  1.55426  -0.806686
4317.41  1.58544  -0.825265
4328.17  1.62583  -0.844299
4338.94  1.67645  -0.863996
4349.71  1.73867  -0.884601
4360.47  1.81437  -0.906408
4371.24  1.90605  -0.929785
4382.01  2.01707  -0.955207
4392.77  2.15201  -0.983301
4403.54  2.31716  -1.01493
4414.31  2.52138  -1.05129
4425.07  2.77734  -1.09416
4435.84  3.1036  -1.1462
4446.61  3.5278  -1.21157
4457.37  4.09125  -1.29713
4468.14  4.85268  -1.41453
4478.91  5.87653  -1.58368
4489.67  7.13915  -1.83531
4500.44  8.21545  -2.19463
4511.21  8.2026  -2.61726
4521.97  7.06556  -2.9854
4532.74  5.7218  3.03751
4543.51  4.63362  2.86284
4554.27  3.82792  2.74233
4565.04  3.23384  2.65513
4575.81  2.78721  2.58904
4586.57  2.44329  2.53691
4597.34  2.17237  2.49438
4608.11  1.9546  2.4587
4618.87  1.77648  2.42806
4629.64  1.62861  2.40123
4640.41  1.50427  2.37733
4651.17  1.39856  2.35575
4661.94  1.30783  2.33602
4672.71  1.22933  2.3178
4683.47  1.16094  2.30081
4694.24  1.10098  2.28484
4705  1.04814  2.26974
4715.77  1.00137  2.25537
4726.54  0.959822  2.24161
4737.3  0.922793  2.22839
4748.07  0.889712  2.21562
4758.84  0.860104  2.20325
4769.6  0.833571  2.19122
4780.37  0.80978  2.17949
4791.14  0.788447  2.16801
4801.9  0.769336  2.15677
4812.67  0.752242  2.14572
4823.44  0.736992  2.13483
4834.2  0.72344  2.1241
4844.97  0.71146  2.11348
4855.74  0.700945  2.10297
4866.5  0.691807  2.09254
4877.27  0.68397  2.08216
4888.04  0.677375  2.07181
4898.8  0.671963  2.06139
4909.57  0.667598  2.05076
4920.34  0.663868  2.04023
4931.1  0.661364  2.03068
4941.87  0.660329  2.02091
4952.64  0.660358  2.01088
4963.4  0.661405  2.00072
4974.17  0.663485  1.9905
4984.94  0.666624  1.9802
4995.7  0.670849  1.96983
5006.47  0.676196  1.95937
5017.24  0.682709  1.94882
5028  0.690442  1.93814
5038.77  0.69946  1.92733
5049.54  0.709839  1.91637
5060.3  0.72167  1.90524
5071.07  0.735061  1.89391
5081.84  0.750137  1.88236
5092.6  0.767045  1.87055
5103.37  0.785958  1.85845
5114.14  0.807079  1.84603
5124.9  0.830645  1.83324
5135.67  0.856939  1.82003
5146.44  0.886292  1.80634
5157.2  0.919101  1.79209
5167.97  0.955842  1.7772
5178.74  0.997086  1.76158
5189.5  1.04353  1.7451
5200.27  1.09602  1.72761
5211.04  1.15561  1.70892
