num_points: 4096
frequency_Hz  magnitude  phase_rad
0.1  2.64738e-06  1.54354
10.7666  0.000418076  1.62873
21.5332  0.000885942  1.53568
32.2998  0.00137325  1.45142
43.0664  0.0018789  1.37089
53.833  0.00240523  1.29228
64.5996  0.00295614  1.21473
75.3662  0.00353675  1.13777
86.1328  0.00415344  1.06105
96.8994  0.00481406  0.984281
107.666  0.00552825  0.907184
118.433  0.00630793  0.82944
129.199  0.00716791  0.750677
139.966  0.00812679  0.670437
150.732  0.00920809  0.588143
161.499  0.0104419  0.503053
172.266  0.011867  0.414199
183.032  0.0135337  0.320292
193.799  0.0155076  0.219586
204.565  0.0178732  0.109686
215.332  0.0207363  -0.012741
226.099  0.0242191  -0.152324
236.865  0.0284304  -0.315347
247.632  0.0333761  -0.509674
258.398  0.0387522  -0.743031
269.165  0.0436586  -1.01759
279.932  0.0466597  -1.32133
290.698  0.0467612  -1.62627
301.465  0.0443852  -1.90346
312.231  0.0408134  -2.13918
322.998  0.0370943  -2.33461
333.765  0.0337304  -2.49726
344.531  0.0308649  -2.63506
355.298  0.0284835  -2.75446
366.064  0.0265223  -2.86021
376.831  0.0249114  -2.95573
387.598  0.0235891  -3.04346
398.364  0.0225052  -3.12519
409.131  0.0216202  3.08097
419.897  0.0209036  3.00766
430.664  0.020332  2.93733
441.431  0.0198878  2.86939
452.197  0.0195579  2.8034
462.964  0.019333  2.73898
473.73  0.019207  2.67583
484.497  0.0191766  2.61368
495.264  0.0192413  2.55232
506.03  0.0194033  2.49154
516.797  0.0196674  2.43116
527.563  0.0200419  2.37099
538.33  0.0205388  2.31083
549.097  0.0211751  2.2505
559.863  0.0219743  2.18975
570.63  0.0229686  2.1283
581.396  0.0242027  2.06581
592.163  0.0257393  2.00181
602.93  0.0276688  1.93566
613.696  0.0301252  1.86642
624.463  0.0333141  1.7927
635.229  0.0375668  1.71222
645.996  0.043447  1.62104
656.763  0.0519829  1.51181
667.529  0.0651997  1.3691
