num_points: 929
frequency_Hz  magnitude  phase_rad
0.1  2.80735e-05  1.66156
10.7666  0.00465246  1.6244
21.5332  0.00962543  1.57598
32.2998  0.014732  1.53698
43.0664  0.0199856  1.50134
53.833  0.0254195  1.46731
64.5996  0.0310778  1.43416
75.3662  0.0370143  1.40148
86.1328  0.0432942  1.36901
96.8994  0.0499964  1.3365
107.666  0.0572169  1.30371
118.433  0.0650733  1.27035
129.199  0.073711  1.23609
139.966  0.0833116  1.20052
150.732  0.094104  1.16312
161.499  0.10638  1.12322
172.266  0.120515  1.07995
183.032  0.136996  1.03215
193.799  0.156461  0.978273
204.565  0.17974  0.916176
215.332  0.207896  0.842891
226.099  0.242223  0.754253
236.865  0.28407  0.644488
247.632  0.334199  0.505975
258.398  0.391047  0.330078
269.165  0.447565  0.111064
279.932  0.489317  -0.145323
290.698  0.501532  -0.415052
301.465  0.483014  -0.665445
312.231  0.446456  -0.875579
322.998  0.405373  -1.04245
333.765  0.367182  -1.17277
344.531  0.334368  -1.27516
355.298  0.307068  -1.3569
366.064  0.284625  -1.42344
376.831  0.266232  -1.47868
387.598  0.251162  -1.5254
398.364  0.238818  -1.56559
409.131  0.228731  -1.60071
419.897  0.220539  -1.63184
430.664  0.213964  -1.65979
441.431  0.208796  -1.68518
452.197  0.204878  -1.7085
462.964  0.202096  -1.73015
473.73  0.200375  -1.75045
484.497  0.199669  -1.76966
495.264  0.199961  -1.78801
506.03  0.201262  -1.80571
516.797  0.203615  -1.82293
527.563  0.207092  -1.83987
538.33  0.211806  -1.8567
549.097  0.217917  -1.8736
559.863  0.225648  -1.89079
570.63  0.235305  -1.90851
581.396  0.247312  -1.92708
592.163  0.262264  -1.94688
602.93  0.281015  -1.96845
613.696  0.30482  -1.99258
624.463  0.335594  -2.02042
635.229  0.376395  -2.05381
645.996  0.432383  -2.09589
656.763  0.512893  -2.15243
667.529  0.636331  -2.2353
678.296  0.842336  -2.37243
689.063  1.21399  -2.64092
699.829  1.72319  3.04964
710.596  1.49844  2.24873
721.362  0.968145  1.80983
732.129  0.664465  1.60783
742.896  0.49363  1.49767
753.662  0.387823  1.42807
764.429  0.316794  1.37936
775.195  0.266162  1.34269
785.962  0.228408  1.31358
796.729  0.199264  1.28951
807.495  0.176146  1.26896
818.262  0.1574  1.25099
829.028  0.141922  1.23495
839.795  0.128948  1.22039
850.562  0.117934  1.20701
861.328  0.10848  1.19457
872.095  0.100289  1.1829
882.861  0.0931319  1.17186
893.628  0.0868332  1.16136
904.395  0.0812535  1.1513
915.161  0.076282  1.14163
925.928  0.0718294  1.13229
936.694  0.0678225  1.12323
947.461  0.0642014  1.11443
958.228  0.0609162  1.10585
968.994  0.057925  1.09747
979.761  0.0551927  1.08925
990.527  0.0526893  1.0812
1001.29  0.0503893  1.07328
1012.06  0.0482707  1.06549
1022.83  0.0463146  1.05781
1033.59  0.0445046  1.05023
1044.36  0.0428263  1.04275
1055.13  0.0412672  1.03535
1065.89  0.0398162  1.02803
1076.66  0.0384636  1.02078
1087.43  0.0372008  1.01359
1098.19  0.0360201  1.00647
1108.96  0.0349148  0.9994
1119.73  0.0338787  0.992382
1130.49  0.0329063  0.985412
1141.26  0.0319929  0.978486
1152.03  0.0311339  0.9716
1162.79  0.0303254  0.964752
1173.56  0.0295637  0.957939
1184.33  0.0288456  0.951158
1195.09  0.0281682  0.944408
1205.86  0.0275287  0.937687
1216.63  0.0269246  0.930992
1227.39  0.0263538  0.924321
1238.16  0.0258141  0.917673
1248.93  0.0253037  0.911047
1259.69  0.0248209  0.904441
1270.46  0.024364  0.897854
1281.23  0.0239316  0.891284
1291.99  0.0235224  0.88473
1302.76  0.0231352  0.878192
