num_points: 4096
frequency_Hz  magnitude  phase_rad
0.1  4.14128e-06  1.47207
10.7666  0.000364302  1.49629
21.5332  0.000727789  1.44298
32.2998  0.00109416  1.386
43.0664  0.0014649  1.32791
53.833  0.00184152  1.26932
64.5996  0.00222559  1.21051
75.3662  0.00261887  1.1516
86.1328  0.00302331  1.09267
96.8994  0.00344108  1.03376
107.666  0.00387469  0.974892
118.433  0.00432696  0.916061
129.199  0.00480116  0.857254
139.966  0.00530104  0.79844
150.732  0.00583094  0.739577
161.499  0.00639596  0.680607
172.266  0.00700205  0.621454
183.032  0.00765626  0.562031
193.799  0.00836698  0.502226
204.565  0.00914432  0.441908
215.332  0.0100005  0.380918
226.099  0.0109505  0.31906
236.865  0.012013  0.256095
247.632  0.0132113  0.191726
258.398  0.014575  0.125575
269.165  0.0161422  0.0571578
279.932  0.0179627  -0.0141619
290.698  0.0201027  -0.089235
301.465  0.022651  -0.169227
312.231  0.0257292  -0.255773
322.998  0.0295052  -0.351226
333.765  0.0342113  -0.459061
344.531  0.040162  -0.584526
355.298  0.0477478  -0.735633
366.064  0.0573144  -0.92433
376.831  0.0686681  -1.16639
387.598  0.0798371  -1.47449
398.364  0.0861815  -1.83698
409.131  0.0840597  -2.20265
419.897  0.0757908  -2.51741
430.664  0.0660539  -2.76561
441.431  0.0573566  -2.95865
452.197  0.0502653  -3.11251
462.964  0.0446221  3.04362
473.73  0.0401269  2.93501
484.497  0.0365096  2.83936
495.264  0.0335615  2.75307
506.03  0.0311276  2.6737
516.797  0.0290942  2.59956
527.563  0.0273771  2.52947
538.33  0.0259134  2.46256
549.097  0.0246554  2.39818
559.863  0.0235667  2.33587
570.63  0.0226187  2.27524
581.396  0.0217892  2.21602
592.163  0.0210603  2.15797
602.93  0.0204177  2.10091
613.696  0.0198499  2.0447
624.463  0.0193473  1.98921
635.229  0.0189021  1.93434
645.996  0.0185077  1.88001
656.763  0.0181588  1.82616
667.529  0.0178507  1.77272
678.296  0.0175795  1.71964
689.062  0.0173421  1.66689
699.829  0.0171356  1.61441
710.596  0.0169576  1.56219
721.362  0.0168062  1.51019
732.129  0.0166796  1.45839
742.896  0.0165765  1.40676
753.662  0.0164955  1.3553
764.429  0.0164356  1.30397
775.195  0.0163961  1.25276
785.962  0.0163761  1.20167
796.729  0.0163752  1.15068
807.495  0.0163929  1.09977
818.262  0.0164289  1.04894
829.028  0.0164831  0.99817
