num_points: 4096
frequency_Hz  magnitude  phase_rad
0.1  6.7207e-05  1.32226
10.7666  0.00402733  1.46048
21.5332  0.0077857  1.47264
32.2998  0.0115138  1.47279
43.0664  0.0152405  1.46858
53.833  0.018981  1.46222
64.5996  0.0227466  1.45465
75.3662  0.0265473  1.44634
86.1328  0.0303929  1.43756
96.8994  0.034293  1.4285
107.666  0.038258  1.41926
118.433  0.0422986  1.40994
129.199  0.0464265  1.40057
139.966  0.050654  1.39121
150.732  0.0549947  1.38187
161.499  0.0594628  1.37258
172.266  0.064074  1.36334
183.032  0.0688453  1.35416
193.799  0.073795  1.34503
204.565  0.078943  1.33596
215.332  0.0843111  1.32693
226.099  0.089923  1.31793
236.865  0.0958046  1.30896
247.632  0.101985  1.29999
258.398  0.108494  1.29102
269.165  0.115368  1.28203
279.932  0.122645  1.273
290.698  0.130368  1.26391
301.465  0.138584  1.25474
312.231  0.147348  1.24548
322.998  0.156719  1.23609
333.765  0.166767  1.22656
344.531  0.177568  1.21686
355.298  0.189211  1.20697
366.064  0.201798  1.19684
376.831  0.215444  1.18644
387.598  0.230285  1.17575
398.364  0.246478  1.1647
409.131  0.264205  1.15326
419.897  0.283683  1.14137
430.664  0.305166  1.12895
441.431  0.328959  1.11594
452.197  0.355428  1.10223
462.964  0.385014  1.08772
473.73  0.418259  1.07226
484.497  0.455827  1.0557
495.264  0.498548  1.03783
506.03  0.547466  1.01839
516.797  0.603914  0.997034
527.563  0.66961  0.973349
538.33  0.746809  0.946761
549.097  0.838512  0.916511
559.863  0.948779  0.881552
570.63  1.08319  0.840414
581.396  1.24955  0.790983
592.163  1.45885  0.730126
602.93  1.72648  0.653091
613.696  2.07311  0.552531
624.463  2.52208  0.417154
635.229  3.08279  0.230855
645.996  3.69632  -0.0231574
656.763  4.15563  -0.343179
667.529  4.20869  -0.68349
678.296  3.88658  -0.979719
689.062  3.43473  -1.2052
699.829  3.015  -1.36928
710.596  2.6724  -1.4897
721.362  2.40347  -1.58065
732.129  2.19383  -1.65166
742.896  2.02983  -1.70889
753.662  1.90081  -1.75636
764.429  1.79893  -1.79674
775.195  1.71852  -1.83186
785.962  1.65546  -1.86303
796.729  1.60677  -1.89119
807.495  1.57028  -1.91703
818.262  1.54442  -1.9411
829.028  1.52809  -1.96383
839.795  1.52058  -1.98555
850.562  1.52144  -2.00657
861.328  1.53051  -2.02715
872.095  1.5479  -2.04753
882.861  1.57393  -2.06793
893.628  1.60924  -2.08861
904.395  1.65477  -2.1098
915.161  1.71184  -2.13181
925.928  1.78227  -2.15498
936.694  1.86856  -2.17972
947.461  1.97408  -2.20659
958.228  2.10349  -2.23629
968.994  2.26326  -2.26983
979.761  2.46261  -2.3086
990.527  2.71489  -2.35467
1001.29  3.0399  -2.41125
1012.06  3.46737  -2.48343
1022.83  4.04161  -2.57978
1033.59  4.82266  -2.71508
1044.36  5.85749  -2.91454
1055.13  7.01921  3.0704
1065.89  7.65691  2.66595
1076.66  7.06887  2.2455
1087.43  5.80012  1.91964
1098.19  4.62606  1.6999
1108.96  3.7392  1.55247
1119.73  3.09232  1.44922
1130.49  2.61426  1.37323
1141.26  2.2522  1.31476
1152.03  1.97102  1.26804
1162.79  1.74764  1.22954
1173.56  1.56666  1.19697
1184.33  1.41752  1.16883
1195.09  1.29281  1.14406
1205.86  1.1872  1.12193
1216.63  1.09679  1.10188
1227.39  1.01865  1.08353
1238.16  0.950534  1.06656
1248.93  0.890726  1.05074
1259.69  0.83786  1.03588
1270.46  0.790854  1.02183
1281.23  0.748839  1.00848
1291.99  0.711105  0.995723
1302.76  0.67707  0.983486
1313.53  0.646251  0.971701
1324.29  0.618247  0.960313
1335.06  0.592718  0.949274
1345.83  0.569378  0.938544
1356.59  0.547981  0.92809
1367.36  0.528319  0.917882
1378.12  0.510211  0.907894
1388.89  0.4935  0.898105
1399.66  0.47805  0.888494
1410.42  0.463743  0.879045
1421.19  0.450474  0.869743
1431.96  0.438152  0.860573
1442.72  0.426696  0.851525
1453.49  0.416034  0.842586
1464.26  0.406101  0.833749
1475.02  0.396841  0.825003
1485.79  0.388204  0.816341
