num_points: 929
frequency_Hz  magnitude  phase_rad
0.1  5.34724e-05  1.33921
10.7666  0.00378405  1.50583
21.5332  0.00743884  1.51186
32.2998  0.011088  1.50996
43.0664  0.0147504  1.50536
53.833  0.0184381  1.49947
64.5996  0.0221618  1.49285
75.3662  0.0259313  1.48581
86.1328  0.0297568  1.47848
96.8994  0.0336485  1.47099
107.666  0.0376171  1.46339
118.433  0.0416741  1.45572
129.199  0.0458314  1.44803
139.966  0.050102  1.44032
150.732  0.0544997  1.43261
161.499  0.0590392  1.42491
172.266  0.0637367  1.41724
183.032  0.0686094  1.40958
193.799  0.0736763  1.40194
204.565  0.0789576  1.39432
215.332  0.0844759  1.38671
226.099  0.0902554  1.37911
236.865  0.0963232  1.37151
247.632  0.102709  1.36391
258.398  0.109445  1.3563
269.165  0.116568  1.34867
279.932  0.124118  1.341
290.698  0.13214  1.3333
301.465  0.140684  1.32554
312.231  0.149809  1.31772
322.998  0.159576  1.30983
333.765  0.170061  1.30185
344.531  0.181345  1.29376
355.298  0.193523  1.28556
366.064  0.206704  1.27722
376.831  0.221015  1.26872
387.598  0.236603  1.26004
398.364  0.253637  1.25116
409.131  0.272319  1.24204
419.897  0.292886  1.23265
430.664  0.315623  1.22295
441.431  0.340869  1.21289
452.197  0.369035  1.20242
462.964  0.400624  1.19147
473.73  0.436255  1.17995
484.497  0.476703  1.16775
495.264  0.522942  1.15475
506.03  0.576224  1.14078
516.797  0.638172  1.12563
527.563  0.710937  1.10899
538.33  0.797418  1.0905
549.097  0.901621  1.0696
559.863  1.02922  1.04554
570.63  1.18852  1.0172
581.396  1.39208  0.982857
592.163  1.65975  0.939766
602.93  2.02444  0.883249
613.696  2.54347  0.804783
624.463  3.32063  0.687516
635.229  4.53388  0.495505
645.996  6.31272  0.154997
656.763  7.67432  -0.39627
667.529  6.81355  -0.951747
678.296  5.25009  -1.29745
689.062  4.11871  -1.49239
699.829  3.38  -1.6114
710.596  2.88401  -1.69111
721.362  2.53637  -1.74871
732.129  2.28353  -1.79285
742.896  2.09432  -1.82829
753.662  1.94982  -1.85782
764.429  1.83803  -1.88319
775.195  1.75103  -1.90553
785.962  1.68347  -1.92563
796.729  1.63165  -1.94405
807.495  1.59295  -1.96119
818.262  1.56554  -1.97737
829.028  1.54814  -1.99283
839.795  1.53992  -2.00776
850.562  1.54037  -2.02234
861.328  1.5493  -2.03672
872.095  1.56678  -2.05104
882.861  1.59316  -2.06542
893.628  1.62908  -2.08003
904.395  1.67554  -2.095
915.161  1.73394  -2.11052
925.928  1.80623  -2.12681
936.694  1.8951  -2.14412
947.461  2.00427  -2.1628
958.228  2.1389  -2.18332
968.994  2.30641  -2.20632
979.761  2.5176  -2.23275
990.527  2.78889  -2.26402
1001.29  3.14617  -2.3024
1012.06  3.63236  -2.35172
1022.83  4.32292  -2.41895
1033.59  5.35843  -2.518
1044.36  7.00573  -2.67976
1055.13  9.6343  -2.97735
1065.89  12.2823  2.75343
1076.66  10.8301  2.10106
1087.43  7.66365  1.69717
1098.19  5.53276  1.48566
1108.96  4.22744  1.36338
1119.73  3.38318  1.28424
1130.49  2.80227  1.22833
1141.26  2.38167  1.18618
1152.03  2.06468  1.15278
1162.79  1.81807  1.12528
1173.56  1.62126  1.10193
1184.33  1.4609  1.08162
1195.09  1.32796  1.06359
1205.86  1.21615  1.04732
1216.63  1.12095  1.03244
1227.39  1.03903  1.01867
1238.16  0.967882  1.0058
1248.93  0.905592  0.993672
1259.69  0.850671  0.982168
1270.46  0.80194  0.971188
1281.23  0.75846  0.960653
1291.99  0.719468  0.950501
1302.76  0.684344  0.94068
1313.53  0.652573  0.931146
1324.29  0.62373  0.921863
1335.06  0.597456  0.912801
1345.83  0.573449  0.903935
1356.59  0.551452  0.895243
1367.36  0.531246  0.886705
1378.12  0.512641  0.878306
1388.89  0.495476  0.870032
1399.66  0.479607  0.861869
1410.42  0.464911  0.853807
1421.19  0.45128  0.845837
1431.96  0.43862  0.83795
1442.72  0.426844  0.830138
1453.49  0.415881  0.822395
1464.26  0.405662  0.814714
1475.02  0.39613  0.807091
1485.79  0.387232  0.799519
1496.56  0.378921  0.791995
1507.32  0.371154  0.784515
1518.09  0.363894  0.777074
1528.86  0.357107  0.76967
1539.62  0.350761  0.762299
1550.39  0.344828  0.754958
1561.16  0.339284  0.747645
1571.92  0.334105  0.740357
1582.69  0.32927  0.733092
1593.46  0.324762  0.725847
1604.22  0.320561  0.718622
1614.99  0.316653  0.711413
1625.76  0.313024  0.704219
1636.52  0.309661  0.697039
1647.29  0.306551  0.68987
1658.06  0.303684  0.682711
1668.82  0.301051  0.675562
1679.59  0.298643  0.66842
1690.36  0.296451  0.661284
1701.12  0.294469  0.654152
1711.89  0.29269  0.647025
1722.66  0.291108  0.6399
1733.42  0.289719  0.632776
1744.19  0.288518  0.625652
1754.96  0.2875  0.618528
1765.72  0.286663  0.611401
1776.49  0.286003  0.604271
1787.26  0.285519  0.597137
1798.02  0.285208  0.589998
1808.79  0.285069  0.582853
1819.56  0.285101  0.5757
1830.32  0.285304  0.568539
1841.09  0.285677  0.561368
1851.86  0.286221  0.554187
1862.62  0.286937  0.546994
1873.39  0.287826  0.539789
1884.16  0.288889  0.532569
1894.92  0.29013  0.525335
1905.69  0.29155  0.518084
1916.46  0.293154  0.510816
1927.22  0.294944  0.503529
1937.99  0.296925  0.496222
1948.75  0.299102  0.488893
1959.52  0.301479  0.481542
1970.29  0.304064  0.474166
1981.05  0.306863  0.466764
1991.82  0.309882  0.459335
2002.59  0.313131  0.451876
2013.35  0.316617  0.444386
2024.12  0.320351  0.436863
2034.89  0.324344  0.429305
2045.65  0.328607  0.42171
2056.42  0.333152  0.414075
2067.19  0.337994  0.406397
2077.95  0.343148  0.398675
2088.72  0.348631  0.390905
2099.49  0.35446  0.383085
2110.25  0.360655  0.37521
2121.02  0.367239  0.367278
2131.79  0.374235  0.359285
2142.55  0.38167  0.351226
2153.32  0.389571  0.343097
2164.09  0.397971  0.334893
2174.85  0.406904  0.326609
2185.62  0.416408  0.318238
2196.39  0.426527  0.309775
2207.15  0.437306  0.301213
2217.92  0.448798  0.292543
2228.69  0.461061  0.283756
2239.45  0.474159  0.274844
2250.22  0.488165  0.265796
2260.99  0.503159  0.256599
2271.75  0.519233  0.247241
2282.52  0.536488  0.237706
2293.29  0.555041  0.227978
2304.05  0.575023  0.218037
2314.82  0.596584  0.207862
2325.59  0.619897  0.197428
2336.35  0.645159  0.186706
2347.12  0.672597  0.175663
2357.89  0.702477  0.164262
2368.65  0.735108  0.152457
2379.42  0.770852  0.140197
2390.19  0.810138  0.127419
2400.95  0.853476  0.11405
2411.72  0.901475  0.100002
2422.49  0.954873  0.0851684
2433.25  1.01457  0.0694186
2444.02  1.08166  0.0525922
2454.79  1.15753  0.0344886
2465.55  1.24389  0.014855
2476.32  1.34293  -0.00663264
2487.08  1.45748  -0.0303952
2497.85  1.59122  -0.0569891
2508.62  1.74904  -0.0871635
2519.38  1.93754  -0.121949
2530.15  2.16577  -0.162797
2540.92  2.44631  -0.211804
2551.68  2.7968  -0.27208
2562.45  3.2418  -0.348366
2573.22  3.81381  -0.44804
2583.98  4.5483  -0.582548
2594.75  5.45443  -0.768477
2605.52  6.42096  -1.0237
2616.28  7.08117  -1.34762
2627.05  7.01063  -1.69328
2637.82  6.30824  -1.99319
2648.58  5.427  -2.21988
2659.35  4.63859  -2.38365
2670.12  4.00465  -2.50307
2680.88  3.50827  -2.59273
2691.65  3.11868  -2.66231
2702.42  2.80917  -2.71801
2713.18  2.55966  -2.76384
2723.95  2.35562  -2.80247
2734.72  2.18657  -2.8357
2745.48  2.04489  -2.8648
2756.25  1.92495  -2.89067
2767.02  1.82255  -2.914
2777.78  1.73449  -2.93527
2788.55  1.65831  -2.95486
2799.32  1.59209  -2.97308
2810.08  1.53431  -2.99015
2820.85  1.48376  -3.00625
2831.62  1.43945  -3.02154
2842.38  1.40061  -3.03614
2853.15  1.36657  -3.05014
2863.92  1.33681  -3.06364
2874.68  1.31088  -3.0767
2885.45  1.28842  -3.08938
2896.22  1.26911  -3.10174
