num_points: 4096
frequency_Hz  magnitude  phase_rad
0.1  5.46773e-06  1.48818
10.7666  0.000516257  1.49358
21.5332  0.00102962  1.43726
32.2998  0.00154806  1.37869
43.0664  0.00207513  1.31917
53.833  0.00261414  1.25912
64.5996  0.0031686  1.1987
75.3662  0.00374234  1.13801
86.1328  0.00433974  1.07709
96.8994  0.00496583  1.01593
107.666  0.00562644  0.954512
118.433  0.00632849  0.892779
129.199  0.0070802  0.83065
139.966  0.00789145  0.768015
150.732  0.00877426  0.704727
161.499  0.0097434  0.640597
172.266  0.0108172  0.575383
183.032  0.0120189  0.508774
193.799  0.0133778  0.440371
204.565  0.0149323  0.369647
215.332  0.0167326  0.295906
226.099  0.0188459  0.2182
236.865  0.0213634  0.135218
247.632  0.0244113  0.0450903
258.398  0.0281651  -0.0549126
269.165  0.0328694  -0.168889
279.932  0.0388541  -0.303133
290.698  0.0465112  -0.467368
301.465  0.0560983  -0.676017
312.231  0.0670139  -0.946763
322.998  0.0763237  -1.28784
333.765  0.0790255  -1.67029
344.531  0.0737107  -2.02932
355.298  0.0645618  -2.3215
366.064  0.0555062  -2.54671
376.831  0.0479323  -2.72191
387.598  0.0419064  -2.86296
398.364  0.0371438  -2.98094
409.131  0.0333458  -3.08302
419.897  0.0302745  3.10933
430.664  0.027754  3.02666
441.431  0.0256563  2.95007
452.197  0.0238879  2.87813
462.964  0.0223801  2.80979
473.73  0.0210812  2.74431
484.497  0.0199522  2.68113
495.264  0.0189631  2.61982
506.03  0.0180903  2.56006
516.797  0.0173153  2.50158
527.563  0.0166232  2.44419
538.33  0.0160021  2.38772
549.097  0.0154421  2.33204
559.863  0.0149353  2.27703
570.63  0.014475  2.22262
581.396  0.0140555  2.16872
592.163  0.0136721  2.11527
602.93  0.0133208  2.06221
613.696  0.0129982  2.00951
624.463  0.0127013  1.95712
635.229  0.0124277  1.905
645.996  0.0121751  1.85313
656.763  0.0119416  1.80148
667.529  0.0117255  1.75004
678.296  0.0115254  1.69877
689.063  0.0113399  1.64767
699.829  0.011168  1.59671
710.596  0.0110085  1.54588
721.362  0.0108606  1.49518
732.129  0.0107235  1.44459
742.896  0.0105965  1.3941
753.662  0.0104788  1.3437
764.429  0.01037  1.29338
775.195  0.0102694  1.24314
785.962  0.0101767  1.19297
796.729  0.0100913  1.14286
807.495  0.010013  1.09282
818.262  0.00994126  1.04282
829.028  0.0098759  0.99288
839.795  0.00981659  0.942981
850.562  0.00976307  0.893124
861.328  0.00971511  0.843305
872.095  0.00967249  0.793521
882.861  0.00963502  0.743768
893.628  0.00960253  0.694045
904.395  0.00957486  0.644348
915.161  0.00955186  0.594675
925.928  0.00953342  0.545024
936.694  0.00951941  0.495393
947.461  0.00950974  0.44578
958.228  0.00950431  0.396184
968.994  0.00950306  0.346601
979.761  0.0095059  0.297032
990.527  0.00951278  0.247474
1001.29  0.00952366  0.197926
1012.06  0.00953848  0.148387
1022.83  0.00955723  0.0988552
1033.59  0.00957986  0.0493297
1044.36  0.00960638  -0.000190721
1055.13  0.00963676  -0.0497071
1065.89  0.00967101  -0.0992204
1076.66  0.00970913  -0.148732
1087.43  0.00975114  -0.198242
1098.19  0.00979704  -0.247752
1108.96  0.00984688  -0.297263
1119.73  0.00990067  -0.346775
1130.49  0.00995846  -0.39629
1141.26  0.0100203  -0.445808
1152.03  0.0100862  -0.49533
1162.79  0.0101563  -0.544856
1173.56  0.0102306  -0.594388
1184.33  0.0103092  -0.643926
1195.09  0.0103921  -0.693471
1205.86  0.0104796  -0.743024
1216.63  0.0105715  -0.792585
1227.39  0.0106682  -0.842155
1238.16  0.0107695  -0.891734
1248.93  0.0108758  -0.941324
1259.69  0.0109871  -0.990925
1270.46  0.0111035  -1.04054
1281.23  0.0112252  -1.09016
1291.99  0.0113523  -1.1398
1302.76  0.011485  -1.18945
1313.53  0.0116235  -1.23912
1324.29  0.011768  -1.2888
1335.06  0.0119186  -1.3385
1345.83  0.0120756  -1.38821
1356.59  0.0122391  -1.43794
1367.36  0.0124094  -1.48769
1378.13  0.0125868  -1.53746
1388.89  0.0127716  -1.58724
1399.66  0.0129639  -1.63705
1410.42  0.0131641  -1.68688
1421.19  0.0133725  -1.73673
1431.96  0.0135894  -1.7866
1442.72  0.0138152  -1.8365
1453.49  0.0140502  -1.88642
1464.26  0.0142949  -1.93637
1475.02  0.0145497  -1.98634
1485.79  0.0148149  -2.03634
1496.56  0.0150911  -2.08637
1507.32  0.0153788  -2.13643
1518.09  0.0156785  -2.18652
1528.86  0.0159908  -2.23665
1539.62  0.0163162  -2.2868
1550.39  0.0166554  -2.337
1561.16  0.0170091  -2.38722
1571.92  0.017378  -2.43749
1582.69  0.0177628  -2.48779
1593.46  0.0181645  -2.53814
1604.22  0.0185839  -2.58853
1614.99  0.0190219  -2.63896
1625.76  0.0194795  -2.68944
1636.52  0.0199578  -2.73996
1647.29  0.020458  -2.79054
1658.06  0.0209813  -2.84117
1668.82  0.021529  -2.89185
1679.59  0.0221025  -2.94259
1690.36  0.0227034  -2.99339
1701.12  0.0233334  -3.04426
1711.89  0.0239942  -3.09519
1722.66  0.0246878  3.137
1733.42  0.0254161  3.08593
1744.19  0.0261815  3.03478
1754.96  0.0269864  2.98356
1765.72  0.0278334  2.93225
1776.49  0.0287253  2.88085
1787.26  0.0296654  2.82935
1798.02  0.0306568  2.77776
1808.79  0.0317035  2.72607
1819.56  0.0328093  2.67426
1830.32  0.0339786  2.62233
1841.09  0.0352164  2.57028
1851.86  0.0365279  2.5181
1862.62  0.0379188  2.46578
1873.39  0.0393957  2.4133
1884.16  0.0409656  2.36066
1894.92  0.0426363  2.30786
1905.69  0.0444166  2.25486
1916.46  0.0463161  2.20167
1927.22  0.0483455  2.14826
1937.99  0.0505168  2.09462
1948.75  0.0528436  2.04073
1959.52  0.0553408  1.98657
1970.29  0.0580257  1.93211
1981.05  0.0609173  1.87734
1991.82  0.0640375  1.8222
2002.59  0.067411  1.76669
2013.35  0.0710664  1.71074
2024.12  0.0750359  1.65433
2034.89  0.0793571  1.5974
2045.65  0.0840731  1.53988
2056.42  0.0892342  1.48172
2067.19  0.0948989  1.42283
