num_points: 929
frequency_Hz  magnitude  phase_rad
0.1  3.63861e-05  1.51359
10.7666  0.00363416  1.54791
21.5332  0.00726662  1.5383
32.2998  0.0109441  1.52725
43.0664  0.0146944  1.51564
53.833  0.0185457  1.50371
64.5996  0.0225281  1.49156
75.3662  0.0266751  1.47924
86.1328  0.0310246  1.46676
96.8994  0.0356205  1.45412
107.666  0.040514  1.44129
118.433  0.045766  1.42823
129.199  0.0514498  1.41488
139.966  0.057655  1.40118
150.732  0.0644926  1.38702
161.499  0.072102  1.37228
172.266  0.0806615  1.35678
183.032  0.0904029  1.34032
193.799  0.101633  1.32261
204.565  0.11477  1.30324
215.332  0.130391  1.28168
226.099  0.149326  1.25712
236.865  0.1728  1.22841
247.632  0.202704  1.1937
258.398  0.242086  1.15003
269.165  0.296147  1.09214
279.932  0.374308  1.01011
290.698  0.494475  0.88318
301.465  0.688485  0.663712
312.231  0.966607  0.249894
322.998  1.07578  -0.393399
333.765  0.845615  -0.924008
344.531  0.620985  -1.21244
355.298  0.477921  -1.37108
366.064  0.386583  -1.46869
376.831  0.324818  -1.53487
387.598  0.280727  -1.58317
398.364  0.247839  -1.62043
409.131  0.222434  -1.65044
419.897  0.202254  -1.67544
430.664  0.185854  -1.69684
441.431  0.172275  -1.71557
452.197  0.160856  -1.73226
462.964  0.151124  -1.74736
473.73  0.142737  -1.76121
484.497  0.135438  -1.77404
495.264  0.129033  -1.78604
506.03  0.123371  -1.79735
516.797  0.118333  -1.80809
527.563  0.113825  -1.81833
538.33  0.10977  -1.82817
549.097  0.106108  -1.83764
559.863  0.102785  -1.84681
570.63  0.0997616  -1.85571
581.396  0.0970004  -1.86438
592.163  0.094472  -1.87284
602.93  0.092151  -1.88112
613.696  0.0900155  -1.88924
624.463  0.088047  -1.89721
635.229  0.0862292  -1.90506
645.996  0.0845482  -1.91279
656.763  0.0829917  -1.92042
667.529  0.081549  -1.92796
678.296  0.0802106  -1.93541
689.062  0.0789682  -1.94279
699.829  0.0778145  -1.9501
710.596  0.0767428  -1.95735
721.362  0.0757474  -1.96454
732.129  0.074823  -1.97168
742.896  0.0739649  -1.97878
753.662  0.0731689  -1.98583
764.429  0.0724313  -1.99284
775.195  0.0717487  -1.99982
785.962  0.0711179  -2.00677
796.729  0.0705363  -2.01368
807.495  0.0700012  -2.02057
818.262  0.0695104  -2.02744
829.028  0.0690619  -2.03428
839.795  0.0686537  -2.0411
850.562  0.0682842  -2.0479
861.328  0.0679518  -2.05469
872.095  0.0676551  -2.06146
882.861  0.0673928  -2.06821
893.628  0.0671639  -2.07496
904.395  0.0669672  -2.08169
915.161  0.0668018  -2.08841
925.928  0.066667  -2.09512
936.694  0.0665618  -2.10182
947.461  0.0664857  -2.10852
958.228  0.066438  -2.11521
968.994  0.0664183  -2.12189
979.761  0.066426  -2.12857
990.527  0.0664608  -2.13524
1001.29  0.0665223  -2.14191
1012.06  0.0666103  -2.14858
1022.83  0.0667244  -2.15524
1033.59  0.0668646  -2.16191
1044.36  0.0670307  -2.16857
1055.13  0.0672226  -2.17523
1065.89  0.0674403  -2.18189
1076.66  0.0676839  -2.18856
1087.43  0.0679532  -2.19522
1098.19  0.0682486  -2.20188
1108.96  0.06857  -2.20855
1119.73  0.0689178  -2.21522
1130.49  0.0692921  -2.22189
1141.26  0.0696931  -2.22856
1152.03  0.0701213  -2.23524
1162.79  0.070577  -2.24192
1173.56  0.0710605  -2.24861
1184.33  0.0715723  -2.2553
1195.09  0.072113  -2.262
1205.86  0.0726829  -2.2687
1216.63  0.0732828  -2.27541
1227.39  0.0739133  -2.28212
1238.16  0.0745749  -2.28884
1248.93  0.0752685  -2.29557
1259.69  0.0759949  -2.3023
1270.46  0.0767547  -2.30904
1281.23  0.0775491  -2.31579
1291.99  0.0783788  -2.32255
1302.76  0.0792449  -2.32931
1313.53  0.0801486  -2.33609
1324.29  0.0810908  -2.34287
1335.06  0.0820728  -2.34967
1345.83  0.083096  -2.35647
1356.59  0.0841616  -2.36329
1367.36  0.0852711  -2.37012
1378.12  0.086426  -2.37695
1388.89  0.087628  -2.3838
1399.66  0.0888787  -2.39066
1410.42  0.0901799  -2.39754
1421.19  0.0915337  -2.40443
1431.96  0.0929419  -2.41133
1442.72  0.0944067  -2.41824
1453.49  0.0959305  -2.42517
1464.26  0.0975155  -2.43212
1475.02  0.0991644  -2.43908
1485.79  0.10088  -2.44606
1496.56  0.102665  -2.45305
1507.32  0.104522  -2.46006
1518.09  0.106455  -2.46709
1528.86  0.108468  -2.47414
1539.62  0.110563  -2.48121
1550.39  0.112744  -2.4883
1561.16  0.115017  -2.4954
1571.92  0.117384  -2.50253
1582.69  0.119851  -2.50969
1593.46  0.122423  -2.51686
1604.22  0.125105  -2.52406
1614.99  0.127902  -2.53129
1625.76  0.130822  -2.53854
1636.52  0.133869  -2.54581
1647.29  0.137051  -2.55312
1658.06  0.140375  -2.56046
1668.82  0.14385  -2.56782
1679.59  0.147483  -2.57522
1690.36  0.151284  -2.58265
1701.12  0.155262  -2.59012
1711.89  0.159428  -2.59762
1722.66  0.163792  -2.60516
1733.42  0.168368  -2.61274
1744.19  0.173169  -2.62036
1754.96  0.178207  -2.62802
1765.72  0.183499  -2.63573
1776.49  0.189061  -2.64349
1787.26  0.194911  -2.6513
1798.02  0.201068  -2.65916
1808.79  0.207553  -2.66708
1819.56  0.21439  -2.67506
1830.32  0.221603  -2.6831
1841.09  0.22922  -2.69121
1851.86  0.23727  -2.69938
1862.62  0.245787  -2.70763
1873.39  0.254805  -2.71596
1884.16  0.264365  -2.72437
1894.92  0.274511  -2.73288
1905.69  0.28529  -2.74147
1916.46  0.296755  -2.75017
1927.22  0.308965  -2.75898
1937.99  0.321987  -2.76791
1948.75  0.335893  -2.77696
1959.52  0.350764  -2.78615
1970.29  0.366693  -2.79549
1981.05  0.383783  -2.80499
1991.82  0.402149  -2.81466
2002.59  0.421923  -2.82452
2013.35  0.443254  -2.83459
2024.12  0.466313  -2.84489
2034.89  0.491294  -2.85543
2045.65  0.518421  -2.86626
2056.42  0.547953  -2.87739
2067.19  0.580189  -2.88886
2077.95  0.61548  -2.90071
2088.72  0.654237  -2.913
2099.49  0.696944  -2.92577
2110.25  0.744177  -2.93909
2121.02  0.796627  -2.95304
2131.79  0.855125  -2.96772
2142.55  0.920683  -2.98325
2153.32  0.994543  -2.99976
2164.09  1.07825  -3.01744
2174.85  1.17373  -3.0365
2185.62  1.28343  -3.05723
2196.39  1.41052  -3.08
2207.15  1.55911  -3.1053
2217.92  1.73466  -3.13376
2228.69  1.94453  3.11692
2239.45  2.19883  3.07913
2250.22  2.51169  3.03428
2260.99  2.9032  2.97976
2271.75  3.40211  2.91158
2282.52  4.04903  2.82354
2293.29  4.897  2.70574
2304.05  5.99567  2.54284
2314.82  7.31333  2.31424
2325.59  8.53511  2.00627
2336.35  9.00223  1.64639
2347.12  8.45014  1.30946
2357.89  7.406  1.0474
2368.65  6.37981  0.859095
2379.42  5.53855  0.72411
2390.19  4.88282  0.624503
2400.95  4.37464  0.548288
2411.72  3.97723  0.487906
2422.49  3.66238  0.438563
2433.25  3.40972  0.397147
2444.02  3.20471  0.361572
2454.79  3.03686  0.330403
2465.55  2.89853  0.302622
2476.32  2.78408  0.27749
2487.08  2.68925  0.254457
2497.85  2.61084  0.233109
2508.62  2.54637  0.213123
2519.38  2.49391  0.194247
2530.15  2.45197  0.176279
2540.92  2.41937  0.159056
2551.68  2.3952  0.142442
