num_points: 4096
frequency_Hz  magnitude  phase_rad
0.1  4.21124e-05  1.43154
10.7666  0.00374358  1.52247
21.5332  0.0075112  1.49367
32.2998  0.0113747  1.46078
43.0664  0.0153823  1.42578
53.833  0.0195862  1.3891
64.5996  0.0240465  1.35075
75.3662  0.0288359  1.31053
86.1328  0.0340436  1.26807
96.8994  0.0397811  1.22281
107.666  0.0461895  1.17398
118.433  0.0534491  1.12047
129.199  0.06179  1.06079
139.966  0.0715039  0.99286
150.732  0.0829497  0.913791
161.499  0.0965348  0.819596
172.266  0.112625  0.704867
183.032  0.131275  0.562731
193.799  0.151609  0.385896
204.565  0.170865  0.170376
215.332  0.184124  -0.0774186
226.099  0.186836  -0.336033
236.865  0.178929  -0.577372
247.632  0.164651  -0.782855
258.398  0.148584  -0.948788
269.165  0.133387  -1.08031
279.932  0.120042  -1.1848
290.698  0.108672  -1.26889
301.465  0.0990739  -1.33769
312.231  0.0909665  -1.39493
322.998  0.0840832  -1.44335
333.765  0.0781979  -1.48493
344.531  0.0731274  -1.52111
355.298  0.0687257  -1.55298
366.064  0.064877  -1.58136
376.831  0.0614891  -1.60688
387.598  0.0584884  -1.63002
398.364  0.0558156  -1.65118
409.131  0.0534226  -1.67067
419.897  0.0512701  -1.68872
430.664  0.0493256  -1.70555
441.431  0.0475623  -1.72132
452.197  0.0459577  -1.73617
462.964  0.0444929  -1.75022
473.73  0.0431519  -1.76357
484.497  0.0419211  -1.7763
495.264  0.0407887  -1.78848
506.03  0.0397447  -1.80017
516.797  0.0387804  -1.81143
527.563  0.0378882  -1.8223
538.33  0.0370615  -1.83282
549.097  0.0362945  -1.84303
559.863  0.0355821  -1.85295
570.63  0.0349198  -1.86263
581.396  0.0343036  -1.87207
592.163  0.03373  -1.8813
602.93  0.0331957  -1.89034
613.696  0.032698  -1.89921
624.463  0.0322343  -1.90793
635.229  0.0318023  -1.9165
645.996  0.0314001  -1.92493
656.763  0.0310257  -1.93325
667.529  0.0306774  -1.94146
678.296  0.0303538  -1.94957
689.063  0.0300536  -1.95758
699.829  0.0297754  -1.96551
710.596  0.0295181  -1.97336
721.362  0.0292807  -1.98114
732.129  0.0290623  -1.98886
742.896  0.028862  -1.99651
753.662  0.0286791  -2.00411
764.429  0.0285129  -2.01166
775.195  0.0283626  -2.01916
785.962  0.0282278  -2.02661
796.729  0.0281079  -2.03403
807.495  0.0280024  -2.04141
818.262  0.0279109  -2.04876
829.028  0.027833  -2.05607
839.795  0.0277684  -2.06336
850.562  0.0277167  -2.07062
861.328  0.0276777  -2.07786
872.095  0.0276511  -2.08507
882.861  0.0276366  -2.09227
893.628  0.0276342  -2.09945
904.395  0.0276436  -2.10661
915.161  0.0276646  -2.11376
925.928  0.0276973  -2.12089
936.694  0.0277415  -2.12802
947.461  0.0277971  -2.13513
958.228  0.027864  -2.14224
968.994  0.0279423  -2.14933
979.761  0.028032  -2.15642
990.527  0.028133  -2.16351
1001.29  0.0282454  -2.17059
1012.06  0.0283693  -2.17766
1022.83  0.0285048  -2.18474
1033.59  0.0286518  -2.19181
1044.36  0.0288106  -2.19888
1055.13  0.0289813  -2.20595
1065.89  0.029164  -2.21302
1076.66  0.0293589  -2.2201
1087.43  0.0295663  -2.22717
1098.19  0.0297862  -2.23425
1108.96  0.030019  -2.24133
1119.73  0.0302649  -2.24842
1130.49  0.0305242  -2.25551
1141.26  0.0307972  -2.26261
1152.03  0.0310842  -2.26971
1162.79  0.0313855  -2.27682
1173.56  0.0317017  -2.28394
1184.33  0.0320329  -2.29107
1195.09  0.0323797  -2.2982
1205.86  0.0327426  -2.30534
1216.63  0.0331219  -2.3125
1227.39  0.0335183  -2.31966
1238.16  0.0339323  -2.32683
1248.93  0.0343644  -2.33402
1259.69  0.0348153  -2.34122
1270.46  0.0352857  -2.34843
1281.23  0.0357763  -2.35566
1291.99  0.0362877  -2.3629
1302.76  0.0368209  -2.37015
1313.53  0.0373765  -2.37742
1324.29  0.0379556  -2.3847
1335.06  0.0385591  -2.39201
1345.83  0.0391879  -2.39932
1356.59  0.0398431  -2.40666
1367.36  0.040526  -2.41402
1378.13  0.0412376  -2.42139
1388.89  0.0419792  -2.42879
1399.66  0.0427523  -2.4362
1410.42  0.0435582  -2.44364
1421.19  0.0443985  -2.4511
1431.96  0.0452749  -2.45859
1442.72  0.046189  -2.4661
1453.49  0.0471427  -2.47363
1464.26  0.0481381  -2.48119
1475.02  0.0491773  -2.48878
1485.79  0.0502624  -2.4964
1496.56  0.051396  -2.50405
1507.32  0.0525806  -2.51172
1518.09  0.053819  -2.51943
1528.86  0.0551142  -2.52718
1539.62  0.0564694  -2.53496
1550.39  0.0578879  -2.54277
1561.16  0.0593736  -2.55063
1571.92  0.0609303  -2.55852
1582.69  0.0625623  -2.56646
1593.46  0.0642742  -2.57443
1604.22  0.066071  -2.58246
1614.99  0.0679581  -2.59053
1625.76  0.0699412  -2.59865
1636.52  0.0720268  -2.60683
1647.29  0.0742216  -2.61506
1658.06  0.076533  -2.62335
1668.82  0.0789693  -2.6317
1679.59  0.0815391  -2.64011
1690.36  0.0842521  -2.64859
1701.12  0.0871188  -2.65715
1711.89  0.0901509  -2.66578
1722.66  0.0933609  -2.67449
1733.42  0.0967629  -2.68329
1744.19  0.100372  -2.69218
1754.96  0.104206  -2.70117
1765.72  0.108282  -2.71027
1776.49  0.112622  -2.71947
1787.26  0.11725  -2.7288
1798.02  0.12219  -2.73825
1808.79  0.127472  -2.74784
1819.56  0.133128  -2.75759
1830.32  0.139196  -2.7675
1841.09  0.145715  -2.77758
1851.86  0.152732  -2.78786
1862.62  0.160301  -2.79834
1873.39  0.168483  -2.80906
1884.16  0.177345  -2.82004
1894.92  0.18697  -2.83129
1905.69  0.197447  -2.84286
1916.46  0.208887  -2.85477
1927.22  0.221412  -2.86707
1937.99  0.235173  -2.87982
1948.75  0.250342  -2.89305
1959.52  0.267129  -2.90686
1970.29  0.285784  -2.9213
1981.05  0.306609  -2.9365
1991.82  0.329975  -2.95257
2002.59  0.356337  -2.96965
2013.35  0.386264  -2.98794
2024.12  0.420474  -3.00768
2034.89  0.459883  -3.02917
2045.65  0.505678  -3.05281
2056.42  0.559424  -3.07912
2067.19  0.623212  -3.10882
2077.95  0.699898  3.14028
2088.72  0.793453  3.10043
2099.49  0.909504  3.05274
2110.25  1.05617  2.99416
2121.02  1.24523  2.91989
2131.79  1.4934  2.82227
2142.55  1.82185  2.6889
2153.32  2.24538  2.5005
2164.09  2.72593  2.23358
2174.85  3.08189  1.88403
2185.62  3.07067  1.50834
2196.39  2.74451  1.19056
2207.15  2.34696  0.958869
2217.92  2.00469  0.796017
2228.69  1.73737  0.67913
2239.45  1.53235  0.591981
2250.22  1.37391  0.524421
2260.99  1.24963  0.470178
2271.75  1.15057  0.42529
2282.52  1.07046  0.387172
2293.29  1.00485  0.354083
2304.05  0.950557  0.324816
2314.82  0.905248  0.298508
2325.59  0.867195  0.274532
2336.35  0.835093  0.252416
2347.12  0.807943  0.231804
2357.89  0.784971  0.212419
2368.65  0.765569  0.194044
2379.42  0.749254  0.176503
2390.19  0.735642  0.159657
2400.95  0.724423  0.14339
2411.72  0.715345  0.127606
2422.49  0.708206  0.112226
2433.25  0.70284  0.0971811
2444.02  0.699115  0.0824135
2454.79  0.696922  0.0678725
2465.55  0.696177  0.0535139
2476.32  0.696811  0.0392987
2487.08  0.698776  0.0251916
2497.85  0.702033  0.011161
2508.62  0.70656  -0.00282218
2519.38  0.712345  -0.0167849
2530.15  0.719386  -0.0307525
2540.92  0.727694  -0.044749
2551.68  0.737286  -0.0587974
2562.45  0.748193  -0.0729201
2573.22  0.760453  -0.0871393
2583.98  0.774114  -0.101477
2594.75  0.789236  -0.115955
2605.52  0.805889  -0.130596
2616.28  0.824155  -0.145424
2627.05  0.844129  -0.160461
2637.82  0.865917  -0.175734
2648.58  0.889643  -0.191268
2659.35  0.915447  -0.207091
2670.12  0.943487  -0.223235
2680.88  0.973942  -0.23973
2691.65  1.00701  -0.256611
2702.42  1.04293  -0.273918
2713.18  1.08195  -0.291691
2723.95  1.12437  -0.309976
2734.72  1.17051  -0.328823
2745.48  1.22076  -0.34829
2756.25  1.27555  -0.368438
2767.02  1.33535  -0.389337
2777.78  1.40074  -0.411067
2788.55  1.47235  -0.433717
2799.32  1.55092  -0.457387
2810.08  1.63729  -0.482192
2820.85  1.73242  -0.508265
2831.62  1.83746  -0.535757
2842.38  1.95369  -0.564842
2853.15  2.08263  -0.595722
2863.92  2.22602  -0.628632
2874.68  2.38588  -0.663845
2885.45  2.56455  -0.701683
2896.22  2.76472  -0.74252
2906.98  2.98946  -0.786796
2917.75  3.24225  -0.835029
2928.52  3.52691  -0.88782
2939.28  3.84754  -0.94587
2950.05  4.20827  -1.00998
2960.82  4.61281  -1.08105
2971.58  5.06376  -1.16004
2982.35  5.56138  -1.24795
2993.12  6.10198  -1.34567
3003.88  6.6759  -1.45381
3014.65  7.26571  -1.57249
3025.42  7.84568  -1.70104
3036.18  8.38399  -1.83775
3046.95  8.84846  -1.97991
3057.71  9.21461  -2.12408
3068.48  9.47247  -2.26665
3079.25  9.62855  -2.40451
3090.01  9.70238  -2.53547
3100.78  9.71994  -2.65847
3111.55  9.70771  -2.77341
3122.31  9.68886  -2.88091
3133.08  9.68191  -2.98206
3143.85  9.70092  -3.07822
3154.61  9.75637  3.1123
3165.38  9.85608  3.02155
3176.15  10.0059  2.93107
3186.91  10.2102  2.83913
3197.68  10.4711  2.74387
3208.45  10.7881  2.64327
3219.21  11.1555  2.53516
3229.98  11.5591  2.41726
3240.75  11.9714  2.28742
3251.51  12.3465  2.14398
3262.28  12.6184  1.98655
3273.05  12.7093  1.8168
3283.81  12.5526  1.63907
3294.58  12.1231  1.45995
3305.35  11.4541  1.28674
3316.11  10.6242  1.12549
3326.88  9.72454  0.979778
3337.65  8.83023  0.850678
3348.41  7.98936  0.737489
3359.18  7.2257  0.638575
3369.95  6.5463  0.551992
3380.71  5.94867  0.475844
3391.48  5.42578  0.40844
3402.25  4.969  0.348342
3413.01  4.56966  0.294354
3423.78  4.21976  0.245494
3434.55  3.91226  0.20096
3445.31  3.64109  0.160096
3456.08  3.4011  0.122363
3466.85  3.18791  0.0873176
3477.61  2.99786  0.0545927
3488.38  2.82786  0.0238819
3499.15  2.67528  -0.00507167
3509.91  2.53793  -0.0324845
3520.68  2.41393  -0.0585407
3531.45  2.30167  -0.083397
3542.21  2.19981  -0.107189
3552.98  2.10716  -0.130032
3563.75  2.02273  -0.152028
3574.51  1.94564  -0.173265
3585.28  1.87514  -0.193821
3596.04  1.81058  -0.213764
3606.81  1.75138  -0.233155
3617.58  1.69704  -0.252047
3628.34  1.64713  -0.27049
3639.11  1.60126  -0.288526
3649.88  1.55909  -0.306194
3660.64  1.52032  -0.32353
3671.41  1.48469  -0.340566
3682.18  1.45195  -0.357333
3692.94  1.42191  -0.373856
3703.71  1.39438  -0.390162
3714.48  1.36918  -0.406273
3725.24  1.34618  -0.422212
3736.01  1.32525  -0.437998
3746.78  1.30627  -0.453651
3757.54  1.28914  -0.469189
3768.31  1.27376  -0.48463
3779.08  1.26007  -0.49999
3789.84  1.248  -0.515285
3800.61  1.23748  -0.530531
3811.38  1.22846  -0.545743
3822.14  1.2209  -0.560935
3832.91  1.21477  -0.576124
3843.68  1.21005  -0.591322
3854.44  1.2067  -0.606545
3865.21  1.20472  -0.621809
3875.98  1.2041  -0.637127
3886.74  1.20483  -0.652515
3897.51  1.20694  -0.667989
3908.28  1.21043  -0.683566
3919.04  1.21532  -0.699262
3929.81  1.22164  -0.715095
3940.58  1.22942  -0.731085
3951.34  1.23872  -0.74725
3962.11  1.24958  -0.763612
3972.88  1.26206  -0.780194
3983.64  1.27623  -0.797019
3994.41  1.29219  -0.814115
4005.18  1.31001  -0.83151
4015.94  1.32982  -0.849234
4026.71  1.35173  -0.867322
4037.48  1.37589  -0.885811
4048.24  1.40244  -0.904743
4059.01  1.43158  -0.924163
4069.78  1.4635  -0.944123
4080.54  1.49843  -0.964679
4091.31  1.53664  -0.985897
4102.08  1.57842  -1.00785
4112.84  1.6241  -1.03062
4123.61  1.67406  -1.05429
4134.38  1.72874  -1.07898
4145.14  1.78864  -1.10482
4155.91  1.8543  -1.13193
4166.67  1.92638  -1.16048
4177.44  2.00561  -1.19067
4188.21  2.0928  -1.22272
4198.97  2.1889  -1.25688
4209.74  2.29496  -1.29346
4220.51  2.41215  -1.33283
4231.27  2.54177  -1.3754
4242.04  2.68518  -1.42169
4252.81  2.8438  -1.47228
4263.57  3.01894  -1.52786
4274.34  3.21167  -1.58924
4285.11  3.42245  -1.65733
4295.87  3.65065  -1.73313
4306.64  3.89385  -1.81766
4317.41  4.14684  -1.91192
4328.17  4.40061  -2.0166
4338.94  4.64156  -2.13192
4349.71  4.85189  -2.25726
4360.47  5.01165  -2.39089
4371.24  5.10312  -2.5299
4382.01  5.11598  -2.6705
4392.77  5.05079  -2.80862
4403.54  4.91863  -2.94069
4414.31  4.73718  -3.06413
4425.07  4.52565  3.10564
4435.84  4.30088  3.00257
4446.61  4.07557  2.90947
4457.37  3.85818  2.82551
4468.14  3.65367  2.74968
4478.91  3.46446  2.68095
4489.67  3.29133  2.61832
4500.44  3.13404  2.5609
4511.21  2.99178  2.50792
4521.97  2.86349  2.4587
4532.74  2.748  2.41266
4543.51  2.64415  2.36931
4554.27  2.55084  2.32822
4565.04  2.46706  2.28904
4575.81  2.39191  2.25144
4586.57  2.32456  2.21516
4597.34  2.26431  2.17997
