num_points: 929
frequency_Hz  magnitude  phase_rad
0.1  3.79733e-05  1.46665
10.7666  0.00368432  1.5281
21.5332  0.00739948  1.49512
32.2998  0.0111992  1.45989
43.0664  0.0151276  1.42337
53.833  0.0192331  1.38569
64.5996  0.0235721  1.34674
75.3662  0.0282127  1.30628
86.1328  0.0332377  1.2639
96.8994  0.0387506  1.21904
107.666  0.0448813  1.17096
118.433  0.0517949  1.11861
129.199  0.0597012  1.0606
139.966  0.0688653  0.994988
150.732  0.0796139  0.919144
161.499  0.0923233  0.82943
172.266  0.107352  0.720922
183.032  0.124837  0.587285
193.799  0.144201  0.421452
204.565  0.163318  0.218425
215.332  0.177967  -0.0186715
226.099  0.183422  -0.272774
236.865  0.178292  -0.517179
247.632  0.165768  -0.730434
258.398  0.150407  -0.905171
269.165  0.135294  -1.04451
279.932  0.121764  -1.15529
290.698  0.110128  -1.24422
301.465  0.100265  -1.31669
312.231  0.0919212  -1.37674
322.998  0.0848373  -1.42731
333.765  0.0787849  -1.47053
344.531  0.0735761  -1.50799
355.298  0.0690599  -1.54084
366.064  0.0651161  -1.56999
376.831  0.0616487  -1.5961
387.598  0.0585812  -1.61971
398.364  0.0558519  -1.64122
409.131  0.0534106  -1.66096
419.897  0.0512166  -1.67921
430.664  0.0492362  -1.69617
441.431  0.0474416  -1.71202
452.197  0.0458094  -1.72691
462.964  0.0443202  -1.74097
473.73  0.0429574  -1.7543
484.497  0.0417069  -1.76698
495.264  0.0405567  -1.77909
506.03  0.0394963  -1.79069
516.797  0.038517  -1.80185
527.563  0.0376109  -1.8126
538.33  0.0367711  -1.82299
549.097  0.0359918  -1.83306
559.863  0.0352677  -1.84283
570.63  0.0345943  -1.85234
581.396  0.0339673  -1.86161
592.163  0.0333833  -1.87067
602.93  0.0328389  -1.87952
613.696  0.0323313  -1.8882
624.463  0.0318578  -1.89672
635.229  0.0314163  -1.90508
645.996  0.0310045  -1.91331
656.763  0.0306206  -1.92141
667.529  0.0302628  -1.9294
678.296  0.0299298  -1.93728
689.063  0.0296199  -1.94507
699.829  0.0293321  -1.95277
710.596  0.029065  -1.96038
721.362  0.0288178  -1.96792
732.129  0.0285893  -1.97539
742.896  0.0283789  -1.98279
753.662  0.0281856  -1.99014
764.429  0.0280087  -1.99743
775.195  0.0278476  -2.00467
785.962  0.0277018  -2.01186
796.729  0.0275706  -2.01901
807.495  0.0274535  -2.02611
818.262  0.0273501  -2.03318
829.028  0.0272601  -2.04022
839.795  0.0271829  -2.04722
850.562  0.0271184  -2.0542
861.328  0.0270661  -2.06114
872.095  0.0270259  -2.06806
882.861  0.0269975  -2.07496
893.628  0.0269806  -2.08184
904.395  0.0269752  -2.08869
915.161  0.026981  -2.09553
925.928  0.0269978  -2.10235
936.694  0.0270257  -2.10915
947.461  0.0270645  -2.11594
958.228  0.0271141  -2.12272
968.994  0.0271746  -2.12949
979.761  0.0272457  -2.13624
990.527  0.0273277  -2.14299
1001.29  0.0274203  -2.14972
