num_points: 929
frequency_Hz  magnitude  phase_rad
0.1  2.32394e-05  1.63151
10.7666  0.00345141  1.6202
21.5332  0.00710324  1.58086
32.2998  0.0108275  1.55015
43.0664  0.0146295  1.5226
53.833  0.0185244  1.49663
64.5996  0.0225325  1.47162
75.3662  0.0266776  1.44725
86.1328  0.0309877  1.42338
96.8994  0.0354955  1.39987
107.666  0.0402391  1.37665
118.433  0.045263  1.35362
129.199  0.0506199  1.3307
139.966  0.0563718  1.30778
150.732  0.0625928  1.28475
161.499  0.0693714  1.26146
172.266  0.0768148  1.23774
183.032  0.0850535  1.21339
193.799  0.0942478  1.18815
204.565  0.104597  1.16173
215.332  0.116352  1.13374
226.099  0.129831  1.10372
236.865  0.145442  1.07105
247.632  0.16372  1.03493
258.398  0.185366  0.994318
269.165  0.211315  0.947775
279.932  0.242819  0.893319
290.698  0.281546  0.828147
301.465  0.329672  0.748243
312.231  0.389809  0.647831
322.998  0.464391  0.518816
333.765  0.553451  0.350917
344.531  0.649249  0.134706
355.298  0.729673  -0.128926
366.064  0.76487  -0.416584
376.831  0.745276  -0.688441
387.598  0.69124  -0.915815
398.364  0.628156  -1.09362
409.131  0.569992  -1.23007
419.897  0.521141  -1.33569
430.664  0.481694  -1.41914
441.431  0.450423  -1.48667
452.197  0.425946  -1.54265
462.964  0.40708  -1.59012
473.73  0.392909  -1.63123
484.497  0.382763  -1.66756
495.264  0.376178  -1.70027
506.03  0.372864  -1.73024
516.797  0.372684  -1.75819
527.563  0.375643  -1.78472
538.33  0.381896  -1.81037
549.097  0.391769  -1.83564
559.863  0.405801  -1.86105
570.63  0.424827  -1.88722
581.396  0.450107  -1.91488
592.163  0.483562  -1.94504
602.93  0.528193  -1.97915
613.696  0.588873  -2.01951
624.463  0.673956  -2.07003
635.229  0.798756  -2.13799
645.996  0.993647  -2.23867
656.763  1.32234  -2.40877
667.529  1.88822  -2.74703
678.296  2.38128  2.86098
689.063  1.829  2.16425
699.829  1.20463  1.8085
710.596  0.848462  1.63237
721.362  0.639899  1.53033
732.129  0.506855  1.46319
742.896  0.415763  1.41485
753.662  0.349959  1.3777
764.429  0.30044  1.34773
775.195  0.261971  1.32265
785.962  0.231321  1.30105
796.729  0.206391  1.28201
807.495  0.185767  1.26493
818.262  0.168457  1.24937
829.028  0.153751  1.23501
839.795  0.141126  1.22163
850.562  0.130188  1.20906
861.328  0.120634  1.19716
872.095  0.11223  1.18582
882.861  0.104791  1.17496
893.628  0.0981681  1.16451
904.395  0.0922415  1.15443
915.161  0.0869134  1.14465
