num_points: 929
frequency_Hz  magnitude  phase_rad
0.1  2.51337e-05  1.67527
10.7666  0.0035893  1.58698
21.5332  0.00728374  1.55405
32.2998  0.0110296  1.52706
43.0664  0.0148396  1.50205
53.833  0.0187314  1.47804
64.5996  0.022726  1.45467
75.3662  0.0268475  1.43178
86.1328  0.0311237  1.40929
96.8994  0.0355868  1.38712
107.666  0.040274  1.36524
118.433  0.0452288  1.34357
129.199  0.0505022  1.32204
139.966  0.0561543  1.30057
150.732  0.0622565  1.27907
161.499  0.0688941  1.25739
172.266  0.0761697  1.2354
183.032  0.0842082  1.21292
193.799  0.093163  1.18972
204.565  0.103224  1.16555
215.332  0.11463  1.14008
226.099  0.127684  1.11289
236.865  0.142776  1.08345
247.632  0.160414  1.05111
258.398  0.181272  1.01494
269.165  0.206253  0.973722
279.932  0.236583  0.925771
290.698  0.27394  0.868674
301.465  0.320613  0.798932
312.231  0.379629  0.711378
322.998  0.454594  0.598364
333.765  0.548384  0.449019
344.531  0.658523  0.250097
355.298  0.767114  -0.00705469
366.064  0.835586  -0.309483
376.831  0.833577  -0.613708
387.598  0.775871  -0.874769
398.364  0.6992  -1.07752
409.131  0.626879  -1.22973
419.897  0.566458  -1.34469
430.664  0.518238  -1.43348
441.431  0.480431  -1.50397
452.197  0.451059  -1.56149
462.964  0.42848  -1.60963
473.73  0.411448  -1.65089
484.497  0.399062  -1.68702
495.264  0.390698  -1.7193
506.03  0.385951  -1.74871
516.797  0.384601  -1.776
527.563  0.386594  -1.8018
538.33  0.392038  -1.82665
549.097  0.401222  -1.85106
559.863  0.414655  -1.87555
570.63  0.433143  -1.90071
581.396  0.457914  -1.92726
592.163  0.490847  -1.95614
602.93  0.534884  -1.98875
613.696  0.594794  -2.02723
624.463  0.678738  -2.07524
635.229  0.801653  -2.13955
645.996  0.993192  -2.23427
656.763  1.31649  -2.39318
667.529  1.88633  -2.70872
678.296  2.47581  2.91735
689.063  1.95269  2.1826
699.829  1.2711  1.80437
710.596  0.885588  1.62177
721.362  0.663164  1.51795
732.129  0.522755  1.45048
742.896  0.427312  1.40233
753.662  0.358722  1.36556
764.429  0.307307  1.33607
775.195  0.267487  1.31148
785.962  0.235837  1.29038
796.729  0.210146  1.27184
807.495  0.188926  1.25524
818.262  0.171144  1.24015
829.028  0.156055  1.22626
839.795  0.143116  1.21334
850.562  0.131916  1.20121
861.328  0.122142  1.18974
872.095  0.113552  1.17883
882.861  0.105953  1.1684
893.628  0.0991922  1.15836
904.395  0.0931461  1.14868
915.161  0.0877136  1.13931
925.928  0.0828116  1.1302
936.694  0.0783709  1.12134
947.461  0.0743336  1.11268
958.228  0.0706512  1.10421
968.994  0.067282  1.09591
979.761  0.0641908  1.08776
990.527  0.0613473  1.07975
1001.29  0.0587252  1.07186
1012.06  0.0563019  1.06408
1022.83  0.0540575  1.05641
1033.59  0.0519747  1.04882
1044.36  0.0500383  1.04133
1055.13  0.048235  1.03391
1065.89  0.0465528  1.02657
1076.66  0.0449813  1.01929
1087.43  0.043511  1.01207
1098.19  0.0421337  1.00491
1108.96  0.0408418  0.997807
1119.73  0.0396286  0.99075
1130.49  0.038488  0.983737
1141.26  0.0374147  0.976767
1152.03  0.0364036  0.969837
1162.79  0.0354503  0.962942
1173.56  0.0345508  0.956083
1184.33  0.0337013  0.949254
1195.09  0.0328986  0.942456
1205.86  0.0321394  0.935686
1216.63  0.0314211  0.928942
1227.39  0.030741  0.922222
1238.16  0.0300969  0.915524
