num_points: 4096
frequency_Hz  magnitude  phase_rad
0.1  3.1434e-06  1.63039
10.7666  0.000466711  1.57772
21.5332  0.000960603  1.49574
32.2998  0.00146438  1.42241
43.0664  0.00197876  1.35223
53.833  0.00250588  1.28364
64.5996  0.0030485  1.21599
75.3662  0.00360989  1.149
86.1328  0.00419392  1.08249
96.8994  0.00480506  1.01634
107.666  0.00544856  0.950465
118.433  0.00613057  0.88478
129.199  0.00685833  0.81919
139.966  0.00764041  0.753589
150.732  0.00848704  0.687854
161.499  0.00941048  0.621837
172.266  0.0104256  0.555362
183.032  0.0115505  0.488218
193.799  0.0128074  0.420145
204.565  0.0142242  0.350828
215.332  0.0158357  0.279871
226.099  0.0176866  0.206777
236.865  0.019834  0.130907
247.632  0.0223529  0.0514238
258.398  0.0253418  -0.0327868
269.165  0.0289323  -0.123243
279.932  0.0333003  -0.222053
290.698  0.0386795  -0.332203
301.465  0.0453712  -0.457972
312.231  0.053727  -0.605494
322.998  0.0640406  -0.783255
333.765  0.0761912  -1.00164
344.531  0.0888532  -1.26899
355.298  0.0987549  -1.581
366.064  0.102133  -1.91024
376.831  0.0985049  -2.21719
387.598  0.0909489  -2.47757
398.364  0.082621  -2.68961
409.131  0.0751036  -2.86238
419.897  0.0688436  -3.00612
430.664  0.0638086  -3.129
441.431  0.0598288  3.04632
452.197  0.0567252  2.94938
462.964  0.0543482  2.8605
473.73  0.052583  2.77766
484.497  0.0513468  2.69937
495.264  0.0505833  2.62451
506.03  0.0502592  2.55222
516.797  0.0503615  2.48181
527.563  0.0508972  2.41268
538.33  0.0518942  2.3443
549.097  0.0534058  2.27612
559.863  0.0555178  2.20758
570.63  0.0583613  2.13802
581.396  0.0621353  2.06659
592.163  0.0671456  1.99212
602.93  0.0738766  1.91284
613.696  0.0831303  1.82589
624.463  0.0963142  1.72625
635.229  0.116081  1.60412
645.996  0.147816  1.43799
656.763  0.202407  1.17348
667.529  0.286409  0.67215
678.296  0.297947  -0.126309
689.063  0.204671  -0.718425
699.829  0.138235  -1.02519
710.596  0.100489  -1.20774
721.362  0.07752  -1.33624
732.129  0.0623839  -1.43768
742.896  0.051765  -1.52384
753.662  0.0439522  -1.6006
764.429  0.0379896  -1.67116
775.195  0.0333059  -1.73742
785.962  0.0295407  -1.80057
796.729  0.0264558  -1.86139
807.495  0.023888  -1.92043
818.262  0.0217219  -1.97806
829.028  0.0198735  -2.03457
839.795  0.0182805  -2.09017
850.562  0.0168958  -2.145
861.328  0.0156828  -2.1992
872.095  0.0146131  -2.25286
882.861  0.013664  -2.30606
893.628  0.0128172  -2.35887
904.395  0.0120581  -2.41134
915.161  0.0113746  -2.4635
925.928  0.0107565  -2.5154
936.694  0.0101955  -2.56706
947.461  0.00968468  -2.61852
958.228  0.009218  -2.66979
968.994  0.00879041  -2.72089
979.761  0.00839759  -2.77185
990.527  0.0080358  -2.82266
1001.29  0.00770182  -2.87336
1012.06  0.00739283  -2.92394
1022.83  0.0071064  -2.97442
1033.59  0.00684036  -3.02481
1044.36  0.00659284  -3.07511
1055.13  0.00636216  -3.12534
1065.89  0.00614684  3.1077
1076.66  0.00594558  3.05761
1087.43  0.00575719  3.00758
1098.19  0.00558063  2.95762
1108.96  0.00541496  2.9077
1119.73  0.00525933  2.85783
1130.49  0.005113  2.80801
1141.26  0.00497525  2.75822
1152.03  0.00484549  2.70848
1162.79  0.00472314  2.65877
1173.56  0.00460769  2.60909
1184.33  0.00449868  2.55945
1195.09  0.00439567  2.50983
1205.86  0.00429829  2.46024
1216.63  0.00420617  2.41067
1227.39  0.004119  2.36113
1238.16  0.00403647  2.31161
1248.93  0.0039583  2.26211
