num_points: 929
frequency_Hz  magnitude  phase_rad
0.1  2.20321e-05  1.70056
10.7666  0.00348138  1.60307
21.5332  0.00715492  1.55523
32.2998  0.0109237  1.51492
43.0664  0.0148053  1.47708
53.833  0.0188292  1.44031
64.5996  0.0230329  1.40401
75.3662  0.0274621  1.36782
86.1328  0.032172  1.33144
96.8994  0.03723  1.29459
107.666  0.0427191  1.25693
118.433  0.0487417  1.21807
129.199  0.0554261  1.17749
139.966  0.0629335  1.13456
150.732  0.0714691  1.08843
161.499  0.0812947  1.03802
172.266  0.0927456  0.981848
183.032  0.106249  0.917941
193.799  0.122333  0.8436
204.565  0.141617  0.755135
215.332  0.164704  0.647576
226.099  0.191862  0.514577
236.865  0.22226  0.349156
247.632  0.25265  0.1466
258.398  0.276524  -0.0894567
269.165  0.286594  -0.341542
279.932  0.280655  -0.583152
290.698  0.263435  -0.793495
301.465  0.241741  -0.965717
312.231  0.220233  -1.10309
322.998  0.200974  -1.21239
333.765  0.18449  -1.30024
344.531  0.170643  -1.37194
355.298  0.159087  -1.43147
366.064  0.149453  -1.4817
376.831  0.141412  -1.52476
387.598  0.134694  -1.56221
398.364  0.129084  -1.5952
409.131  0.124409  -1.62461
419.897  0.120535  -1.65113
430.664  0.117358  -1.67526
441.431  0.114794  -1.69743
452.197  0.112782  -1.71798
462.964  0.111275  -1.73717
473.73  0.110238  -1.75524
484.497  0.109649  -1.77237
495.264  0.109495  -1.78872
506.03  0.109772  -1.80445
516.797  0.110489  -1.81967
527.563  0.111661  -1.83451
538.33  0.113316  -1.84907
549.097  0.115496  -1.86348
559.863  0.118254  -1.87783
570.63  0.121667  -1.89226
581.396  0.125834  -1.90689
592.163  0.130886  -1.92188
602.93  0.137  -1.93742
613.696  0.144414  -1.95374
624.463  0.153456  -1.97116
635.229  0.164586  -1.99009
645.996  0.178467  -2.01114
656.763  0.196095  -2.03518
667.529  0.219014  -2.06358
678.296  0.249764  -2.09859
689.063  0.292782  -2.14421
699.829  0.356492  -2.20819
710.596  0.458521  -2.30767
721.362  0.639086  -2.48709
732.129  0.968938  -2.87939
742.896  1.17195  2.60113
753.662  0.800952  1.93606
764.429  0.521401  1.64369
775.195  0.372499  1.501
785.962  0.285564  1.41751
796.729  0.229643  1.362
807.495  0.190974  1.32168
818.262  0.162774  1.29047
829.028  0.141367  1.26515
839.795  0.124602  1.24385
850.562  0.111145  1.22542
861.328  0.100124  1.2091
872.095  0.0909462  1.19439
882.861  0.0831967  1.18093
893.628  0.076575  1.16847
904.395  0.0708588  1.1568
915.161  0.0658804  1.1458
925.928  0.0615107  1.13534
936.694  0.0576487  1.12534
947.461  0.0542146  1.11573
958.228  0.0511443  1.10646
968.994  0.0483856  1.09747
979.761  0.045896  1.08873
990.527  0.0436401  1.08022
1001.29  0.0415884  1.07189
1012.06  0.0397164  1.06374
1022.83  0.0380029  1.05574
1033.59  0.0364301  1.04787
1044.36  0.0349829  1.04013
1055.13  0.0336479  1.0325
1065.89  0.0324138  1.02496
1076.66  0.0312706  1.01752
1087.43  0.0302098  1.01015
1098.19  0.0292236  1.00287
1108.96  0.0283053  0.995644
1119.73  0.0274491  0.988485
1130.49  0.0266497  0.981384
1141.26  0.0259023  0.974334
1152.03  0.0252029  0.967333
1162.79  0.0245476  0.960376
1173.56  0.0239332  0.953461
1184.33  0.0233566  0.946583
1195.09  0.0228151  0.93974
1205.86  0.0223062  0.932929
1216.63  0.0218278  0.926149
1227.39  0.0213777  0.919397
1238.16  0.0209542  0.91267
1248.93  0.0205556  0.905968
1259.69  0.0201804  0.899287
1270.46  0.0198272  0.892628
1281.23  0.0194947  0.885987
1291.99  0.0191817  0.879365
1302.76  0.0188873  0.872759
1313.53  0.0186103  0.866168
1324.29  0.0183501  0.859591
1335.06  0.0181056  0.853028
1345.83  0.0178762  0.846477
1356.59  0.0176611  0.839937
1367.36  0.0174598  0.833407
